Year,UNIT_MEASURE,Value
1996,Stopa nataliteta,15.2
1997,Stopa nataliteta,14.6
1998,Stopa nataliteta,14.1
1999,Stopa nataliteta,12.3
2000,Stopa nataliteta,11.0
2001,Stopa nataliteta,10.4
2002,Stopa nataliteta,10.0
2003,Stopa nataliteta,10.0
2004,Stopa nataliteta,9.6
2005,Stopa nataliteta,9.4
2006,Stopa nataliteta,9.3
2007,Stopa nataliteta,9.3
2008,Stopa nataliteta,9.8
2009,Stopa nataliteta,9.8
2010,Stopa nataliteta,9.6
2011,Stopa nataliteta,9.1
2012,Stopa nataliteta,9.2
2013,Stopa nataliteta,8.6
2014,Stopa nataliteta,9.0
2015,Stopa nataliteta,8.8
2016,Stopa nataliteta,8.9
2017,Stopa nataliteta,9.0
2018,Stopa nataliteta,8.6
2019,Stopa nataliteta,8.2
