Year,UNIT_MEASURE,Starosna dob,Value
1996,Broj,13-14,8
1996,Broj,15-19,2941
1997,Broj,13-14,11
1997,Broj,15-19,3128
1998,Broj,13-14,2
1998,Broj,15-19,2395
1999,Broj,13-14,0
1999,Broj,15-19,2073
2000,Broj,13-14,3
2000,Broj,15-19,1806
2001,Broj,13-14,12
2001,Broj,15-19,1679
2002,Broj,13-14,9
2002,Broj,15-19,1561
2003,Broj,13-14,9
2003,Broj,15-19,1457
2004,Broj,13-14,7
2004,Broj,15-19,1396
2005,Broj,13-14,2
2005,Broj,15-19,1296
2006,Broj,13-14,4
2006,Broj,15-19,1399
2007,Broj,13-14,2
2007,Broj,15-19,1357
2008,Broj,13-14,2
2008,Broj,15-19,1507
2009,Broj,13-14,4
2009,Broj,15-19,1411
2010,Broj,13-14,5
2010,Broj,15-19,1285
2011,Broj,13-14,5
2011,Broj,15-19,1136
2012,Broj,13-14,2
2012,Broj,15-19,1040
2013,Broj,13-14,4
2013,Broj,15-19,950
2014,Broj,13-14,3
2014,Broj,15-19,932
2015,Broj,13-14,3
2015,Broj,15-19,948
2016,Broj,13-14,3
2016,Broj,15-19,898
2017,Broj,13-14,6
2017,Broj,15-19,734
2018,Broj,13-14,4
2018,Broj,15-19,643
2019,Broj,13-14,1
2019,Broj,15-19,580
2020,Broj,13-14,4
2020,Broj,15-19,528
2021,Broj,13-14,2
2021,Broj,15-19,516
2022,Broj,13-14,4
2022,Broj,15-19,460
2023,Broj,13-14,3
2023,Broj,15-19,371
