Year,UNIT_MEASURE,Spol,Value
1997,Broj,Oba spola,"445,90"
1998,Broj,Oba spola,382
1999,Broj,Oba spola,312
2000,Broj,Oba spola,280
2001,Broj,Oba spola,214
2002,Broj,Oba spola,245
2003,Broj,Oba spola,202
2004,Broj,Oba spola,190
2005,Broj,Oba spola,194
2006,Broj,Oba spola,205
2007,Broj,Oba spola,193
2008,Broj,Oba spola,194
2009,Broj,Oba spola,173
2010,Broj,Oba spola,172
2011,Broj,Oba spola,141
2012,Broj,Oba spola,139
2013,Broj,Oba spola,148
2014,Broj,Oba spola,127
2015,Broj,Oba spola,154
2016,Broj,Oba spola,147
2017,Broj,Oba spola,162
2018,Broj,Oba spola,158
2019,Broj,Oba spola,167
1997,Broj,M,276
1998,Broj,M,235
1999,Broj,M,174
2000,Broj,M,163
2001,Broj,M,118
2002,Broj,M,138
2003,Broj,M,122
2004,Broj,M,107
2005,Broj,M,113
2006,Broj,M,127
2007,Broj,M,114
2008,Broj,M,110
2009,Broj,M,87
2010,Broj,M,105
2011,Broj,M,85
2012,Broj,M,85
2013,Broj,M,88
2014,Broj,M,63
2015,Broj,M,84
2016,Broj,M,87
2017,Broj,M,87
2018,Broj,M,81
2019,Broj,M,89
1997,Broj,Ž,169
1998,Broj,Ž,147
1999,Broj,Ž,138
2000,Broj,Ž,117
2001,Broj,Ž,96
2002,Broj,Ž,107
2003,Broj,Ž,80
2004,Broj,Ž,83
2005,Broj,Ž,81
2006,Broj,Ž,78
2007,Broj,Ž,79
2008,Broj,Ž,84
2009,Broj,Ž,86
2010,Broj,Ž,67
2011,Broj,Ž,56
2012,Broj,Ž,54
2013,Broj,Ž,60
2014,Broj,Ž,64
2015,Broj,Ž,70
2016,Broj,Ž,60
2017,Broj,Ž,75
2018,Broj,Ž,77
2019,Broj,Ž,78
