Year,UNIT_MEASURE,Admin_Area,Value
2011,Broj,Federacija Bosne i Hercegovine,1208
2011,Broj,Unsko-sanski kanton,237
2011,Broj,Posavski kanton,19
2011,Broj,Tuzlanski kanton,256
2011,Broj,Zeničko-dobojski kanton,225
2011,Broj,Bosansko-podrinjski kanton,21
2011,Broj,Srednjobosanski kanton,63
2011,Broj,Hercegovačko-neretvanski kanton,110
2011,Broj,Zapadno-hercegovački kanton,15
2011,Broj,Kanton Sarajevo,250
2011,Broj,Kanton 10,12
2012,Broj,Federacija Bosne i Hercegovine,1173
2012,Broj,Unsko-sanski kanton,252
2012,Broj,Posavski kanton,25
2012,Broj,Tuzlanski kanton,251
2012,Broj,Zeničko-dobojski kanton,308
2012,Broj,Bosansko-podrinjski kanton,7
2012,Broj,Srednjobosanski kanton,106
2012,Broj,Hercegovačko-neretvanski kanton,109
2012,Broj,Zapadno-hercegovački kanton,18
2012,Broj,Kanton Sarajevo,88
2012,Broj,Kanton 10,9
2013,Broj,Federacija Bosne i Hercegovine,1359
2013,Broj,Unsko-sanski kanton,257
2013,Broj,Posavski kanton,23
2013,Broj,Tuzlanski kanton,300
2013,Broj,Zeničko-dobojski kanton,293
2013,Broj,Bosansko-podrinjski kanton,9
2013,Broj,Srednjobosanski kanton,95
2013,Broj,Hercegovačko-neretvanski kanton,128
2013,Broj,Zapadno-hercegovački kanton,17
2013,Broj,Kanton Sarajevo,231
2013,Broj,Kanton 10,6
2014,Broj,Federacija Bosne i Hercegovine,1318
2014,Broj,Unsko-sanski kanton,255
2014,Broj,Posavski kanton,13
2014,Broj,Tuzlanski kanton,377
2014,Broj,Zeničko-dobojski kanton,289
2014,Broj,Bosansko-podrinjski kanton,17
2014,Broj,Srednjobosanski kanton,79
2014,Broj,Hercegovačko-neretvanski kanton,115
2014,Broj,Zapadno-hercegovački kanton,23
2014,Broj,Kanton Sarajevo,139
2014,Broj,Kanton 10,11
2015,Broj,Federacija Bosne i Hercegovine,1490
2015,Broj,Unsko-sanski kanton,241
2015,Broj,Posavski kanton,36
2015,Broj,Tuzlanski kanton,401
2015,Broj,Zeničko-dobojski kanton,225
2015,Broj,Bosansko-podrinjski kanton,25
2015,Broj,Srednjobosanski kanton,117
2015,Broj,Hercegovačko-neretvanski kanton,124
2015,Broj,Zapadno-hercegovački kanton,19
2015,Broj,Kanton Sarajevo,295
2015,Broj,Kanton 10,7
2016,Broj,Federacija Bosne i Hercegovine,1445
2016,Broj,Unsko-sanski kanton,250
2016,Broj,Posavski kanton,25
2016,Broj,Tuzlanski kanton,420
2016,Broj,Zeničko-dobojski kanton,214
2016,Broj,Bosansko-podrinjski kanton,18
2016,Broj,Srednjobosanski kanton,89
2016,Broj,Hercegovačko-neretvanski kanton,160
2016,Broj,Zapadno-hercegovački kanton,20
2016,Broj,Kanton Sarajevo,242
2016,Broj,Kanton 10,7
2017,Broj,Federacija Bosne i Hercegovine,1725
2017,Broj,Unsko-sanski kanton,253
2017,Broj,Posavski kanton,31
2017,Broj,Tuzlanski kanton,409
2017,Broj,Zeničko-dobojski kanton,361
2017,Broj,Bosansko-podrinjski kanton,21
2017,Broj,Srednjobosanski kanton,78
2017,Broj,Hercegovačko-neretvanski kanton,118
2017,Broj,Zapadno-hercegovački kanton,27
2017,Broj,Kanton Sarajevo,413
2017,Broj,Kanton 10,14
2018,Broj,Federacija Bosne i Hercegovine,1823
2018,Broj,Unsko-sanski kanton,273
2018,Broj,Posavski kanton,40
2018,Broj,Tuzlanski kanton,522
2018,Broj,Zeničko-dobojski kanton,348
2018,Broj,Bosansko-podrinjski kanton,32
2018,Broj,Srednjobosanski kanton,125
2018,Broj,Hercegovačko-neretvanski kanton,120
2018,Broj,Zapadno-hercegovački kanton,20
2018,Broj,Kanton Sarajevo,320
2018,Broj,Kanton 10,23
2019,Broj,Federacija Bosne i Hercegovine,1673
2019,Broj,Unsko-sanski kanton,303
2019,Broj,Posavski kanton,45
2019,Broj,Tuzlanski kanton,428
2019,Broj,Zeničko-dobojski kanton,341
2019,Broj,Bosansko-podrinjski kanton,25
2019,Broj,Srednjobosanski kanton,142
2019,Broj,Hercegovačko-neretvanski kanton,124
2019,Broj,Zapadno-hercegovački kanton,26
2019,Broj,Kanton Sarajevo,223
2019,Broj,Kanton 10,16
2020,Broj,Federacija Bosne i Hercegovine,1460
2020,Broj,Unsko-sanski kanton,255
2020,Broj,Posavski kanton,24
2020,Broj,Tuzlanski kanton,448
2020,Broj,Zeničko-dobojski kanton,281
2020,Broj,Bosansko-podrinjski kanton,25
2020,Broj,Srednjobosanski kanton,107
2020,Broj,Hercegovačko-neretvanski kanton,90
2020,Broj,Zapadno-hercegovački kanton,21
2020,Broj,Kanton Sarajevo,195
2020,Broj,Kanton 10,14
