Year,UNIT_MEASURE,Spol,Starosna dob,Value
2014,Broj,Oba spola,0-4,
2014,Broj,Oba spola,5-9,
2014,Broj,Oba spola,10-14,
2014,Broj,Oba spola,15-19,
2014,Broj,Oba spola,20-24,
2014,Broj,Oba spola,25-29,
2014,Broj,Oba spola,30-34,
2014,Broj,Oba spola,35-39,
2014,Broj,Oba spola,40-44,
2014,Broj,Oba spola,45-49,
2014,Broj,Oba spola,50-54,
2014,Broj,Oba spola,55-59,
2014,Broj,Oba spola,60-64,
2014,Broj,Oba spola,65-69,
2014,Broj,Oba spola,70-74,
2014,Broj,Oba spola,75-79,
2014,Broj,Oba spola,80-84,
2014,Broj,Oba spola,85-89,
2014,Broj,Oba spola,90-94,
2014,Broj,Oba spola,95-99,
2014,Broj,Oba spola,100-104,
2014,Broj,Oba spola,105-109,
2014,Broj,Oba spola,110-114,
2014,Broj,Oba spola,115-120,
2014,Broj,Oba spola,Unknown,
2014,Broj,Oba spola,Total,
2014,Broj,Oba spola,0-14,
2014,Broj,Oba spola,15-29,
2014,Broj,Oba spola,15-49,
2014,Broj,Oba spola,15-64,
2014,Broj,Oba spola,65+,
2014,Broj,Oba spola,75+,
2014,Broj,Oba spola,85+,
2014,Broj,Oba spola,100+,
2014,Broj,M,0-4,
2014,Broj,M,5-9,
2014,Broj,M,10-14,
2014,Broj,M,15-19,
2014,Broj,M,20-24,
2014,Broj,M,25-29,
2014,Broj,M,30-34,
2014,Broj,M,35-39,
2014,Broj,M,40-44,
2014,Broj,M,45-49,
2014,Broj,M,50-54,
2014,Broj,M,55-59,
2014,Broj,M,60-64,
2014,Broj,M,65-69,
2014,Broj,M,70-74,
2014,Broj,M,75-79,
2014,Broj,M,80-84,
2014,Broj,M,85-89,
2014,Broj,M,90-94,
2014,Broj,M,95-99,
2014,Broj,M,100-104,
2014,Broj,M,105-109,
2014,Broj,M,110-114,
2014,Broj,M,115-120,
2014,Broj,M,Unknown,
2014,Broj,M,Total,
2014,Broj,M,0-14,
2014,Broj,M,15-29,
2014,Broj,M,15-49,
2014,Broj,M,15-64,
2014,Broj,M,65+,
2014,Broj,M,75+,
2014,Broj,M,85+,
2014,Broj,M,100+,
2014,Broj,Ž,0-4,
2014,Broj,Ž,5-9,
2014,Broj,Ž,10-14,
2014,Broj,Ž,15-19,
