Year,UNIT_MEASURE,Administrativna jedinica,Starosna dob,Spol,Value
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Oba spola,2219220
2013,Broj,Federacija Bosne i Hercegovine,0,Oba spola,21718
2013,Broj,Federacija Bosne i Hercegovine,1,Oba spola,22690
2013,Broj,Federacija Bosne i Hercegovine,2,Oba spola,22691
2013,Broj,Federacija Bosne i Hercegovine,3,Oba spola,23664
2013,Broj,Federacija Bosne i Hercegovine,4,Oba spola,24080
2013,Broj,Federacija Bosne i Hercegovine,5,Oba spola,23892
2013,Broj,Federacija Bosne i Hercegovine,6,Oba spola,22901
2013,Broj,Federacija Bosne i Hercegovine,7,Oba spola,22965
2013,Broj,Federacija Bosne i Hercegovine,8,Oba spola,23147
2013,Broj,Federacija Bosne i Hercegovine,9,Oba spola,23147
2013,Broj,Federacija Bosne i Hercegovine,10,Oba spola,23884
2013,Broj,Federacija Bosne i Hercegovine,11,Oba spola,24043
2013,Broj,Federacija Bosne i Hercegovine,12,Oba spola,24989
2013,Broj,Federacija Bosne i Hercegovine,13,Oba spola,25785
2013,Broj,Federacija Bosne i Hercegovine,14,Oba spola,27352
2013,Broj,Federacija Bosne i Hercegovine,15,Oba spola,30464
2013,Broj,Federacija Bosne i Hercegovine,16,Oba spola,35091
2013,Broj,Federacija Bosne i Hercegovine,17,Oba spola,35286
2013,Broj,Federacija Bosne i Hercegovine,18,Oba spola,33903
2013,Broj,Federacija Bosne i Hercegovine,19,Oba spola,27137
2013,Broj,Federacija Bosne i Hercegovine,20,Oba spola,25325
2013,Broj,Federacija Bosne i Hercegovine,21,Oba spola,29600
2013,Broj,Federacija Bosne i Hercegovine,22,Oba spola,32119
2013,Broj,Federacija Bosne i Hercegovine,23,Oba spola,31990
2013,Broj,Federacija Bosne i Hercegovine,24,Oba spola,31868
2013,Broj,Federacija Bosne i Hercegovine,25,Oba spola,32919
2013,Broj,Federacija Bosne i Hercegovine,26,Oba spola,32539
2013,Broj,Federacija Bosne i Hercegovine,27,Oba spola,32484
2013,Broj,Federacija Bosne i Hercegovine,28,Oba spola,32610
2013,Broj,Federacija Bosne i Hercegovine,29,Oba spola,33651
2013,Broj,Federacija Bosne i Hercegovine,30,Oba spola,32390
2013,Broj,Federacija Bosne i Hercegovine,31,Oba spola,32319
2013,Broj,Federacija Bosne i Hercegovine,32,Oba spola,32749
2013,Broj,Federacija Bosne i Hercegovine,33,Oba spola,31974
2013,Broj,Federacija Bosne i Hercegovine,34,Oba spola,31556
2013,Broj,Federacija Bosne i Hercegovine,35,Oba spola,31528
2013,Broj,Federacija Bosne i Hercegovine,36,Oba spola,31538
2013,Broj,Federacija Bosne i Hercegovine,37,Oba spola,32341
2013,Broj,Federacija Bosne i Hercegovine,38,Oba spola,31321
2013,Broj,Federacija Bosne i Hercegovine,39,Oba spola,30987
2013,Broj,Federacija Bosne i Hercegovine,40,Oba spola,30584
2013,Broj,Federacija Bosne i Hercegovine,41,Oba spola,31771
2013,Broj,Federacija Bosne i Hercegovine,42,Oba spola,31017
2013,Broj,Federacija Bosne i Hercegovine,43,Oba spola,29652
2013,Broj,Federacija Bosne i Hercegovine,44,Oba spola,31806
2013,Broj,Federacija Bosne i Hercegovine,45,Oba spola,32017
2013,Broj,Federacija Bosne i Hercegovine,46,Oba spola,33018
2013,Broj,Federacija Bosne i Hercegovine,47,Oba spola,33813
2013,Broj,Federacija Bosne i Hercegovine,48,Oba spola,34178
2013,Broj,Federacija Bosne i Hercegovine,49,Oba spola,34083
2013,Broj,Federacija Bosne i Hercegovine,50,Oba spola,34340
2013,Broj,Federacija Bosne i Hercegovine,51,Oba spola,35525
2013,Broj,Federacija Bosne i Hercegovine,52,Oba spola,35006
2013,Broj,Federacija Bosne i Hercegovine,53,Oba spola,34518
2013,Broj,Federacija Bosne i Hercegovine,54,Oba spola,34607
2013,Broj,Federacija Bosne i Hercegovine,55,Oba spola,32581
2013,Broj,Federacija Bosne i Hercegovine,56,Oba spola,30906
2013,Broj,Federacija Bosne i Hercegovine,57,Oba spola,31264
2013,Broj,Federacija Bosne i Hercegovine,58,Oba spola,31461
2013,Broj,Federacija Bosne i Hercegovine,59,Oba spola,29877
2013,Broj,Federacija Bosne i Hercegovine,60,Oba spola,29631
2013,Broj,Federacija Bosne i Hercegovine,61,Oba spola,26762
2013,Broj,Federacija Bosne i Hercegovine,62,Oba spola,24438
2013,Broj,Federacija Bosne i Hercegovine,63,Oba spola,24535
2013,Broj,Federacija Bosne i Hercegovine,64,Oba spola,23247
2013,Broj,Federacija Bosne i Hercegovine,65,Oba spola,20490
2013,Broj,Federacija Bosne i Hercegovine,66,Oba spola,21656
2013,Broj,Federacija Bosne i Hercegovine,67,Oba spola,16531
2013,Broj,Federacija Bosne i Hercegovine,68,Oba spola,15234
2013,Broj,Federacija Bosne i Hercegovine,69,Oba spola,14480
2013,Broj,Federacija Bosne i Hercegovine,70,Oba spola,14562
2013,Broj,Federacija Bosne i Hercegovine,71,Oba spola,16128
2013,Broj,Federacija Bosne i Hercegovine,72,Oba spola,16725
2013,Broj,Federacija Bosne i Hercegovine,73,Oba spola,17668
2013,Broj,Federacija Bosne i Hercegovine,74,Oba spola,15940
2013,Broj,Federacija Bosne i Hercegovine,75,Oba spola,15320
2013,Broj,Federacija Bosne i Hercegovine,76,Oba spola,14194
2013,Broj,Federacija Bosne i Hercegovine,77,Oba spola,13342
2013,Broj,Federacija Bosne i Hercegovine,78,Oba spola,11991
2013,Broj,Federacija Bosne i Hercegovine,79,Oba spola,10766
2013,Broj,Federacija Bosne i Hercegovine,80,Oba spola,9117
2013,Broj,Federacija Bosne i Hercegovine,81,Oba spola,8359
2013,Broj,Federacija Bosne i Hercegovine,82,Oba spola,6844
2013,Broj,Federacija Bosne i Hercegovine,83,Oba spola,6095
2013,Broj,Federacija Bosne i Hercegovine,84,Oba spola,4812
2013,Broj,Federacija Bosne i Hercegovine,85+,Oba spola,15692
2013,Broj,Unsko-sanski kanton,Ukupno,Oba spola,273261
2013,Broj,Unsko-sanski kanton,0,Oba spola,2742
2013,Broj,Unsko-sanski kanton,1,Oba spola,2879
2013,Broj,Unsko-sanski kanton,2,Oba spola,2927
2013,Broj,Unsko-sanski kanton,3,Oba spola,3078
2013,Broj,Unsko-sanski kanton,4,Oba spola,3179
2013,Broj,Unsko-sanski kanton,5,Oba spola,3277
2013,Broj,Unsko-sanski kanton,6,Oba spola,3117
2013,Broj,Unsko-sanski kanton,7,Oba spola,3091
2013,Broj,Unsko-sanski kanton,8,Oba spola,3125
2013,Broj,Unsko-sanski kanton,9,Oba spola,3167
2013,Broj,Unsko-sanski kanton,10,Oba spola,3270
2013,Broj,Unsko-sanski kanton,11,Oba spola,3327
2013,Broj,Unsko-sanski kanton,12,Oba spola,3466
2013,Broj,Unsko-sanski kanton,13,Oba spola,3522
2013,Broj,Unsko-sanski kanton,14,Oba spola,3865
2013,Broj,Unsko-sanski kanton,15,Oba spola,4480
2013,Broj,Unsko-sanski kanton,16,Oba spola,5326
2013,Broj,Unsko-sanski kanton,17,Oba spola,4257
2013,Broj,Unsko-sanski kanton,18,Oba spola,3768
2013,Broj,Unsko-sanski kanton,19,Oba spola,3497
2013,Broj,Unsko-sanski kanton,20,Oba spola,3282
2013,Broj,Unsko-sanski kanton,21,Oba spola,3826
2013,Broj,Unsko-sanski kanton,22,Oba spola,4146
2013,Broj,Unsko-sanski kanton,23,Oba spola,4100
2013,Broj,Unsko-sanski kanton,24,Oba spola,4187
2013,Broj,Unsko-sanski kanton,25,Oba spola,4155
2013,Broj,Unsko-sanski kanton,26,Oba spola,4294
2013,Broj,Unsko-sanski kanton,27,Oba spola,4087
2013,Broj,Unsko-sanski kanton,28,Oba spola,4133
2013,Broj,Unsko-sanski kanton,29,Oba spola,4243
2013,Broj,Unsko-sanski kanton,30,Oba spola,4048
2013,Broj,Unsko-sanski kanton,31,Oba spola,4051
2013,Broj,Unsko-sanski kanton,32,Oba spola,4334
2013,Broj,Unsko-sanski kanton,33,Oba spola,4111
2013,Broj,Unsko-sanski kanton,34,Oba spola,4132
2013,Broj,Unsko-sanski kanton,35,Oba spola,4294
2013,Broj,Unsko-sanski kanton,36,Oba spola,4234
2013,Broj,Unsko-sanski kanton,37,Oba spola,4381
2013,Broj,Unsko-sanski kanton,38,Oba spola,4346
2013,Broj,Unsko-sanski kanton,39,Oba spola,4309
2013,Broj,Unsko-sanski kanton,40,Oba spola,4129
2013,Broj,Unsko-sanski kanton,41,Oba spola,4264
2013,Broj,Unsko-sanski kanton,42,Oba spola,4139
2013,Broj,Unsko-sanski kanton,43,Oba spola,3895
2013,Broj,Unsko-sanski kanton,44,Oba spola,4260
2013,Broj,Unsko-sanski kanton,45,Oba spola,4248
2013,Broj,Unsko-sanski kanton,46,Oba spola,4211
2013,Broj,Unsko-sanski kanton,47,Oba spola,4150
2013,Broj,Unsko-sanski kanton,48,Oba spola,4004
2013,Broj,Unsko-sanski kanton,49,Oba spola,4088
2013,Broj,Unsko-sanski kanton,50,Oba spola,4131
2013,Broj,Unsko-sanski kanton,51,Oba spola,4113
2013,Broj,Unsko-sanski kanton,52,Oba spola,4172
2013,Broj,Unsko-sanski kanton,53,Oba spola,3939
