Year,UNIT_MEASURE,Starosna dob,Spol,Administrativna oblast,Value
2013,Broj,Ukupno,Oba spola,Federacija Bosne i Hercegovine,2219220
2013,Broj,0-4,Oba spola,Federacija Bosne i Hercegovine,114843
2013,Broj, 5-9,Oba spola,Federacija Bosne i Hercegovine,116052
2013,Broj, 10-14,Oba spola,Federacija Bosne i Hercegovine,126053
2013,Broj, 15-19,Oba spola,Federacija Bosne i Hercegovine,161881
2013,Broj, 20-24,Oba spola,Federacija Bosne i Hercegovine,150902
2013,Broj, 25-29,Oba spola,Federacija Bosne i Hercegovine,164203
2013,Broj, 30-34,Oba spola,Federacija Bosne i Hercegovine,160988
2013,Broj, 35-39,Oba spola,Federacija Bosne i Hercegovine,157715
2013,Broj,40-44,Oba spola,Federacija Bosne i Hercegovine,154830
2013,Broj, 45-49,Oba spola,Federacija Bosne i Hercegovine,167109
2013,Broj, 50-54,Oba spola,Federacija Bosne i Hercegovine,173996
2013,Broj, 55-59,Oba spola,Federacija Bosne i Hercegovine,156089
2013,Broj, 60-64,Oba spola,Federacija Bosne i Hercegovine,128613
2013,Broj, 65-69,Oba spola,Federacija Bosne i Hercegovine,88391
2013,Broj, 70-74,Oba spola,Federacija Bosne i Hercegovine,81023
2013,Broj, 75-79,Oba spola,Federacija Bosne i Hercegovine,65613
2013,Broj, 80-84,Oba spola,Federacija Bosne i Hercegovine,35227
2013,Broj,85+,Oba spola,Federacija Bosne i Hercegovine,15692
2013,Broj,Ukupno,Oba spola,Unsko-sanski kanton,273261
2013,Broj,0-4,Oba spola,Unsko-sanski kanton,14805
2013,Broj, 5-9,Oba spola,Unsko-sanski kanton,15777
2013,Broj, 10-14,Oba spola,Unsko-sanski kanton,17450
2013,Broj, 15-19,Oba spola,Unsko-sanski kanton,21328
2013,Broj, 20-24,Oba spola,Unsko-sanski kanton,19541
2013,Broj, 25-29,Oba spola,Unsko-sanski kanton,20912
2013,Broj, 30-34,Oba spola,Unsko-sanski kanton,20676
2013,Broj, 35-39,Oba spola,Unsko-sanski kanton,21564
2013,Broj,40-44,Oba spola,Unsko-sanski kanton,20687
2013,Broj, 45-49,Oba spola,Unsko-sanski kanton,20701
2013,Broj, 50-54,Oba spola,Unsko-sanski kanton,20224
2013,Broj, 55-59,Oba spola,Unsko-sanski kanton,16989
2013,Broj, 60-64,Oba spola,Unsko-sanski kanton,13344
2013,Broj, 65-69,Oba spola,Unsko-sanski kanton,9626
2013,Broj, 70-74,Oba spola,Unsko-sanski kanton,8824
2013,Broj, 75-79,Oba spola,Unsko-sanski kanton,6527
2013,Broj, 80-84,Oba spola,Unsko-sanski kanton,3067
2013,Broj,85+,Oba spola,Unsko-sanski kanton,1219
2013,Broj,Ukupno,Oba spola,Posavski kanton,43453
2013,Broj,0-4,Oba spola,Posavski kanton,1582
2013,Broj, 5-9,Oba spola,Posavski kanton,1987
2013,Broj, 10-14,Oba spola,Posavski kanton,2466
2013,Broj, 15-19,Oba spola,Posavski kanton,3016
2013,Broj, 20-24,Oba spola,Posavski kanton,2841
2013,Broj, 25-29,Oba spola,Posavski kanton,2823
2013,Broj, 30-34,Oba spola,Posavski kanton,2680
2013,Broj, 35-39,Oba spola,Posavski kanton,3058
2013,Broj,40-44,Oba spola,Posavski kanton,3579
2013,Broj, 45-49,Oba spola,Posavski kanton,4072
2013,Broj, 50-54,Oba spola,Posavski kanton,3535
2013,Broj, 55-59,Oba spola,Posavski kanton,2797
2013,Broj, 60-64,Oba spola,Posavski kanton,2498
2013,Broj, 65-69,Oba spola,Posavski kanton,2138
2013,Broj, 70-74,Oba spola,Posavski kanton,1934
2013,Broj, 75-79,Oba spola,Posavski kanton,1486
2013,Broj, 80-84,Oba spola,Posavski kanton,716
2013,Broj,85+,Oba spola,Posavski kanton,245
2013,Broj,Ukupno,Oba spola,Tuzlanski kanton,445028
2013,Broj,0-4,Oba spola,Tuzlanski kanton,23047
2013,Broj, 5-9,Oba spola,Tuzlanski kanton,22730
2013,Broj, 10-14,Oba spola,Tuzlanski kanton,24027
2013,Broj, 15-19,Oba spola,Tuzlanski kanton,32263
2013,Broj, 20-24,Oba spola,Tuzlanski kanton,31620
2013,Broj, 25-29,Oba spola,Tuzlanski kanton,33046
2013,Broj, 30-34,Oba spola,Tuzlanski kanton,31480
2013,Broj, 35-39,Oba spola,Tuzlanski kanton,31195
2013,Broj,40-44,Oba spola,Tuzlanski kanton,31469
2013,Broj, 45-49,Oba spola,Tuzlanski kanton,34576
2013,Broj, 50-54,Oba spola,Tuzlanski kanton,37032
2013,Broj, 55-59,Oba spola,Tuzlanski kanton,31967
2013,Broj, 60-64,Oba spola,Tuzlanski kanton,26735
2013,Broj, 65-69,Oba spola,Tuzlanski kanton,18379
2013,Broj, 70-74,Oba spola,Tuzlanski kanton,15237
2013,Broj, 75-79,Oba spola,Tuzlanski kanton,11738
2013,Broj, 80-84,Oba spola,Tuzlanski kanton,6071
2013,Broj,85+,Oba spola,Tuzlanski kanton,2416
2013,Broj,Ukupno,Oba spola,Zeničko-dobojski kanton,364433
2013,Broj,0-4,Oba spola,Zeničko-dobojski kanton,19906
2013,Broj, 5-9,Oba spola,Zeničko-dobojski kanton,19610
2013,Broj, 10-14,Oba spola,Zeničko-dobojski kanton,20927
2013,Broj, 15-19,Oba spola,Zeničko-dobojski kanton,27674
2013,Broj, 20-24,Oba spola,Zeničko-dobojski kanton,25340
2013,Broj, 25-29,Oba spola,Zeničko-dobojski kanton,27092
2013,Broj, 30-34,Oba spola,Zeničko-dobojski kanton,26050
2013,Broj, 35-39,Oba spola,Zeničko-dobojski kanton,25766
2013,Broj,40-44,Oba spola,Zeničko-dobojski kanton,25290
2013,Broj, 45-49,Oba spola,Zeničko-dobojski kanton,27980
2013,Broj, 50-54,Oba spola,Zeničko-dobojski kanton,29498
2013,Broj, 55-59,Oba spola,Zeničko-dobojski kanton,26069
2013,Broj, 60-64,Oba spola,Zeničko-dobojski kanton,21251
2013,Broj, 65-69,Oba spola,Zeničko-dobojski kanton,14217
2013,Broj, 70-74,Oba spola,Zeničko-dobojski kanton,12208
2013,Broj, 75-79,Oba spola,Zeničko-dobojski kanton,9237
2013,Broj, 80-84,Oba spola,Zeničko-dobojski kanton,4593
2013,Broj,85+,Oba spola,Zeničko-dobojski kanton,1725
2013,Broj,Ukupno,Oba spola,Bosansko-podrinjski kanton,23734
2013,Broj,0-4,Oba spola,Bosansko-podrinjski kanton,1098
