Year,UNIT_MEASURE,Administrativna jedinica,Broj djece,Value
2013,Broj,Federacija Bosne i Hercegovine,Total,957422
2013,Broj,Federacija Bosne i Hercegovine,Nisu rađale,273774
2013,Broj,Federacija Bosne i Hercegovine,1,132895
2013,Broj,Federacija Bosne i Hercegovine,2,308038
2013,Broj,Federacija Bosne i Hercegovine,3,138640
2013,Broj,Federacija Bosne i Hercegovine,4,54056
2013,Broj,Federacija Bosne i Hercegovine,5+,50019
2013,Broj,Unsko-sanski kanton,Total,114518
2013,Broj,Unsko-sanski kanton,Nisu rađale,31239
2013,Broj,Unsko-sanski kanton,1,16018
2013,Broj,Unsko-sanski kanton,2,32843
2013,Broj,Unsko-sanski kanton,3,17011
2013,Broj,Unsko-sanski kanton,4,7586
2013,Broj,Unsko-sanski kanton,5+,9821
2013,Broj,Posavski kanton,Total,18762
2013,Broj,Posavski kanton,Nisu rađale,5836
2013,Broj,Posavski kanton,1,2279
2013,Broj,Posavski kanton,2,5567
2013,Broj,Posavski kanton,3,2917
2013,Broj,Posavski kanton,4,1136
2013,Broj,Posavski kanton,5+,1027
2013,Broj,Tuzlanski kanton,Total,193689
2013,Broj,Tuzlanski kanton,Nisu rađale,47272
2013,Broj,Tuzlanski kanton,1,29699
2013,Broj,Tuzlanski kanton,2,73940
2013,Broj,Tuzlanski kanton,3,25457
2013,Broj,Tuzlanski kanton,4,8862
2013,Broj,Tuzlanski kanton,5+,8459
2013,Broj,Zeničko-dobojski kanton,Total,154153
2013,Broj,Zeničko-dobojski kanton,Nisu rađale,39964
2013,Broj,Zeničko-dobojski kanton,1,21913
2013,Broj,Zeničko-dobojski kanton,2,51832
2013,Broj,Zeničko-dobojski kanton,3,23202
2013,Broj,Zeničko-dobojski kanton,4,8680
2013,Broj,Zeničko-dobojski kanton,5+,8562
2013,Broj,Bosansko-podrinjski kanton,Total,10567
2013,Broj,Bosansko-podrinjski kanton,Nisu rađale,2755
2013,Broj,Bosansko-podrinjski kanton,1,1302
2013,Broj,Bosansko-podrinjski kanton,2,3788
2013,Broj,Bosansko-podrinjski kanton,3,1663
2013,Broj,Bosansko-podrinjski kanton,4,594
2013,Broj,Bosansko-podrinjski kanton,5+,465
2013,Broj,Srednjobosanski kanton,Total,106469
2013,Broj,Srednjobosanski kanton,Nisu rađale,31429
2013,Broj,Srednjobosanski kanton,1,12068
2013,Broj,Srednjobosanski kanton,2,28784
2013,Broj,Srednjobosanski kanton,3,18339
2013,Broj,Srednjobosanski kanton,4,8020
2013,Broj,Srednjobosanski kanton,5+,7829
2013,Broj,Hercegovačko-neretvanski kanton,Total,96219
2013,Broj,Hercegovačko-neretvanski kanton,Nisu rađale,31170
2013,Broj,Hercegovačko-neretvanski kanton,1,10670
2013,Broj,Hercegovačko-neretvanski kanton,2,27643
2013,Broj,Hercegovačko-neretvanski kanton,3,15955
2013,Broj,Hercegovačko-neretvanski kanton,4,6284
2013,Broj,Hercegovačko-neretvanski kanton,5+,4497
2013,Broj,Zapadno-hercegovački kanton,Total,39369
2013,Broj,Zapadno-hercegovački kanton,Nisu rađale,14469
2013,Broj,Zapadno-hercegovački kanton,1,3221
2013,Broj,Zapadno-hercegovački kanton,2,7574
2013,Broj,Zapadno-hercegovački kanton,3,7371
2013,Broj,Zapadno-hercegovački kanton,4,3926
2013,Broj,Zapadno-hercegovački kanton,5+,2808
2013,Broj,Kanton Sarajevo,Total,187635
2013,Broj,Kanton Sarajevo,Nisu rađale,57188
2013,Broj,Kanton Sarajevo,1,32682
2013,Broj,Kanton Sarajevo,2,67572
2013,Broj,Kanton Sarajevo,3,19921
2013,Broj,Kanton Sarajevo,4,5881
2013,Broj,Kanton Sarajevo,5+,4391
2013,Broj,Kanton 10,Total,36041
2013,Broj,Kanton 10,Nisu rađale,12452
2013,Broj,Kanton 10,1,3043
2013,Broj,Kanton 10,2,8495
2013,Broj,Kanton 10,3,6804
2013,Broj,Kanton 10,4,3087
2013,Broj,Kanton 10,5+,2160
