Year,UNIT-MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Ukupno,1862272
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Bez obrazovanja,82724
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Nepotpuno osnovno obrazovanje,167956
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Osnovna škola,401188
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Srednja škola,952320
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Specijalizacija poslije srednje škole,13254
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Viša škola i prvi stepen fakulteta,56720
2013,Broj,Federacija Bosne i Hercegovine,Ukupno,Visoka škola / fakultet / akademija / univerzitet,188110
2013,Broj,Unsko-sanski kanton,Ukupno,Ukupno,225229
2013,Broj,Unsko-sanski kanton,Ukupno,Bez obrazovanja,13280
2013,Broj,Unsko-sanski kanton,Ukupno,Nepotpuno osnovno obrazovanje,23698
2013,Broj,Unsko-sanski kanton,Ukupno,Osnovna škola,65447
2013,Broj,Unsko-sanski kanton,Ukupno,Srednja škola,101836
2013,Broj,Unsko-sanski kanton,Ukupno,Specijalizacija poslije srednje škole,827
2013,Broj,Unsko-sanski kanton,Ukupno,Viša škola i prvi stepen fakulteta,6495
2013,Broj,Unsko-sanski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,13646
2013,Broj,Posavski kanton,Ukupno,Ukupno,37418
2013,Broj,Posavski kanton,Ukupno,Bez obrazovanja,1877
2013,Broj,Posavski kanton,Ukupno,Nepotpuno osnovno obrazovanje,5411
2013,Broj,Posavski kanton,Ukupno,Osnovna škola,8965
2013,Broj,Posavski kanton,Ukupno,Srednja škola,17468
2013,Broj,Posavski kanton,Ukupno,Specijalizacija poslije srednje škole,200
2013,Broj,Posavski kanton,Ukupno,Viša škola i prvi stepen fakulteta,1001
2013,Broj,Posavski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,2496
2013,Broj,Tuzlanski kanton,Ukupno,Ukupno,375224
2013,Broj,Tuzlanski kanton,Ukupno,Bez obrazovanja,19235
2013,Broj,Tuzlanski kanton,Ukupno,Nepotpuno osnovno obrazovanje,40851
2013,Broj,Tuzlanski kanton,Ukupno,Osnovna škola,86031
2013,Broj,Tuzlanski kanton,Ukupno,Srednja škola,191001
2013,Broj,Tuzlanski kanton,Ukupno,Specijalizacija poslije srednje škole,2692
2013,Broj,Tuzlanski kanton,Ukupno,Viša škola i prvi stepen fakulteta,7370
2013,Broj,Tuzlanski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,28044
2013,Broj,Zeničko-dobojski kanton,Ukupno,Ukupno,303990
2013,Broj,Zeničko-dobojski kanton,Ukupno,Bez obrazovanja,13040
2013,Broj,Zeničko-dobojski kanton,Ukupno,Nepotpuno osnovno obrazovanje,31325
2013,Broj,Zeničko-dobojski kanton,Ukupno,Osnovna škola,71548
2013,Broj,Zeničko-dobojski kanton,Ukupno,Srednja škola,156591
2013,Broj,Zeničko-dobojski kanton,Ukupno,Specijalizacija poslije srednje škole,3593
2013,Broj,Zeničko-dobojski kanton,Ukupno,Viša škola i prvi stepen fakulteta,7050
2013,Broj,Zeničko-dobojski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,20843
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Ukupno,20448
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Bez obrazovanja,1133
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Nepotpuno osnovno obrazovanje,1705
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Osnovna škola,4886
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Srednja škola,10173
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Specijalizacija poslije srednje škole,205
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Viša škola i prvi stepen fakulteta,518
2013,Broj,Bosansko-podrinjski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,1828
2013,Broj,Srednjobosanski kanton,Ukupno,Ukupno,211486
2013,Broj,Srednjobosanski kanton,Ukupno,Bez obrazovanja,10958
2013,Broj,Srednjobosanski kanton,Ukupno,Nepotpuno osnovno obrazovanje,23045
2013,Broj,Srednjobosanski kanton,Ukupno,Osnovna škola,49690
2013,Broj,Srednjobosanski kanton,Ukupno,Srednja škola,107657
2013,Broj,Srednjobosanski kanton,Ukupno,Specijalizacija poslije srednje škole,1321
2013,Broj,Srednjobosanski kanton,Ukupno,Viša škola i prvi stepen fakulteta,5219
2013,Broj,Srednjobosanski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,13596
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Ukupno,187848
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Bez obrazovanja,6789
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Nepotpuno osnovno obrazovanje,13648
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Osnovna škola,33296
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Srednja škola,101352
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Specijalizacija poslije srednje škole,1347
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Viša škola i prvi stepen fakulteta,7772
2013,Broj,Hercegovačko-neretvanski kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,23644
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Ukupno,78046
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Bez obrazovanja,2960
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Nepotpuno osnovno obrazovanje,6267
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Osnovna škola,12575
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Srednja škola,42986
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Specijalizacija poslije srednje škole,387
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Viša škola i prvi stepen fakulteta,3427
2013,Broj,Zapadno-hercegovački kanton,Ukupno,Visoka škola / fakultet / akademija / univerzitet,9444
2013,Broj,Kanton Sarajevo,Ukupno,Ukupno,350333
2013,Broj,Kanton Sarajevo,Ukupno,Bez obrazovanja,9766
2013,Broj,Kanton Sarajevo,Ukupno,Nepotpuno osnovno obrazovanje,14669
2013,Broj,Kanton Sarajevo,Ukupno,Osnovna škola,54955
2013,Broj,Kanton Sarajevo,Ukupno,Srednja škola,186928
2013,Broj,Kanton Sarajevo,Ukupno,Specijalizacija poslije srednje škole,2385
2013,Broj,Kanton Sarajevo,Ukupno,Viša škola i prvi stepen fakulteta,14716
2013,Broj,Kanton Sarajevo,Ukupno,Visoka škola / fakultet / akademija / univerzitet,66914
2013,Broj,Kanton 10,Ukupno,Ukupno,72250
2013,Broj,Kanton 10,Ukupno,Bez obrazovanja,3686
2013,Broj,Kanton 10,Ukupno,Nepotpuno osnovno obrazovanje,7337
2013,Broj,Kanton 10,Ukupno,Osnovna škola,13795
2013,Broj,Kanton 10,Ukupno,Srednja škola,36328
2013,Broj,Kanton 10,Ukupno,Specijalizacija poslije srednje škole,297
2013,Broj,Kanton 10,Ukupno,Viša škola i prvi stepen fakulteta,3152
2013,Broj,Kanton 10,Ukupno,Visoka škola / fakultet / akademija / univerzitet,7655
2013,Broj,Federacija Bosne i Hercegovine,M,Ukupno,904850
2013,Broj,Federacija Bosne i Hercegovine,M,Bez obrazovanja,13635
2013,Broj,Federacija Bosne i Hercegovine,M,Nepotpuno osnovno obrazovanje,46470
2013,Broj,Federacija Bosne i Hercegovine,M,Osnovna škola,166078
2013,Broj,Federacija Bosne i Hercegovine,M,Srednja škola,547281
2013,Broj,Federacija Bosne i Hercegovine,M,Specijalizacija poslije srednje škole,11005
2013,Broj,Federacija Bosne i Hercegovine,M,Viša škola i prvi stepen fakulteta,30520
2013,Broj,Federacija Bosne i Hercegovine,M,Visoka škola / fakultet / akademija / univerzitet,89861
2013,Broj,Unsko-sanski kanton,M,Ukupno,110711
2013,Broj,Unsko-sanski kanton,M,Bez obrazovanja,2609
2013,Broj,Unsko-sanski kanton,M,Nepotpuno osnovno obrazovanje,8511
2013,Broj,Unsko-sanski kanton,M,Osnovna škola,29553
2013,Broj,Unsko-sanski kanton,M,Srednja škola,59686
2013,Broj,Unsko-sanski kanton,M,Specijalizacija poslije srednje škole,583
2013,Broj,Unsko-sanski kanton,M,Viša škola i prvi stepen fakulteta,3294
2013,Broj,Unsko-sanski kanton,M,Visoka škola / fakultet / akademija / univerzitet,6475
2013,Broj,Posavski kanton,M,Ukupno,18656
2013,Broj,Posavski kanton,M,Bez obrazovanja,367
2013,Broj,Posavski kanton,M,Nepotpuno osnovno obrazovanje,2125
2013,Broj,Posavski kanton,M,Osnovna škola,4316
2013,Broj,Posavski kanton,M,Srednja škola,9831
2013,Broj,Posavski kanton,M,Specijalizacija poslije srednje škole,146
2013,Broj,Posavski kanton,M,Viša škola i prvi stepen fakulteta,572
2013,Broj,Posavski kanton,M,Visoka škola / fakultet / akademija / univerzitet,1299
2013,Broj,Tuzlanski kanton,M,Ukupno,181535
2013,Broj,Tuzlanski kanton,M,Bez obrazovanja,3089
2013,Broj,Tuzlanski kanton,M,Nepotpuno osnovno obrazovanje,10230
2013,Broj,Tuzlanski kanton,M,Osnovna škola,34890
2013,Broj,Tuzlanski kanton,M,Srednja škola,112695
2013,Broj,Tuzlanski kanton,M,Specijalizacija poslije srednje škole,2325
2013,Broj,Tuzlanski kanton,M,Viša škola i prvi stepen fakulteta,4293
2013,Broj,Tuzlanski kanton,M,Visoka škola / fakultet / akademija / univerzitet,14013
2013,Broj,Zeničko-dobojski kanton,M,Ukupno,149837
2013,Broj,Zeničko-dobojski kanton,M,Bez obrazovanja,1936
2013,Broj,Zeničko-dobojski kanton,M,Nepotpuno osnovno obrazovanje,7908
2013,Broj,Zeničko-dobojski kanton,M,Osnovna škola,28285
2013,Broj,Zeničko-dobojski kanton,M,Srednja škola,94181
