Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2010,Broj,federation_of_bih,Oba spola,32648.0
2011,Broj,federation_of_bih,Oba spola,35455.0
2012,Broj,federation_of_bih,Oba spola,28648.0
2013,Broj,federation_of_bih,Oba spola,21199.0
2014,Broj,federation_of_bih,Oba spola,24320.0
2015,Broj,federation_of_bih,Oba spola,
2016,Broj,federation_of_bih,Oba spola,23972.0
2017,Broj,federation_of_bih,Oba spola,23499.0
2018,Broj,federation_of_bih,Oba spola,24693.0
2019,Broj,federation_of_bih,Oba spola,21234.0
2010,Broj,federation_of_bih,M,16647.0
2011,Broj,federation_of_bih,M,18259.0
2012,Broj,federation_of_bih,M,14859.0
2013,Broj,federation_of_bih,M,10817.0
2014,Broj,federation_of_bih,M,12257.0
2015,Broj,federation_of_bih,M,
2016,Broj,federation_of_bih,M,12303.0
2017,Broj,federation_of_bih,M,11999.0
2018,Broj,federation_of_bih,M,12619.0
2019,Broj,federation_of_bih,M,10607.0
2010,Broj,federation_of_bih,Ž,16001.0
2011,Broj,federation_of_bih,Ž,17196.0
2012,Broj,federation_of_bih,Ž,13789.0
2013,Broj,federation_of_bih,Ž,10382.0
2014,Broj,federation_of_bih,Ž,12063.0
2015,Broj,federation_of_bih,Ž,
2016,Broj,federation_of_bih,Ž,11669.0
2017,Broj,federation_of_bih,Ž,11500.0
2018,Broj,federation_of_bih,Ž,12074.0
2019,Broj,federation_of_bih,Ž,10627.0
2010,Broj,una-sana_canton,Oba spola,
2011,Broj,una-sana_canton,Oba spola,
2012,Broj,una-sana_canton,Oba spola,
2013,Broj,una-sana_canton,Oba spola,
2014,Broj,una-sana_canton,Oba spola,
2015,Broj,una-sana_canton,Oba spola,
2016,Broj,una-sana_canton,Oba spola,
2017,Broj,una-sana_canton,Oba spola,
2018,Broj,una-sana_canton,Oba spola,
2019,Broj,una-sana_canton,Oba spola,
2010,Broj,una-sana_canton,M,
2011,Broj,una-sana_canton,M,
2012,Broj,una-sana_canton,M,
2013,Broj,una-sana_canton,M,
2014,Broj,una-sana_canton,M,
2015,Broj,una-sana_canton,M,
2016,Broj,una-sana_canton,M,
2017,Broj,una-sana_canton,M,
2018,Broj,una-sana_canton,M,
2019,Broj,una-sana_canton,M,
2010,Broj,una-sana_canton,Ž,
2011,Broj,una-sana_canton,Ž,
2012,Broj,una-sana_canton,Ž,
2013,Broj,una-sana_canton,Ž,
2014,Broj,una-sana_canton,Ž,
2015,Broj,una-sana_canton,Ž,
2016,Broj,una-sana_canton,Ž,
2017,Broj,una-sana_canton,Ž,
2018,Broj,una-sana_canton,Ž,
2019,Broj,una-sana_canton,Ž,
2010,Broj,posavina_canton,Oba spola,
2011,Broj,posavina_canton,Oba spola,
2012,Broj,posavina_canton,Oba spola,
2013,Broj,posavina_canton,Oba spola,
2014,Broj,posavina_canton,Oba spola,
2015,Broj,posavina_canton,Oba spola,
2016,Broj,posavina_canton,Oba spola,
2017,Broj,posavina_canton,Oba spola,
2018,Broj,posavina_canton,Oba spola,
2019,Broj,posavina_canton,Oba spola,
2010,Broj,posavina_canton,M,
2011,Broj,posavina_canton,M,
2012,Broj,posavina_canton,M,
2013,Broj,posavina_canton,M,
2014,Broj,posavina_canton,M,
2015,Broj,posavina_canton,M,
2016,Broj,posavina_canton,M,
2017,Broj,posavina_canton,M,
2018,Broj,posavina_canton,M,
2019,Broj,posavina_canton,M,
2010,Broj,posavina_canton,Ž,
2011,Broj,posavina_canton,Ž,
2012,Broj,posavina_canton,Ž,
2013,Broj,posavina_canton,Ž,
2014,Broj,posavina_canton,Ž,
2015,Broj,posavina_canton,Ž,
2016,Broj,posavina_canton,Ž,
2017,Broj,posavina_canton,Ž,
2018,Broj,posavina_canton,Ž,
2019,Broj,posavina_canton,Ž,
2010,Broj,tuzla_canton,Oba spola,
2011,Broj,tuzla_canton,Oba spola,
2012,Broj,tuzla_canton,Oba spola,
2013,Broj,tuzla_canton,Oba spola,
2014,Broj,tuzla_canton,Oba spola,
2015,Broj,tuzla_canton,Oba spola,
2016,Broj,tuzla_canton,Oba spola,
2017,Broj,tuzla_canton,Oba spola,
2018,Broj,tuzla_canton,Oba spola,
2019,Broj,tuzla_canton,Oba spola,
2010,Broj,tuzla_canton,M,
2011,Broj,tuzla_canton,M,
2012,Broj,tuzla_canton,M,
2013,Broj,tuzla_canton,M,
2014,Broj,tuzla_canton,M,
2015,Broj,tuzla_canton,M,
2016,Broj,tuzla_canton,M,
2017,Broj,tuzla_canton,M,
2018,Broj,tuzla_canton,M,
2019,Broj,tuzla_canton,M,
2010,Broj,tuzla_canton,Ž,
2011,Broj,tuzla_canton,Ž,
2012,Broj,tuzla_canton,Ž,
2013,Broj,tuzla_canton,Ž,
2014,Broj,tuzla_canton,Ž,
2015,Broj,tuzla_canton,Ž,
2016,Broj,tuzla_canton,Ž,
2017,Broj,tuzla_canton,Ž,
2018,Broj,tuzla_canton,Ž,
2019,Broj,tuzla_canton,Ž,
2010,Broj,zenica-doboj_canton,Oba spola,
2011,Broj,zenica-doboj_canton,Oba spola,
2012,Broj,zenica-doboj_canton,Oba spola,
2013,Broj,zenica-doboj_canton,Oba spola,
2014,Broj,zenica-doboj_canton,Oba spola,
2015,Broj,zenica-doboj_canton,Oba spola,
2016,Broj,zenica-doboj_canton,Oba spola,
2017,Broj,zenica-doboj_canton,Oba spola,
2018,Broj,zenica-doboj_canton,Oba spola,
