Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Value
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2016,Broj,Federacija Bosne i Hercegovine,technical_high_schools,
2016,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2016,Broj,Federacija Bosne i Hercegovine,religious_schools,
2016,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2017,Broj,Federacija Bosne i Hercegovine,technical_high_schools,
2017,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2017,Broj,Federacija Bosne i Hercegovine,religious_schools,
2017,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2018,Broj,Federacija Bosne i Hercegovine,technical_high_schools,
2018,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2018,Broj,Federacija Bosne i Hercegovine,religious_schools,
2018,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2019,Broj,Federacija Bosne i Hercegovine,technical_high_schools,
2019,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2019,Broj,Federacija Bosne i Hercegovine,religious_schools,
2019,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,
2020,Broj,Federacija Bosne i Hercegovine,technical_high_schools,
2020,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,
2020,Broj,Federacija Bosne i Hercegovine,religious_schools,
2020,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,
2016,Broj,Unsko-sanski kanton,Gimnazija,
2016,Broj,Unsko-sanski kanton,technical_high_schools,
2016,Broj,Unsko-sanski kanton,vocational_high_schools,
2016,Broj,Unsko-sanski kanton,Umjetničke škole,
2016,Broj,Unsko-sanski kanton,religious_schools,
2016,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Unsko-sanski kanton,Gimnazija,
2017,Broj,Unsko-sanski kanton,technical_high_schools,
2017,Broj,Unsko-sanski kanton,vocational_high_schools,
2017,Broj,Unsko-sanski kanton,Umjetničke škole,
2017,Broj,Unsko-sanski kanton,religious_schools,
2017,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Unsko-sanski kanton,Gimnazija,
2018,Broj,Unsko-sanski kanton,technical_high_schools,
2018,Broj,Unsko-sanski kanton,vocational_high_schools,
2018,Broj,Unsko-sanski kanton,Umjetničke škole,
2018,Broj,Unsko-sanski kanton,religious_schools,
2018,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Unsko-sanski kanton,Gimnazija,
2019,Broj,Unsko-sanski kanton,technical_high_schools,
2019,Broj,Unsko-sanski kanton,vocational_high_schools,
2019,Broj,Unsko-sanski kanton,Umjetničke škole,
2019,Broj,Unsko-sanski kanton,religious_schools,
2019,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Unsko-sanski kanton,Gimnazija,
2020,Broj,Unsko-sanski kanton,technical_high_schools,
2020,Broj,Unsko-sanski kanton,vocational_high_schools,
2020,Broj,Unsko-sanski kanton,Umjetničke škole,
2020,Broj,Unsko-sanski kanton,religious_schools,
2020,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Posavski kanton,Gimnazija,
2016,Broj,Posavski kanton,technical_high_schools,
2016,Broj,Posavski kanton,vocational_high_schools,
2016,Broj,Posavski kanton,Umjetničke škole,
2016,Broj,Posavski kanton,religious_schools,
2016,Broj,Posavski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Posavski kanton,Gimnazija,
2017,Broj,Posavski kanton,technical_high_schools,
2017,Broj,Posavski kanton,vocational_high_schools,
2017,Broj,Posavski kanton,Umjetničke škole,
2017,Broj,Posavski kanton,religious_schools,
2017,Broj,Posavski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Posavski kanton,Gimnazija,
2018,Broj,Posavski kanton,technical_high_schools,
2018,Broj,Posavski kanton,vocational_high_schools,
2018,Broj,Posavski kanton,Umjetničke škole,
2018,Broj,Posavski kanton,religious_schools,
2018,Broj,Posavski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Posavski kanton,Gimnazija,
2019,Broj,Posavski kanton,technical_high_schools,
2019,Broj,Posavski kanton,vocational_high_schools,
2019,Broj,Posavski kanton,Umjetničke škole,
2019,Broj,Posavski kanton,religious_schools,
2019,Broj,Posavski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Posavski kanton,Gimnazija,
2020,Broj,Posavski kanton,technical_high_schools,
2020,Broj,Posavski kanton,vocational_high_schools,
2020,Broj,Posavski kanton,Umjetničke škole,
2020,Broj,Posavski kanton,religious_schools,
2020,Broj,Posavski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Tuzlanski kanton,Gimnazija,
2016,Broj,Tuzlanski kanton,technical_high_schools,
2016,Broj,Tuzlanski kanton,vocational_high_schools,
2016,Broj,Tuzlanski kanton,Umjetničke škole,
2016,Broj,Tuzlanski kanton,religious_schools,
2016,Broj,Tuzlanski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Tuzlanski kanton,Gimnazija,
2017,Broj,Tuzlanski kanton,technical_high_schools,
2017,Broj,Tuzlanski kanton,vocational_high_schools,
2017,Broj,Tuzlanski kanton,Umjetničke škole,
2017,Broj,Tuzlanski kanton,religious_schools,
2017,Broj,Tuzlanski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Tuzlanski kanton,Gimnazija,
2018,Broj,Tuzlanski kanton,technical_high_schools,
2018,Broj,Tuzlanski kanton,vocational_high_schools,
2018,Broj,Tuzlanski kanton,Umjetničke škole,
2018,Broj,Tuzlanski kanton,religious_schools,
2018,Broj,Tuzlanski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Tuzlanski kanton,Gimnazija,
2019,Broj,Tuzlanski kanton,technical_high_schools,
2019,Broj,Tuzlanski kanton,vocational_high_schools,
2019,Broj,Tuzlanski kanton,Umjetničke škole,
2019,Broj,Tuzlanski kanton,religious_schools,
2019,Broj,Tuzlanski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Tuzlanski kanton,Gimnazija,
2020,Broj,Tuzlanski kanton,technical_high_schools,
2020,Broj,Tuzlanski kanton,vocational_high_schools,
2020,Broj,Tuzlanski kanton,Umjetničke škole,
2020,Broj,Tuzlanski kanton,religious_schools,
2020,Broj,Tuzlanski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Zeničko-dobojski kanton,Gimnazija,
2016,Broj,Zeničko-dobojski kanton,technical_high_schools,
2016,Broj,Zeničko-dobojski kanton,vocational_high_schools,
2016,Broj,Zeničko-dobojski kanton,Umjetničke škole,
2016,Broj,Zeničko-dobojski kanton,religious_schools,
2016,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Zeničko-dobojski kanton,Gimnazija,
