Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Unsko-sanski kanton,Gimnazija,Oba spola,
2016,Broj,Unsko-sanski kanton,Tehničke škole,Oba spola,
2016,Broj,Unsko-sanski kanton,Stručne škole,Oba spola,
2016,Broj,Unsko-sanski kanton,Umjetničke škole,Oba spola,
2016,Broj,Unsko-sanski kanton,Vjerske škole,Oba spola,
2016,Broj,Unsko-sanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Unsko-sanski kanton,Gimnazija,Oba spola,
2017,Broj,Unsko-sanski kanton,Tehničke škole,Oba spola,
2017,Broj,Unsko-sanski kanton,Stručne škole,Oba spola,
2017,Broj,Unsko-sanski kanton,Umjetničke škole,Oba spola,
2017,Broj,Unsko-sanski kanton,Vjerske škole,Oba spola,
2017,Broj,Unsko-sanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Unsko-sanski kanton,Gimnazija,Oba spola,
2018,Broj,Unsko-sanski kanton,Tehničke škole,Oba spola,
2018,Broj,Unsko-sanski kanton,Stručne škole,Oba spola,
2018,Broj,Unsko-sanski kanton,Umjetničke škole,Oba spola,
2018,Broj,Unsko-sanski kanton,Vjerske škole,Oba spola,
2018,Broj,Unsko-sanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Unsko-sanski kanton,Gimnazija,Oba spola,
2019,Broj,Unsko-sanski kanton,Tehničke škole,Oba spola,
2019,Broj,Unsko-sanski kanton,Stručne škole,Oba spola,
