Year,UNIT_MEASURE,Administrativna oblast,Vrsta obrazovanja,Spol,Value
2016,Broj,Federacija Bosne i Hercegovine,masters_of_science,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,masters_of_science,M,
2016,Broj,Federacija Bosne i Hercegovine,masters_of_science,Ž,
2017,Broj,Federacija Bosne i Hercegovine,masters_of_science,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,masters_of_science,M,
2017,Broj,Federacija Bosne i Hercegovine,masters_of_science,Ž,
2018,Broj,Federacija Bosne i Hercegovine,masters_of_science,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,masters_of_science,M,
2018,Broj,Federacija Bosne i Hercegovine,masters_of_science,Ž,
2019,Broj,Federacija Bosne i Hercegovine,masters_of_science,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,masters_of_science,M,
2019,Broj,Federacija Bosne i Hercegovine,masters_of_science,Ž,
2020,Broj,Federacija Bosne i Hercegovine,masters_of_science,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,masters_of_science,M,
2020,Broj,Federacija Bosne i Hercegovine,masters_of_science,Ž,
2016,Broj,Federacija Bosne i Hercegovine,masters,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,masters,M,
2016,Broj,Federacija Bosne i Hercegovine,masters,Ž,
2017,Broj,Federacija Bosne i Hercegovine,masters,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,masters,M,
2017,Broj,Federacija Bosne i Hercegovine,masters,Ž,
2018,Broj,Federacija Bosne i Hercegovine,masters,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,masters,M,
2018,Broj,Federacija Bosne i Hercegovine,masters,Ž,
2019,Broj,Federacija Bosne i Hercegovine,masters,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,masters,M,
2019,Broj,Federacija Bosne i Hercegovine,masters,Ž,
2020,Broj,Federacija Bosne i Hercegovine,masters,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,masters,M,
2020,Broj,Federacija Bosne i Hercegovine,masters,Ž,
2016,Broj,Federacija Bosne i Hercegovine,specialists,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,specialists,M,
2016,Broj,Federacija Bosne i Hercegovine,specialists,Ž,
2017,Broj,Federacija Bosne i Hercegovine,specialists,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,specialists,M,
2017,Broj,Federacija Bosne i Hercegovine,specialists,Ž,
2018,Broj,Federacija Bosne i Hercegovine,specialists,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,specialists,M,
2018,Broj,Federacija Bosne i Hercegovine,specialists,Ž,
2019,Broj,Federacija Bosne i Hercegovine,specialists,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,specialists,M,
2019,Broj,Federacija Bosne i Hercegovine,specialists,Ž,
2020,Broj,Federacija Bosne i Hercegovine,specialists,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,specialists,M,
2020,Broj,Federacija Bosne i Hercegovine,specialists,Ž,
2016,Broj,Tuzlanski kanton,masters_of_science,Oba spola,
2016,Broj,Tuzlanski kanton,masters_of_science,M,
2016,Broj,Tuzlanski kanton,masters_of_science,Ž,
2017,Broj,Tuzlanski kanton,masters_of_science,Oba spola,
2017,Broj,Tuzlanski kanton,masters_of_science,M,
2017,Broj,Tuzlanski kanton,masters_of_science,Ž,
2018,Broj,Tuzlanski kanton,masters_of_science,Oba spola,
2018,Broj,Tuzlanski kanton,masters_of_science,M,
2018,Broj,Tuzlanski kanton,masters_of_science,Ž,
2019,Broj,Tuzlanski kanton,masters_of_science,Oba spola,
2019,Broj,Tuzlanski kanton,masters_of_science,M,
2019,Broj,Tuzlanski kanton,masters_of_science,Ž,
2020,Broj,Tuzlanski kanton,masters_of_science,Oba spola,
2020,Broj,Tuzlanski kanton,masters_of_science,M,
2020,Broj,Tuzlanski kanton,masters_of_science,Ž,
2016,Broj,Tuzlanski kanton,masters,Oba spola,
