Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2018,Broj,Ukupno,Oba spola,12083
2018,Broj,Obrazovanje,Oba spola,1188
2018,Broj,Umjetnost i humanističke nauke,Oba spola,1348
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Oba spola,1800
2018,Broj,"Poslovanje, administracija i pravo svega",Oba spola,2411
2018,Broj,"Prirodne nauke, matematika i statistika svega",Oba spola,673
2018,Broj,Informacione i komunikacione tehnologije,Oba spola,578
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1879
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,694
2018,Broj,Zdravstvo i socijalna zaštita,Oba spola,1050
2018,Broj,Usluge,Oba spola,390
2018,Broj,Nepoznato,Oba spola,72
2018,Broj,Ukupno,M,4563
2018,Broj,Obrazovanje,M,286
2018,Broj,Umjetnost i humanističke nauke,M,393
2018,Broj,"Društvene nauke, novinarstvo i informisanje",M,627
2018,Broj,"Poslovanje, administracija i pravo svega",M,864
2018,Broj,"Prirodne nauke, matematika i statistika svega",M,176
2018,Broj,Informacione i komunikacione tehnologije,M,350
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1100
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,303
2018,Broj,Zdravstvo i socijalna zaštita,M,231
2018,Broj,Usluge,M,209
2018,Broj,Nepoznato,M,24
2018,Broj,Ukupno,Ž,7520
2018,Broj,Obrazovanje,Ž,902
2018,Broj,Umjetnost i humanističke nauke,Ž,955
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,1173
2018,Broj,"Poslovanje, administracija i pravo svega",Ž,1547
2018,Broj,"Prirodne nauke, matematika i statistika svega",Ž,497
2018,Broj,Informacione i komunikacione tehnologije,Ž,228
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,779
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,391
2018,Broj,Zdravstvo i socijalna zaštita,Ž,819
2018,Broj,Usluge,Ž,181
2018,Broj,Nepoznato,Ž,48
2019,Broj,Ukupno,Oba spola,12449
2019,Broj,Obrazovanje,Oba spola,1129
2019,Broj,Umjetnost i humanističke nauke,Oba spola,1387
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Oba spola,1737
2019,Broj,"Poslovanje, administracija i pravo svega",Oba spola,2522
2019,Broj,"Prirodne nauke, matematika i statistika svega",Oba spola,659
2019,Broj,Informacione i komunikacione tehnologije,Oba spola,505
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1927
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,737
2019,Broj,Zdravstvo i socijalna zaštita,Oba spola,1158
2019,Broj,Usluge,Oba spola,603
2019,Broj,Nepoznato,Oba spola,85
2019,Broj,Ukupno,M,4808
2019,Broj,Obrazovanje,M,324
2019,Broj,Umjetnost i humanističke nauke,M,448
2019,Broj,"Društvene nauke, novinarstvo i informisanje",M,629
2019,Broj,"Poslovanje, administracija i pravo svega",M,877
2019,Broj,"Prirodne nauke, matematika i statistika svega",M,171
2019,Broj,Informacione i komunikacione tehnologije,M,314
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1103
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,316
2019,Broj,Zdravstvo i socijalna zaštita,M,271
2019,Broj,Usluge,M,328
2019,Broj,Nepoznato,M,27
2019,Broj,Ukupno,Ž,7641
2019,Broj,Obrazovanje,Ž,805
2019,Broj,Umjetnost i humanističke nauke,Ž,939
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,1108
2019,Broj,"Poslovanje, administracija i pravo svega",Ž,1645
2019,Broj,"Prirodne nauke, matematika i statistika svega",Ž,488
2019,Broj,Informacione i komunikacione tehnologije,Ž,191
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,824
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,421
2019,Broj,Zdravstvo i socijalna zaštita,Ž,887
2019,Broj,Usluge,Ž,275
2019,Broj,Nepoznato,Ž,58
2020,Broj,Ukupno,Oba spola,13192
2020,Broj,Obrazovanje,Oba spola,1268
2020,Broj,Umjetnost i humanističke nauke,Oba spola,1329
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Oba spola,1932
2020,Broj,"Poslovanje, administracija i pravo svega",Oba spola,2514
