Year,UNIT_MEASURE,status_in_employment,Spol,Value
2015,%,employees,Oba spola,75.8
2016,%,employees,Oba spola,75.6
2017,%,employees,Oba spola,75.4
2018,%,employees,Oba spola,78.6
2019,%,employees,Oba spola,75.1
2020,%,employees,Oba spola,81.6
2015,%,self_employed,Oba spola,20.7
2016,%,self_employed,Oba spola,21.1
2017,%,self_employed,Oba spola,20.6
2018,%,self_employed,Oba spola,17.6
2019,%,self_employed,Oba spola,21.9
2020,%,self_employed,Oba spola,15.0
2015,%,unpaid_family_workers,Oba spola,3.5
2016,%,unpaid_family_workers,Oba spola,3.3
2017,%,unpaid_family_workers,Oba spola,3.9
2018,%,unpaid_family_workers,Oba spola,3.7
2019,%,unpaid_family_workers,Oba spola,3.0
2020,%,unpaid_family_workers,Oba spola,3.4
2015,%,employees,M,74.3
2016,%,employees,M,74.7
2017,%,employees,M,75.6
2018,%,employees,M,78.5
2019,%,employees,M,75.8
2020,%,employees,M,82.2
2015,%,self_employed,M,23.9
2016,%,self_employed,M,23.6
2017,%,self_employed,M,22.6
2018,%,self_employed,M,19.6
2019,%,self_employed,M,22.8
2020,%,self_employed,M,16.4
2015,%,unpaid_family_workers,M,1.7
2016,%,unpaid_family_workers,M,1.7
2017,%,unpaid_family_workers,M,1.9
2018,%,unpaid_family_workers,M,1.9
2019,%,unpaid_family_workers,M,1.4
2020,%,unpaid_family_workers,M,1.4
2015,%,employees,Ž,78.2
2016,%,employees,Ž,77.2
2017,%,employees,Ž,75.2
2018,%,employees,Ž,78.9
2019,%,employees,Ž,74.0
2020,%,employees,Ž,80.6
2015,%,self_employed,Ž,15.2
2016,%,self_employed,Ž,16.5
2017,%,self_employed,Ž,17.4
2018,%,self_employed,Ž,14.3
2019,%,self_employed,Ž,20.4
2020,%,self_employed,Ž,12.7
2015,%,unpaid_family_workers,Ž,6.6
2016,%,unpaid_family_workers,Ž,6.3
2017,%,unpaid_family_workers,Ž,7.4
2018,%,unpaid_family_workers,Ž,6.8
2019,%,unpaid_family_workers,Ž,5.6
2020,%,unpaid_family_workers,Ž,6.7
