Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
1996,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,32614
1996,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,4646
1996,Broj,Ukupno,Posavski kanton,Živorođeni,43
1996,Broj,Ukupno,Tuzlanski kanton,Živorođeni,6825
1996,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,7375
1996,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,495
1996,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,4350
1996,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2913
1996,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,950
1996,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4154
1996,Broj,Ukupno,Kanton 10,Živorođeni,863
1996,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,17120
1996,Broj,M,Unsko-sanski kanton,Živorođeni,2518
1996,Broj,M,Posavski kanton,Živorođeni,23
1996,Broj,M,Tuzlanski kanton,Živorođeni,3515
1996,Broj,M,Zeničko-dobojski kanton,Živorođeni,3937
1996,Broj,M,Bosansko-podrinjski kanton,Živorođeni,249
1996,Broj,M,Srednjobosanski kanton,Živorođeni,2285
1996,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1506
1996,Broj,M,Zapadno-hercegovački kanton,Živorođeni,506
1996,Broj,M,Kanton Sarajevo,Živorođeni,2133
1996,Broj,M,Kanton 10,Živorođeni,448
1996,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,15494
1996,Broj,Ž,Unsko-sanski kanton,Živorođeni,2128
1996,Broj,Ž,Posavski kanton,Živorođeni,20
1996,Broj,Ž,Tuzlanski kanton,Živorođeni,3310
1996,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,3438
1996,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,246
1996,Broj,Ž,Srednjobosanski kanton,Živorođeni,2065
1996,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1407
1996,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,444
1996,Broj,Ž,Kanton Sarajevo,Živorođeni,2021
1996,Broj,Ž,Kanton 10,Živorođeni,415
1997,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,33003
1997,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,5682
1997,Broj,Ukupno,Posavski kanton,Živorođeni,22
1997,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5901
1997,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,6764
1997,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,482
1997,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,4134
1997,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2745
1997,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,1082
1997,Broj,Ukupno,Kanton Sarajevo,Živorođeni,5245
1997,Broj,Ukupno,Kanton 10,Živorođeni,946
1997,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,17251
1997,Broj,M,Unsko-sanski kanton,Živorođeni,2930
1997,Broj,M,Posavski kanton,Živorođeni,13
1997,Broj,M,Tuzlanski kanton,Živorođeni,3097
1997,Broj,M,Zeničko-dobojski kanton,Živorođeni,3486
1997,Broj,M,Bosansko-podrinjski kanton,Živorođeni,255
1997,Broj,M,Srednjobosanski kanton,Živorođeni,2200
1997,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1482
1997,Broj,M,Zapadno-hercegovački kanton,Živorođeni,584
1997,Broj,M,Kanton Sarajevo,Živorođeni,2734
1997,Broj,M,Kanton 10,Živorođeni,470
1997,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,15752
1997,Broj,Ž,Unsko-sanski kanton,Živorođeni,2752
1997,Broj,Ž,Posavski kanton,Živorođeni,9
1997,Broj,Ž,Tuzlanski kanton,Živorođeni,2804
1997,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,3278
1997,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,227
1997,Broj,Ž,Srednjobosanski kanton,Živorođeni,1934
1997,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1263
1997,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,498
1997,Broj,Ž,Kanton Sarajevo,Živorođeni,2511
1997,Broj,Ž,Kanton 10,Živorođeni,476
1998,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,30427
1998,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,5158
1998,Broj,Ukupno,Posavski kanton,Živorođeni,30
1998,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5858
1998,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,6068
1998,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,406
1998,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,3765
1998,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2526
1998,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,913
1998,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4890
1998,Broj,Ukupno,Kanton 10,Živorođeni,813
1998,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,15811
1998,Broj,M,Unsko-sanski kanton,Živorođeni,442
1998,Broj,M,Posavski kanton,Živorođeni,14
1998,Broj,M,Tuzlanski kanton,Živorođeni,3032
1998,Broj,M,Zeničko-dobojski kanton,Živorođeni,3169
1998,Broj,M,Bosansko-podrinjski kanton,Živorođeni,216
1998,Broj,M,Srednjobosanski kanton,Živorođeni,1904
1998,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1272
1998,Broj,M,Zapadno-hercegovački kanton,Živorođeni,470
1998,Broj,M,Kanton Sarajevo,Živorođeni,2558
1998,Broj,M,Kanton 10,Živorođeni,442
1998,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,14616
1998,Broj,Ž,Unsko-sanski kanton,Živorođeni,371
1998,Broj,Ž,Posavski kanton,Živorođeni,16
1998,Broj,Ž,Tuzlanski kanton,Živorođeni,2826
1998,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,2899
1998,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,190
1998,Broj,Ž,Srednjobosanski kanton,Živorođeni,1861
1998,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1254
1998,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,443
1998,Broj,Ž,Kanton Sarajevo,Živorođeni,2332
1998,Broj,Ž,Kanton 10,Živorođeni,371
1999,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,27614
1999,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,4675
1999,Broj,Ukupno,Posavski kanton,Živorođeni,302
1999,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5627
1999,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,5124
1999,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,360
1999,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,3439
1999,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2012
1999,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,654
1999,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4621
1999,Broj,Ukupno,Kanton 10,Živorođeni,800
1999,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,14046
1999,Broj,M,Unsko-sanski kanton,Živorođeni,2366
1999,Broj,M,Posavski kanton,Živorođeni,159
1999,Broj,M,Tuzlanski kanton,Živorođeni,2885
