Year,UNIT_MEASURE,Spol,Value
1996,Starosna dob,M,32.1
1997,Starosna dob,M,32.2
1998,Starosna dob,M,32.5
1999,Starosna dob,M,32.9
2000,Starosna dob,M,33.2
2001,Starosna dob,M,33.6
2002,Starosna dob,M,33.9
2003,Starosna dob,M,34.3
2004,Starosna dob,M,34.6
2005,Starosna dob,M,34.9
2006,Starosna dob,M,35.3
2007,Starosna dob,M,35.6
2008,Starosna dob,M,35.9
2009,Starosna dob,M,36.2
2010,Starosna dob,M,36.4
2011,Starosna dob,M,36.7
2012,Starosna dob,M,37.0
2013,Starosna dob,M,37.3
2014,Starosna dob,M,37.7
2015,Starosna dob,M,38.0
2016,Starosna dob,M,38.3
2017,Starosna dob,M,38.7
2018,Starosna dob,M,39.0
2019,Starosna dob,M,39.3
2020,Starosna dob,M,39.7
2021,Starosna dob,M,40.0
2022,Starosna dob,M,40.3
2023,Starosna dob,M,40.7
1996,Starosna dob,Ž,34.2
1997,Starosna dob,Ž,34.4
1998,Starosna dob,Ž,34.7
1999,Starosna dob,Ž,35.0
2000,Starosna dob,Ž,35.4
2001,Starosna dob,Ž,35.8
2002,Starosna dob,Ž,36.2
2003,Starosna dob,Ž,36.5
2004,Starosna dob,Ž,36.9
2005,Starosna dob,Ž,37.2
2006,Starosna dob,Ž,37.6
2007,Starosna dob,Ž,37.9
2008,Starosna dob,Ž,38.2
2009,Starosna dob,Ž,38.5
2010,Starosna dob,Ž,38.8
2011,Starosna dob,Ž,39.1
2012,Starosna dob,Ž,39.4
2013,Starosna dob,Ž,39.7
2014,Starosna dob,Ž,40.1
2015,Starosna dob,Ž,40.4
2016,Starosna dob,Ž,40.7
2017,Starosna dob,Ž,41.1
2018,Starosna dob,Ž,41.4
2019,Starosna dob,Ž,41.7
2020,Starosna dob,Ž,42.1
2021,Starosna dob,Ž,42.4
2022,Starosna dob,Ž,42.7
2023,Starosna dob,Ž,43.1
