Year,UNIT_MEASURE,Starosna dob,Value
2014,Broj,1,
2014,Broj,2,
2014,Broj,3,
2014,Broj,4,
2014,Broj,5,
2014,Broj,6,
2014,Broj,7,
2014,Broj,8,
2014,Broj,9,
2014,Broj,10,
2014,Broj,11,
2014,Broj,12,
2014,Broj,13,
2014,Broj,14,
2014,Broj,15,
2014,Broj,16,
2014,Broj,17,
2014,Broj,18,
2014,Broj,19,
2014,Broj,20,
2014,Broj,21,
2014,Broj,22,
2014,Broj,23,
2014,Broj,24,
2014,Broj,25,
2014,Broj,26,
2014,Broj,27,
2014,Broj,28,
2014,Broj,29,
2014,Broj,30,
2014,Broj,31,
2014,Broj,32,
2014,Broj,33,
2014,Broj,34,
2014,Broj,35,
2014,Broj,36,
2014,Broj,37,
2014,Broj,38,
2014,Broj,39,
2014,Broj,40,
2014,Broj,41,
2014,Broj,42,
2014,Broj,43,
2014,Broj,44,
2014,Broj,45,
2014,Broj,46,
2014,Broj,47,
2014,Broj,48,
2014,Broj,49,
2014,Broj,50,
2014,Broj,51,
2014,Broj,52,
2014,Broj,53,
2014,Broj,54,
2014,Broj,55,
2014,Broj,56,
2014,Broj,57,
2014,Broj,58,
2014,Broj,59,
2014,Broj,60,
2014,Broj,61,
2014,Broj,62,
2014,Broj,63,
2014,Broj,64,
2014,Broj,65,
2014,Broj,66,
2014,Broj,67,
2014,Broj,68,
2014,Broj,69,
2014,Broj,70,
2014,Broj,71,
2014,Broj,72,
2014,Broj,73,
2014,Broj,74,
2014,Broj,75,
2014,Broj,76,
2014,Broj,77,
2014,Broj,78,
2014,Broj,79,
2014,Broj,80,
2014,Broj,81,
2014,Broj,82,
2014,Broj,83,
2014,Broj,84,
2014,Broj,85,
2014,Broj,86,
2014,Broj,87,
2014,Broj,88,
2014,Broj,89,
2014,Broj,90,
2014,Broj,91,
2014,Broj,92,
2014,Broj,93,
2014,Broj,94,
2014,Broj,95,
2014,Broj,96,
2014,Broj,97,
2014,Broj,98,
2014,Broj,99,
2014,Broj,100,
2015,Broj,1,
2015,Broj,2,
2015,Broj,3,
2015,Broj,4,
2015,Broj,5,
2015,Broj,6,
2015,Broj,7,
2015,Broj,8,
2015,Broj,9,
2015,Broj,10,
2015,Broj,11,
2015,Broj,12,
2015,Broj,13,
2015,Broj,14,
2015,Broj,15,
2015,Broj,16,
2015,Broj,17,
2015,Broj,18,
2015,Broj,19,
2015,Broj,20,
2015,Broj,21,
2015,Broj,22,
2015,Broj,23,
2015,Broj,24,
2015,Broj,25,
2015,Broj,26,
2015,Broj,27,
2015,Broj,28,
2015,Broj,29,
2015,Broj,30,
2015,Broj,31,
2015,Broj,32,
2015,Broj,33,
2015,Broj,34,
2015,Broj,35,
2015,Broj,36,
2015,Broj,37,
2015,Broj,38,
2015,Broj,39,
2015,Broj,40,
2015,Broj,41,
2015,Broj,42,
2015,Broj,43,
2015,Broj,44,
2015,Broj,45,
2015,Broj,46,
2015,Broj,47,
2015,Broj,48,
2015,Broj,49,
2015,Broj,50,
2015,Broj,51,
2015,Broj,52,
2015,Broj,53,
2015,Broj,54,
2015,Broj,55,
2015,Broj,56,
2015,Broj,57,
2015,Broj,58,
2015,Broj,59,
2015,Broj,60,
2015,Broj,61,
2015,Broj,62,
2015,Broj,63,
2015,Broj,64,
2015,Broj,65,
2015,Broj,66,
2015,Broj,67,
2015,Broj,68,
2015,Broj,69,
2015,Broj,70,
2015,Broj,71,
2015,Broj,72,
2015,Broj,73,
2015,Broj,74,
2015,Broj,75,
2015,Broj,76,
2015,Broj,77,
2015,Broj,78,
2015,Broj,79,
2015,Broj,80,
2015,Broj,81,
2015,Broj,82,
2015,Broj,83,
2015,Broj,84,
2015,Broj,85,
2015,Broj,86,
2015,Broj,87,
2015,Broj,88,
2015,Broj,89,
2015,Broj,90,
2015,Broj,91,
2015,Broj,92,
2015,Broj,93,
2015,Broj,94,
2015,Broj,95,
2015,Broj,96,
2015,Broj,97,
2015,Broj,98,
2015,Broj,99,
2015,Broj,100,
2016,Broj,1,
2016,Broj,2,
2016,Broj,3,
2016,Broj,4,
2016,Broj,5,
2016,Broj,6,
2016,Broj,7,
2016,Broj,8,
2016,Broj,9,
2016,Broj,10,
2016,Broj,11,
2016,Broj,12,
2016,Broj,13,
2016,Broj,14,
2016,Broj,15,
2016,Broj,16,
2016,Broj,17,
2016,Broj,18,
2016,Broj,19,
2016,Broj,20,
2016,Broj,21,
2016,Broj,22,
2016,Broj,23,
2016,Broj,24,
2016,Broj,25,
2016,Broj,26,
2016,Broj,27,
2016,Broj,28,
2016,Broj,29,
2016,Broj,30,
2016,Broj,31,
2016,Broj,32,
2016,Broj,33,
2016,Broj,34,
2016,Broj,35,
2016,Broj,36,
2016,Broj,37,
2016,Broj,38,
2016,Broj,39,
2016,Broj,40,
2016,Broj,41,
2016,Broj,42,
2016,Broj,43,
2016,Broj,44,
2016,Broj,45,
2016,Broj,46,
2016,Broj,47,
2016,Broj,48,
2016,Broj,49,
2016,Broj,50,
2016,Broj,51,
2016,Broj,52,
2016,Broj,53,
2016,Broj,54,
2016,Broj,55,
2016,Broj,56,
2016,Broj,57,
2016,Broj,58,
2016,Broj,59,
2016,Broj,60,
2016,Broj,61,
2016,Broj,62,
2016,Broj,63,
2016,Broj,64,
2016,Broj,65,
2016,Broj,66,
2016,Broj,67,
2016,Broj,68,
2016,Broj,69,
2016,Broj,70,
2016,Broj,71,
2016,Broj,72,
2016,Broj,73,
2016,Broj,74,
2016,Broj,75,
2016,Broj,76,
2016,Broj,77,
