Year,UNIT_MEASURE,Spol,Starosna dob,Value
2013,Broj,Oba spola,Oba spola,2219220
2013,Broj,Oba spola,0,21718
2013,Broj,Oba spola,1,22690
2013,Broj,Oba spola,2,22691
2013,Broj,Oba spola,3,23664
2013,Broj,Oba spola,4,24080
2013,Broj,Oba spola,5,23892
2013,Broj,Oba spola,6,22901
2013,Broj,Oba spola,7,22965
2013,Broj,Oba spola,8,23147
2013,Broj,Oba spola,9,23147
2013,Broj,Oba spola,10,23884
2013,Broj,Oba spola,11,24043
2013,Broj,Oba spola,12,24989
2013,Broj,Oba spola,13,25785
2013,Broj,Oba spola,14,27352
2013,Broj,Oba spola,15,30464
2013,Broj,Oba spola,16,35091
2013,Broj,Oba spola,17,35286
2013,Broj,Oba spola,18,33903
2013,Broj,Oba spola,19,27137
2013,Broj,Oba spola,20,25325
2013,Broj,Oba spola,21,29600
2013,Broj,Oba spola,22,32119
2013,Broj,Oba spola,23,31990
2013,Broj,Oba spola,24,31868
2013,Broj,Oba spola,25,32919
2013,Broj,Oba spola,26,32539
2013,Broj,Oba spola,27,32484
2013,Broj,Oba spola,28,32610
2013,Broj,Oba spola,29,33651
2013,Broj,Oba spola,30,32390
2013,Broj,Oba spola,31,32319
2013,Broj,Oba spola,32,32749
2013,Broj,Oba spola,33,31974
2013,Broj,Oba spola,34,31556
2013,Broj,Oba spola,35,31528
2013,Broj,Oba spola,36,31538
2013,Broj,Oba spola,37,32341
2013,Broj,Oba spola,38,31321
2013,Broj,Oba spola,39,30987
2013,Broj,Oba spola,40,30584
2013,Broj,Oba spola,41,31771
2013,Broj,Oba spola,42,31017
2013,Broj,Oba spola,43,29652
2013,Broj,Oba spola,44,31806
2013,Broj,Oba spola,45,32017
2013,Broj,Oba spola,46,33018
2013,Broj,Oba spola,47,33813
2013,Broj,Oba spola,48,34178
2013,Broj,Oba spola,49,34083
2013,Broj,Oba spola,50,34340
2013,Broj,Oba spola,51,35525
2013,Broj,Oba spola,52,35006
2013,Broj,Oba spola,53,34518
2013,Broj,Oba spola,54,34607
2013,Broj,Oba spola,55,32581
2013,Broj,Oba spola,56,30906
2013,Broj,Oba spola,57,31264
2013,Broj,Oba spola,58,31461
2013,Broj,Oba spola,59,29877
2013,Broj,Oba spola,60,29631
2013,Broj,Oba spola,61,26762
2013,Broj,Oba spola,62,24438
2013,Broj,Oba spola,63,24535
2013,Broj,Oba spola,64,23247
2013,Broj,Oba spola,65,20490
2013,Broj,Oba spola,66,21656
2013,Broj,Oba spola,67,16531
2013,Broj,Oba spola,68,15234
2013,Broj,Oba spola,69,14480
2013,Broj,Oba spola,70,14562
2013,Broj,Oba spola,71,16128
2013,Broj,Oba spola,72,16725
2013,Broj,Oba spola,73,17668
2013,Broj,Oba spola,74,15940
2013,Broj,Oba spola,75,15320
2013,Broj,Oba spola,76,14194
2013,Broj,Oba spola,77,13342
2013,Broj,Oba spola,78,11991
2013,Broj,Oba spola,79,10766
2013,Broj,Oba spola,80,9117
2013,Broj,Oba spola,81,8359
2013,Broj,Oba spola,82,6844
2013,Broj,Oba spola,83,6095
2013,Broj,Oba spola,84,4812
2013,Broj,Oba spola,85+,15692
2013,Broj,M,Oba spola,1087993
2013,Broj,M,0,11137
2013,Broj,M,1,11702
2013,Broj,M,2,11635
2013,Broj,M,3,12190
2013,Broj,M,4,12353
2013,Broj,M,5,12274
2013,Broj,M,6,11829
2013,Broj,M,7,11750
2013,Broj,M,8,11870
2013,Broj,M,9,11910
2013,Broj,M,10,12366
2013,Broj,M,11,12362
2013,Broj,M,12,12787
2013,Broj,M,13,13148
2013,Broj,M,14,13830
2013,Broj,M,15,15585
2013,Broj,M,16,18159
2013,Broj,M,17,18218
2013,Broj,M,18,17312
2013,Broj,M,19,14024
2013,Broj,M,20,13053
2013,Broj,M,21,14849
2013,Broj,M,22,16459
2013,Broj,M,23,16474
2013,Broj,M,24,16268
2013,Broj,M,25,16801
2013,Broj,M,26,16894
2013,Broj,M,27,16638
2013,Broj,M,28,16721
2013,Broj,M,29,17065
2013,Broj,M,30,16504
2013,Broj,M,31,16570
2013,Broj,M,32,16694
2013,Broj,M,33,16163
2013,Broj,M,34,16001
2013,Broj,M,35,15902
2013,Broj,M,36,15826
