Year,UNIT_MEASURE,Administrativna oblast,Literacy,Spol,Value
2013,Broj,Banovići,literate,M,10008
2013,Broj,Bihać,literate,M,23902
2013,Broj,Bosanska Krupa,literate,M,10827
2013,Broj,Bosanski Petrovac,literate,M,3310
2013,Broj,Bosansko Grahovo,literate,M,1205
2013,Broj,Breza,literate,M,6215
2013,Broj,Bugojno,literate,M,13689
2013,Broj,Busovača,literate,M,7922
2013,Broj,Bužim,literate,M,8307
2013,Broj,Cazin,literate,M,28347
2013,Broj,centar_sarajevo,literate,M,22675
2013,Broj,Čapljina,literate,M,11440
2013,Broj,Čelić,literate,M,4628
2013,Broj,Čitluk,literate,M,7768
2013,Broj,doboj-istok,literate,M,4352
2013,Broj,doboj-jug,literate,M,1775
2013,Broj,Dobretići,literate,M,827
2013,Broj,domaljevac-samac,literate,M,2125
2013,Broj,Donji Vakuf,literate,M,6037
2013,Broj,Drvar,literate,M,3200
2013,Broj,foca-fbih,literate,M,901
2013,Broj,Fojnica,literate,M,5384
2013,Broj,Glamoč,literate,M,1746
2013,Broj,Goražde,literate,M,9077
2013,Broj,gornji_vakuf-uskoplje,literate,M,9125
2013,Broj,Gračanica,literate,M,18769
2013,Broj,Gradačac,literate,M,16725
2013,Broj,Grude,literate,M,7599
2013,Broj,hadzici,literate,M,10287
2013,Broj,ilidza,literate,M,28235
2013,Broj,ilijas,literate,M,8171
2013,Broj,Jablanica,literate,M,4526
2013,Broj,Jajce,literate,M,12185
2013,Broj,Kakanj,literate,M,16181
2013,Broj,Kalesija,literate,M,14425
2013,Broj,Kiseljak,literate,M,8979
2013,Broj,Kladanj,literate,M,5388
2013,Broj,Ključ,literate,M,7484
2013,Broj,Konjic,literate,M,11032
2013,Broj,Kreševo,literate,M,2276
2013,Broj,kupres-fbih,literate,M,2308
2013,Broj,Livno,literate,M,15330
2013,Broj,Lukavac,literate,M,19474
2013,Broj,Ljubuški,literate,M,12328
2013,Broj,Maglaj,literate,M,10042
2013,Broj,Mostar,literate,M,45482
2013,Broj,Neum,literate,M,2089
2013,Broj,novi_grad_sarajevo,literate,M,48841
2013,Broj,Novi Travnik,literate,M,10277
2013,Broj,novo_sarajevo,literate,M,26401
2013,Broj,Odžak,literate,M,8411
2013,Broj,Olovo,literate,M,4568
2013,Broj,Orašje,literate,M,9033
2013,Broj,pale-fbih,literate,M,401
2013,Broj,Posušje,literate,M,8798
2013,Broj,Prozor,literate,M,6273
2013,Broj,Ravno,literate,M,1508
2013,Broj,Sanski Most,literate,M,18623
2013,Broj,Sapna,literate,M,4910
2013,Broj,Srebrenik,literate,M,16723
2013,Broj,stari_grad_sarajevo,literate,M,15740
2013,Broj,Stolac,literate,M,6483
2013,Broj,Široki Brijeg,literate,M,12458
2013,Broj,Teočak,literate,M,3296
2013,Broj,Tešanj,literate,M,18374
2013,Broj,Tomislavgrad,literate,M,14131
2013,Broj,Travnik,literate,M,23009
2013,Broj,trnovo-fbih,literate,M,692
2013,Broj,Tuzla,literate,M,47151
2013,Broj,Usora,literate,M,2968
2013,Broj,Vareš,literate,M,4022
2013,Broj,Velika Kladuša,literate,M,16588
2013,Broj,Visoko,literate,M,17119
2013,Broj,Vitez,literate,M,11068
2013,Broj,vogosca,literate,M,10944
2013,Broj,Zavidovići,literate,M,15597
2013,Broj,Zenica,literate,M,48308
2013,Broj,Žepče,literate,M,13364
2013,Broj,Živinice,literate,M,24945
2013,Broj,Banovići,literate,Ž,9449
2013,Broj,Bihać,literate,Ž,25191
2013,Broj,Bosanska Krupa,literate,Ž,10591
2013,Broj,Bosanski Petrovac,literate,Ž,3120
2013,Broj,Bosansko Grahovo,literate,Ž,1011
2013,Broj,Breza,literate,Ž,6159
2013,Broj,Bugojno,literate,Ž,13439
2013,Broj,Busovača,literate,Ž,7250
2013,Broj,Bužim,literate,Ž,7529
2013,Broj,Cazin,literate,Ž,26903
2013,Broj,centar_sarajevo,literate,Ž,26859
2013,Broj,Čapljina,literate,Ž,11407
2013,Broj,Čelić,literate,Ž,4354
2013,Broj,Čitluk,literate,Ž,7793
2013,Broj,doboj-istok,literate,Ž,4211
2013,Broj,doboj-jug,literate,Ž,1718
2013,Broj,Dobretići,literate,Ž,571
2013,Broj,domaljevac-samac,literate,Ž,2070
2013,Broj,Donji Vakuf,literate,Ž,5837
2013,Broj,Drvar,literate,Ž,3186
2013,Broj,foca-fbih,literate,Ž,777
2013,Broj,Fojnica,literate,Ž,5050
2013,Broj,Glamoč,literate,Ž,1620
2013,Broj,Goražde,literate,Ž,9190
2013,Broj,gornji_vakuf-uskoplje,literate,Ž,8461
2013,Broj,Gračanica,literate,Ž,19536
2013,Broj,Gradačac,literate,Ž,16905
2013,Broj,Grude,literate,Ž,7467
2013,Broj,hadzici,literate,Ž,9893
2013,Broj,ilidza,literate,Ž,29428
2013,Broj,ilijas,literate,Ž,8409
2013,Broj,Jablanica,literate,Ž,4353
2013,Broj,Jajce,literate,Ž,10881
2013,Broj,Kakanj,literate,Ž,15590
2013,Broj,Kalesija,literate,Ž,13271
2013,Broj,Kiseljak,literate,Ž,8691
2013,Broj,Kladanj,literate,Ž,5368
2013,Broj,Ključ,literate,Ž,7018
2013,Broj,Konjic,literate,Ž,10641
2013,Broj,Kreševo,literate,Ž,2278
2013,Broj,kupres-fbih,literate,Ž,2202
2013,Broj,Livno,literate,Ž,15001
2013,Broj,Lukavac,literate,Ž,19292
2013,Broj,Ljubuški,literate,Ž,12242
2013,Broj,Maglaj,literate,Ž,9966
2013,Broj,Mostar,literate,Ž,48016
2013,Broj,Neum,literate,Ž,1960
2013,Broj,novi_grad_sarajevo,literate,Ž,54682
2013,Broj,Novi Travnik,literate,Ž,10000
2013,Broj,novo_sarajevo,literate,Ž,31659
2013,Broj,Odžak,literate,Ž,8175
2013,Broj,Olovo,literate,Ž,4277
2013,Broj,Orašje,literate,Ž,8543
2013,Broj,pale-fbih,literate,Ž,361
2013,Broj,Posušje,literate,Ž,8492
2013,Broj,Prozor,literate,Ž,5788
2013,Broj,Ravno,literate,Ž,1385
2013,Broj,Sanski Most,literate,Ž,17587
2013,Broj,Sapna,literate,Ž,4220
2013,Broj,Srebrenik,literate,Ž,16438
2013,Broj,stari_grad_sarajevo,literate,Ž,17397
2013,Broj,Stolac,literate,Ž,6214
2013,Broj,Široki Brijeg,literate,Ž,12343
2013,Broj,Teočak,literate,Ž,3034
2013,Broj,Tešanj,literate,Ž,17845
2013,Broj,Tomislavgrad,literate,Ž,13164
2013,Broj,Travnik,literate,Ž,22430
2013,Broj,trnovo-fbih,literate,Ž,575
2013,Broj,Tuzla,literate,Ž,51056
2013,Broj,Usora,literate,Ž,2885
2013,Broj,Vareš,literate,Ž,4016
2013,Broj,Velika Kladuša,literate,Ž,16281
2013,Broj,Visoko,literate,Ž,16939
2013,Broj,Vitez,literate,Ž,11025
2013,Broj,vogosca,literate,Ž,11682
2013,Broj,Zavidovići,literate,Ž,14998
2013,Broj,Zenica,literate,Ž,48203
2013,Broj,Žepče,literate,Ž,12489
2013,Broj,Živinice,literate,Ž,23846
2013,Broj,Banovići,illiterate,M,62
2013,Broj,Bihać,illiterate,M,200
2013,Broj,Bosanska Krupa,illiterate,M,125
2013,Broj,Bosanski Petrovac,illiterate,M,34
2013,Broj,Bosansko Grahovo,illiterate,M,7
2013,Broj,Breza,illiterate,M,32
2013,Broj,Bugojno,illiterate,M,97
2013,Broj,Busovača,illiterate,M,60
2013,Broj,Bužim,illiterate,M,95
2013,Broj,Cazin,illiterate,M,277
2013,Broj,centar_sarajevo,illiterate,M,60
