Year,UNIT_MEASURE,Vrsta ustanove,Value
2016,Broj,Ukupno,175
2016,Broj,Javna,90
2016,Broj,Privatna,85
2017,Broj,Ukupno,175
2017,Broj,Javna,90
2017,Broj,Privatna,85
2018,Broj,Ukupno,172
2018,Broj,Javna,90
2018,Broj,Privatna,82
2019,Broj,Ukupno,184
2019,Broj,Javna,90
2019,Broj,Privatna,94
2020,Broj,Ukupno,188
2020,Broj,Javna,90
2020,Broj,Privatna,98
2021,Broj,Ukupno,200
2021,Broj,Javna,92
2021,Broj,Privatna,108
2022,Broj,Ukupno,225
2022,Broj,Javna,93
2022,Broj,Privatna,132
2023,Broj,Ukupno,255
2023,Broj,Javna,131
2023,Broj,Privatna,124
