Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,15425
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,15378
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,15045
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,15220
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,15266
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,14908
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,15153
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,15384
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,15455
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,15639
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,15858
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,15896
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,15848
2023,Broj,Federacija Bosne i Hercegovine,Oba spola,15991
2010,Broj,Federacija Bosne i Hercegovine,M,4569
2011,Broj,Federacija Bosne i Hercegovine,M,4575
2012,Broj,Federacija Bosne i Hercegovine,M,4383
2013,Broj,Federacija Bosne i Hercegovine,M,4395
2014,Broj,Federacija Bosne i Hercegovine,M,4322
2015,Broj,Federacija Bosne i Hercegovine,M,4172
2016,Broj,Federacija Bosne i Hercegovine,M,4200
2017,Broj,Federacija Bosne i Hercegovine,M,4191
2018,Broj,Federacija Bosne i Hercegovine,M,4160
2019,Broj,Federacija Bosne i Hercegovine,M,4101
2020,Broj,Federacija Bosne i Hercegovine,M,4125
2021,Broj,Federacija Bosne i Hercegovine,M,4080
2022,Broj,Federacija Bosne i Hercegovine,M,4059
2023,Broj,Federacija Bosne i Hercegovine,M,3922
2010,Broj,Federacija Bosne i Hercegovine,Ž,10856
2011,Broj,Federacija Bosne i Hercegovine,Ž,10803
2012,Broj,Federacija Bosne i Hercegovine,Ž,10662
2013,Broj,Federacija Bosne i Hercegovine,Ž,10825
2014,Broj,Federacija Bosne i Hercegovine,Ž,10944
2015,Broj,Federacija Bosne i Hercegovine,Ž,10736
2016,Broj,Federacija Bosne i Hercegovine,Ž,10953
2017,Broj,Federacija Bosne i Hercegovine,Ž,11193
2018,Broj,Federacija Bosne i Hercegovine,Ž,11295
2019,Broj,Federacija Bosne i Hercegovine,Ž,11538
2020,Broj,Federacija Bosne i Hercegovine,Ž,11733
2021,Broj,Federacija Bosne i Hercegovine,Ž,11816
2022,Broj,Federacija Bosne i Hercegovine,Ž,11789
