Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,20668
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,41964
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,16751
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,896
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2139
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,257
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,20253
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,41503
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,16335
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,879
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2229
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,255
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,17917
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,39424
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,15523
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,879
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2180
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,241
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,16637
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,38135
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,14905
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,846
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2139
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,230
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,16195
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,37357
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,14547
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,840
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2142
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,247
2021,Broj,Federacija Bosne i Hercegovine,Gimnazija,15617
2021,Broj,Federacija Bosne i Hercegovine,Tehničke škole,37112
2021,Broj,Federacija Bosne i Hercegovine,Stručne škole,14053
2021,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,939
2021,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2108
2021,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,195
2022,Broj,Federacija Bosne i Hercegovine,Gimnazija,15425
2022,Broj,Federacija Bosne i Hercegovine,Tehničke škole,37855
2022,Broj,Federacija Bosne i Hercegovine,Stručne škole,13829
2022,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,924
2022,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2126
2022,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,166
2023,Broj,Federacija Bosne i Hercegovine,Gimnazija,15250
2023,Broj,Federacija Bosne i Hercegovine,Tehničke škole,38560
2023,Broj,Federacija Bosne i Hercegovine,Stručne škole,13270
2023,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,970
2023,Broj,Federacija Bosne i Hercegovine,Vjerske škole,2126
2023,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,180
2016,Broj,Unsko-sanski kanton,Gimnazija,1905
2016,Broj,Unsko-sanski kanton,Tehničke škole,4610
2016,Broj,Unsko-sanski kanton,Stručne škole,2755
2016,Broj,Unsko-sanski kanton,Umjetničke škole,85
2016,Broj,Unsko-sanski kanton,Vjerske škole,264
2017,Broj,Unsko-sanski kanton,Gimnazija,1820
2017,Broj,Unsko-sanski kanton,Tehničke škole,4719
2017,Broj,Unsko-sanski kanton,Stručne škole,2631
2017,Broj,Unsko-sanski kanton,Umjetničke škole,63
2017,Broj,Unsko-sanski kanton,Vjerske škole,263
2018,Broj,Unsko-sanski kanton,Gimnazija,1585
2018,Broj,Unsko-sanski kanton,Tehničke škole,4262
2018,Broj,Unsko-sanski kanton,Stručne škole,2547
2018,Broj,Unsko-sanski kanton,Umjetničke škole,57
2018,Broj,Unsko-sanski kanton,Vjerske škole,247
2019,Broj,Unsko-sanski kanton,Gimnazija,1398
2019,Broj,Unsko-sanski kanton,Tehničke škole,3943
2019,Broj,Unsko-sanski kanton,Stručne škole,2420
2019,Broj,Unsko-sanski kanton,Umjetničke škole,58
2019,Broj,Unsko-sanski kanton,Vjerske škole,227
2020,Broj,Unsko-sanski kanton,Gimnazija,1543
2020,Broj,Unsko-sanski kanton,Tehničke škole,3463
2020,Broj,Unsko-sanski kanton,Stručne škole,2212
2020,Broj,Unsko-sanski kanton,Umjetničke škole,64
2020,Broj,Unsko-sanski kanton,Vjerske škole,219
2021,Broj,Unsko-sanski kanton,Gimnazija,1458
2021,Broj,Unsko-sanski kanton,Tehničke škole,3283
2021,Broj,Unsko-sanski kanton,Stručne škole,2069
2021,Broj,Unsko-sanski kanton,Umjetničke škole,76
2021,Broj,Unsko-sanski kanton,Vjerske škole,221
2022,Broj,Unsko-sanski kanton,Gimnazija,1085
2022,Broj,Unsko-sanski kanton,Tehničke škole,3421
2022,Broj,Unsko-sanski kanton,Stručne škole,2001
2022,Broj,Unsko-sanski kanton,Umjetničke škole,65
2022,Broj,Unsko-sanski kanton,Vjerske škole,220
2023,Broj,Unsko-sanski kanton,Gimnazija,1101
2023,Broj,Unsko-sanski kanton,Tehničke škole,3327
2023,Broj,Unsko-sanski kanton,Stručne škole,2025
2023,Broj,Unsko-sanski kanton,Umjetničke škole,54
2023,Broj,Unsko-sanski kanton,Vjerske škole,226
2016,Broj,Posavski kanton,Gimnazija,228
2016,Broj,Posavski kanton,Tehničke škole,803
2016,Broj,Posavski kanton,Stručne škole,269
2017,Broj,Posavski kanton,Gimnazija,226
2017,Broj,Posavski kanton,Tehničke škole,711
2017,Broj,Posavski kanton,Stručne škole,223
2018,Broj,Posavski kanton,Gimnazija,225
2018,Broj,Posavski kanton,Tehničke škole,611
2018,Broj,Posavski kanton,Stručne škole,201
2019,Broj,Posavski kanton,Gimnazija,206
2019,Broj,Posavski kanton,Tehničke škole,592
2019,Broj,Posavski kanton,Stručne škole,188
2020,Broj,Posavski kanton,Gimnazija,183
2020,Broj,Posavski kanton,Tehničke škole,549
2020,Broj,Posavski kanton,Stručne škole,164
2021,Broj,Posavski kanton,Gimnazija,163
2021,Broj,Posavski kanton,Tehničke škole,570
2021,Broj,Posavski kanton,Stručne škole,132
2022,Broj,Posavski kanton,Gimnazija,160
2022,Broj,Posavski kanton,Tehničke škole,542
2022,Broj,Posavski kanton,Stručne škole,103
2023,Broj,Posavski kanton,Gimnazija,154
2023,Broj,Posavski kanton,Tehničke škole,525
2023,Broj,Posavski kanton,Stručne škole,80
2016,Broj,Tuzlanski kanton,Gimnazija,2428
2016,Broj,Tuzlanski kanton,Tehničke škole,8711
2016,Broj,Tuzlanski kanton,Stručne škole,3898
2016,Broj,Tuzlanski kanton,Umjetničke škole,163
2016,Broj,Tuzlanski kanton,Vjerske škole,516
2016,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,35
2017,Broj,Tuzlanski kanton,Gimnazija,2792
2017,Broj,Tuzlanski kanton,Tehničke škole,8462
2017,Broj,Tuzlanski kanton,Stručne škole,3963
2017,Broj,Tuzlanski kanton,Umjetničke škole,183
2017,Broj,Tuzlanski kanton,Vjerske škole,536
2017,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,30
2018,Broj,Tuzlanski kanton,Gimnazija,2385
2018,Broj,Tuzlanski kanton,Tehničke škole,8472
2018,Broj,Tuzlanski kanton,Stručne škole,3980
2018,Broj,Tuzlanski kanton,Umjetničke škole,184
2018,Broj,Tuzlanski kanton,Vjerske škole,531
2018,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,30
2019,Broj,Tuzlanski kanton,Gimnazija,2274
2019,Broj,Tuzlanski kanton,Tehničke škole,8132
2019,Broj,Tuzlanski kanton,Stručne škole,3952
2019,Broj,Tuzlanski kanton,Umjetničke škole,180
2019,Broj,Tuzlanski kanton,Vjerske škole,508
2019,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,32
2020,Broj,Tuzlanski kanton,Gimnazija,2182
2020,Broj,Tuzlanski kanton,Tehničke škole,8126
2020,Broj,Tuzlanski kanton,Stručne škole,3876
2020,Broj,Tuzlanski kanton,Umjetničke škole,191
2020,Broj,Tuzlanski kanton,Vjerske škole,505
2020,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,43
2021,Broj,Tuzlanski kanton,Gimnazija,1941
2021,Broj,Tuzlanski kanton,Tehničke škole,7975
2021,Broj,Tuzlanski kanton,Stručne škole,3753
2021,Broj,Tuzlanski kanton,Umjetničke škole,204
2021,Broj,Tuzlanski kanton,Vjerske škole,511
2022,Broj,Tuzlanski kanton,Gimnazija,1853
2022,Broj,Tuzlanski kanton,Tehničke škole,7843
2022,Broj,Tuzlanski kanton,Stručne škole,3691
2022,Broj,Tuzlanski kanton,Umjetničke škole,218
2022,Broj,Tuzlanski kanton,Vjerske škole,523
2023,Broj,Tuzlanski kanton,Gimnazija,1809
2023,Broj,Tuzlanski kanton,Tehničke škole,7775
2023,Broj,Tuzlanski kanton,Stručne škole,3771
2023,Broj,Tuzlanski kanton,Umjetničke škole,241
2023,Broj,Tuzlanski kanton,Vjerske škole,521
2016,Broj,Zeničko-dobojski kanton,Gimnazija,3602
2016,Broj,Zeničko-dobojski kanton,Tehničke škole,7104
2016,Broj,Zeničko-dobojski kanton,Stručne škole,3417
2016,Broj,Zeničko-dobojski kanton,Umjetničke škole,87
2016,Broj,Zeničko-dobojski kanton,Vjerske škole,230
2016,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,38
2017,Broj,Zeničko-dobojski kanton,Gimnazija,3422
2017,Broj,Zeničko-dobojski kanton,Tehničke škole,7044
2017,Broj,Zeničko-dobojski kanton,Stručne škole,3185
2017,Broj,Zeničko-dobojski kanton,Umjetničke škole,75
2017,Broj,Zeničko-dobojski kanton,Vjerske škole,236
2017,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,44
2018,Broj,Zeničko-dobojski kanton,Gimnazija,3087
2018,Broj,Zeničko-dobojski kanton,Tehničke škole,7121
2018,Broj,Zeničko-dobojski kanton,Stručne škole,3022
2018,Broj,Zeničko-dobojski kanton,Umjetničke škole,68
2018,Broj,Zeničko-dobojski kanton,Vjerske škole,224
2018,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,36
2019,Broj,Zeničko-dobojski kanton,Gimnazija,2832
2019,Broj,Zeničko-dobojski kanton,Tehničke škole,6486
2019,Broj,Zeničko-dobojski kanton,Stručne škole,3035
2019,Broj,Zeničko-dobojski kanton,Umjetničke škole,70
2019,Broj,Zeničko-dobojski kanton,Vjerske škole,230
2019,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,35
2020,Broj,Zeničko-dobojski kanton,Gimnazija,2583
2020,Broj,Zeničko-dobojski kanton,Tehničke škole,6509
2020,Broj,Zeničko-dobojski kanton,Stručne škole,2924
2020,Broj,Zeničko-dobojski kanton,Umjetničke škole,66
2020,Broj,Zeničko-dobojski kanton,Vjerske škole,248
2020,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,35
2021,Broj,Zeničko-dobojski kanton,Gimnazija,2474
2021,Broj,Zeničko-dobojski kanton,Tehničke škole,6249
2021,Broj,Zeničko-dobojski kanton,Stručne škole,2832
2021,Broj,Zeničko-dobojski kanton,Umjetničke škole,72
2021,Broj,Zeničko-dobojski kanton,Vjerske škole,254
2021,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,27
