Year,UNIT_MEASURetype_of_institution,Value
2011,Broj,Ukupno
2012,Broj,Ukupno
2013,Broj,Ukupno
2014,Broj,Ukupno
2015,Broj,Ukupno
2016,Broj,Ukupno
2017,Broj,Ukupno
2018,Broj,Ukupno
2019,Broj,Ukupno
2020,Broj,Ukupno
2011,Broj,Javna
2012,Broj,Javna
2013,Broj,Javna
2014,Broj,Javna
2015,Broj,Javna
2016,Broj,Javna
2017,Broj,Javna
2018,Broj,Javna
2019,Broj,Javna
2020,Broj,Javna
2011,Broj,Privatna
2012,Broj,Privatna
2013,Broj,Privatna
2014,Broj,Privatna
2015,Broj,Privatna
2016,Broj,Privatna
2017,Broj,Privatna
2018,Broj,Privatna
2019,Broj,Privatna
2020,Broj,Privatna
