Year,UNIT_MEASURE,Administrativna jedinica,scientific_field,Value
2010,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2010,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke nauke,
2010,Broj,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2010,Broj,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2010,Broj,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2010,Broj,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2010,Broj,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna zaštita,
2010,Broj,Federacija Bosne i Hercegovine,Usluge,
2010,Broj,Unsko-sanski kanton,Obrazovanje,
2010,Broj,Unsko-sanski kanton,Umjetnost i humanističke nauke,
2010,Broj,Unsko-sanski kanton,"social_sciences,_journalism_and_information",
2010,Broj,Unsko-sanski kanton,"business,_administration_and_law",
2010,Broj,Unsko-sanski kanton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Unsko-sanski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Unsko-sanski kanton,"engineering,_production_and_construction",
2010,Broj,Unsko-sanski kanton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Unsko-sanski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Unsko-sanski kanton,Usluge,
2010,Broj,Tuzlanski kanton,Obrazovanje,
2010,Broj,Tuzlanski kanton,Umjetnost i humanističke nauke,
2010,Broj,Tuzlanski kanton,"social_sciences,_journalism_and_information",
2010,Broj,Tuzlanski kanton,"business,_administration_and_law",
2010,Broj,Tuzlanski kanton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Tuzlanski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Tuzlanski kanton,"engineering,_production_and_construction",
2010,Broj,Tuzlanski kanton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
