Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2018,Broj,Ukupno,Oba spola,193
2018,Broj,education,Oba spola,8
2018,Broj,Umjetnost i humanističke nauke,Oba spola,18
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Oba spola,28
2018,Broj,"Poslovanje, administracija i pravo svega",Oba spola,44
2018,Broj,"Prirodne nauke, matematika i statistika svega",Oba spola,19
2018,Broj,Informacione i komunikacione tehnologije,Oba spola,8
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,21
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,16
2018,Broj,Zdravstvo i socijalna zaštita,Oba spola,22
2018,Broj,services,Oba spola,8
2018,Broj,Nepoznato,Oba spola,1
2018,Broj,Ukupno,M,106
2018,Broj,education,M,4
2018,Broj,Umjetnost i humanističke nauke,M,9
2018,Broj,"Društvene nauke, novinarstvo i informisanje",M,18
2018,Broj,"Poslovanje, administracija i pravo svega",M,25
2018,Broj,"Prirodne nauke, matematika i statistika svega",M,11
2018,Broj,Informacione i komunikacione tehnologije,M,7
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,12
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,8
2018,Broj,Zdravstvo i socijalna zaštita,M,7
2018,Broj,services,M,5
2018,Broj,Nepoznato,M,0
2018,Broj,Ukupno,Ž,87
2018,Broj,education,Ž,4
2018,Broj,Umjetnost i humanističke nauke,Ž,9
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,10
2018,Broj,"Poslovanje, administracija i pravo svega",Ž,19
2018,Broj,"Prirodne nauke, matematika i statistika svega",Ž,8
2018,Broj,Informacione i komunikacione tehnologije,Ž,1
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,9
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,8
2018,Broj,Zdravstvo i socijalna zaštita,Ž,15
2018,Broj,services,Ž,3
2018,Broj,Nepoznato,Ž,1
2019,Broj,Ukupno,Oba spola,166
2019,Broj,education,Oba spola,7
2019,Broj,Umjetnost i humanističke nauke,Oba spola,21
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Oba spola,37
2019,Broj,"Poslovanje, administracija i pravo svega",Oba spola,42
2019,Broj,"Prirodne nauke, matematika i statistika svega",Oba spola,10
2019,Broj,Informacione i komunikacione tehnologije,Oba spola,5
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,16
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,9
2019,Broj,Zdravstvo i socijalna zaštita,Oba spola,14
2019,Broj,services,Oba spola,3
2019,Broj,Nepoznato,Oba spola,2
2019,Broj,Ukupno,M,97
2019,Broj,education,M,3
2019,Broj,Umjetnost i humanističke nauke,M,9
2019,Broj,"Društvene nauke, novinarstvo i informisanje",M,30
2019,Broj,"Poslovanje, administracija i pravo svega",M,27
2019,Broj,"Prirodne nauke, matematika i statistika svega",M,3
2019,Broj,Informacione i komunikacione tehnologije,M,3
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,9
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,6
2019,Broj,Zdravstvo i socijalna zaštita,M,3
2019,Broj,services,M,2
2019,Broj,Nepoznato,M,2
2019,Broj,Ukupno,Ž,69
2019,Broj,education,Ž,4
2019,Broj,Umjetnost i humanističke nauke,Ž,12
