Year,Value,UNIT_MEASURE
1996,6.3,number_death_rate
1997,6.9,number_death_rate
1998,7.3,number_death_rate
1999,7.1,number_death_rate
2000,7.4,number_death_rate
2001,7.3,number_death_rate
2002,7.4,number_death_rate
2003,7.9,number_death_rate
2004,7.9,number_death_rate
2005,8.3,number_death_rate
2006,8.0,number_death_rate
2007,8.7,number_death_rate
2008,8.3,number_death_rate
2009,8.3,number_death_rate
2010,8.6,number_death_rate
2011,8.8,number_death_rate
2012,8.7,number_death_rate
2013,8.9,number_death_rate
2014,8.7,number_death_rate
2015,9.8,number_death_rate
2016,9.6,number_death_rate
2017,9.9,number_death_rate
2018,9.8,number_death_rate
2019,10.1,number_death_rate
