Year,Value,UNIT_MEASURE
1997,4.9,Broj na 1000 živorođenih
1998,4.6,Broj na 1000 živorođenih
1999,5.5,Broj na 1000 živorođenih
2000,4.2,Broj na 1000 živorođenih
2001,4.8,Broj na 1000 živorođenih
2002,4.2,Broj na 1000 živorođenih
2003,4.7,Broj na 1000 živorođenih
2004,5.5,Broj na 1000 živorođenih
2005,5.0,Broj na 1000 živorođenih
2006,4.9,Broj na 1000 živorođenih
2007,6.0,Broj na 1000 živorođenih
2008,5.6,Broj na 1000 živorođenih
2009,3.9,Broj na 1000 živorođenih
2010,3.8,Broj na 1000 živorođenih
2011,3.6,Broj na 1000 živorođenih
2012,3.2,Broj na 1000 živorođenih
2013,3.0,Broj na 1000 živorođenih
2014,2.7,Broj na 1000 živorođenih
2015,5.0,Broj na 1000 živorođenih
2016,4.8,Broj na 1000 živorođenih
2017,4.2,Broj na 1000 živorođenih
2018,3.6,Broj na 1000 živorođenih
2019,3.8,Broj na 1000 živorođenih
