Year,UNIT_MEASURE,AGE,Value
1996,NUMBER,13-14,8
1996,NUMBER,15-19,2941
1997,NUMBER,13-14,11
1997,NUMBER,15-19,3128
1998,NUMBER,13-14,2
1998,NUMBER,15-19,2395
1999,NUMBER,13-14,0
1999,NUMBER,15-19,2073
2000,NUMBER,13-14,3
2000,NUMBER,15-19,1806
2001,NUMBER,13-14,12
2001,NUMBER,15-19,1679
2002,NUMBER,13-14,9
2002,NUMBER,15-19,1561
2003,NUMBER,13-14,9
2003,NUMBER,15-19,1457
2004,NUMBER,13-14,7
2004,NUMBER,15-19,1396
2005,NUMBER,13-14,2
2005,NUMBER,15-19,1296
2006,NUMBER,13-14,4
2006,NUMBER,15-19,1399
2007,NUMBER,13-14,2
2007,NUMBER,15-19,1357
2008,NUMBER,13-14,2
2008,NUMBER,15-19,1507
2009,NUMBER,13-14,4
2009,NUMBER,15-19,1411
2010,NUMBER,13-14,5
2010,NUMBER,15-19,1285
2011,NUMBER,13-14,5
2011,NUMBER,15-19,1136
2012,NUMBER,13-14,2
2012,NUMBER,15-19,1040
2013,NUMBER,13-14,4
2013,NUMBER,15-19,950
2014,NUMBER,13-14,3
2014,NUMBER,15-19,932
2015,NUMBER,13-14,3
2015,NUMBER,15-19,948
2016,NUMBER,13-14,3
2016,NUMBER,15-19,898
2017,NUMBER,13-14,6
2017,NUMBER,15-19,734
2018,NUMBER,13-14,4
2018,NUMBER,15-19,643
2019,NUMBER,13-14,1
2019,NUMBER,15-19,580
2020,NUMBER,13-14,4
2020,NUMBER,15-19,528
2021,NUMBER,13-14,2
2021,NUMBER,15-19,516
2022,NUMBER,13-14,4
2022,NUMBER,15-19,460
