Year,UNIT_MEASURE,Sex,Value
1996,permil,_T,13.8
1997,permil,_T,13
1998,permil,_T,12.1
1999,permil,_T,11.2
2000,permil,_T,11
2001,permil,_T,8.9
2002,permil,_T,10.5
2003,permil,_T,8.7
2004,permil,_T,8.5
2005,permil,_T,8.8
2006,permil,_T,9.5
2007,permil,_T,8.9
2008,permil,_T,8.5
2009,permil,_T,7.6
2010,permil,_T,7.7
2011,permil,_T,6.6
2012,permil,_T,6.5
2013,permil,_T,7.3
2014,permil,_T,6.4
2015,permil,_T,8
2016,permil,_T,7.5
2017,permil,_T,8.2
2018,permil,_T,8.4
2019,permil,_T,9.3
2020,permil,_T,6.9
2021,permil,_T,5.9
2022,permil,_T,6.5
1996,permil,M,14.5
1997,permil,M,15.4
1998,permil,M,14.4
1999,permil,M,12.2
2000,permil,M,12.5
2001,permil,M,9.6
2002,permil,M,11.6
2003,permil,M,10.1
2004,permil,M,9.3
2005,permil,M,10
2006,permil,M,11.3
2007,permil,M,10.1
2008,permil,M,9.4
2009,permil,M,7.3
2010,permil,M,9.1
2011,permil,M,7.7
2012,permil,M,7.6
2013,permil,M,8.5
2014,permil,M,6.2
2015,permil,M,8.5
2016,permil,M,8.5
2017,permil,M,8.5
2018,permil,M,8.3
2019,permil,M,9.5
2020,permil,M,8
2021,permil,M,6.5
2022,permil,M,6.9
1996,permil,F,13.1
1997,permil,F,10.3
1998,permil,F,9.7
1999,permil,F,10.1
2000,permil,F,9.5
2001,permil,F,8.2
2002,permil,F,9.5
2003,permil,F,7.2
2004,permil,F,7.7
2005,permil,F,7.6
2006,permil,F,7.5
2007,permil,F,7.6
2008,permil,F,7.5
2009,permil,F,7.8
2010,permil,F,6.2
2011,permil,F,5.5
2012,permil,F,5.2
2013,permil,F,6.2
2014,permil,F,6.6
2015,permil,F,7.4
2016,permil,F,6.4
2017,permil,F,7.8
2018,permil,F,8.4
2019,permil,F,9
2020,permil,F,5.8
2021,permil,F,5.2
2022,permil,F,6.1
