Year,UNIT_MEASURE,Sex,AGE,Cause_of_death,Value
2008,NUMBER,_T,T,diseases_of_the_eye,1
2008,NUMBER,_T,T,pregnancy_childbirth_and_the,3
2008,NUMBER,_T,T,infectious_and_parasitic,154
2008,NUMBER,_T,T,neoplasms,3832
2008,NUMBER,_T,T,diseases_of_the_blood,27
2008,NUMBER,_T,T,endocrine_metabolic_and_nutritional,774
2008,NUMBER,_T,T,mental_and_behavioural_disorders,61
2008,NUMBER,_T,T,diseases_of_the_nervous,141
2008,NUMBER,_T,T,diseases_of_the_circulatory,10509
2008,NUMBER,_T,T,diseases_of_the_respiratory,558
2008,NUMBER,_T,T,diseases_of_the_digestive,468
2008,NUMBER,_T,T,diseases_of_the_skin,8
2008,NUMBER,_T,T,diseases_of_the_musculoskeletal,23
2008,NUMBER,_T,T,diseases_of_the_genitourinary,279
2008,NUMBER,_T,T,certain_conditions_originating,116
2008,NUMBER,_T,T,congenital_malformations_deformations,46
2008,NUMBER,_T,T,symptoms_signs_and_abnormal,1062
2008,NUMBER,_T,T,unknown,813
2008,NUMBER,_T,T,injuries_poisoning_and_consequences,605
2008,NUMBER,M,T,pregnancy_childbirth_and_the,0
2008,NUMBER,M,T,diseases_of_the_eye,0
2008,NUMBER,M,T,diseases_of_the_skin,3
2008,NUMBER,M,T,injuries_poisoning_and_consequences,483
2008,NUMBER,M,T,infectious_and_parasitic,96
2008,NUMBER,M,T,neoplasms,2286
2008,NUMBER,M,T,diseases_of_the_blood,12
2008,NUMBER,M,T,endocrine_metabolic_and_nutritional,298
2008,NUMBER,M,T,mental_and_behavioural_disorders,38
2008,NUMBER,M,T,diseases_of_the_nervous,76
2008,NUMBER,M,T,diseases_of_the_circulatory,4949
2008,NUMBER,M,T,diseases_of_the_respiratory,336
2008,NUMBER,M,T,diseases_of_the_digestive,270
2008,NUMBER,M,T,diseases_of_the_musculoskeletal,11
2008,NUMBER,M,T,diseases_of_the_genitourinary,137
2008,NUMBER,M,T,certain_conditions_originating,63
2008,NUMBER,M,T,congenital_malformations_deformations,27
2008,NUMBER,M,T,symptoms_signs_and_abnormal,542
2008,NUMBER,M,T,unknown,443
2008,NUMBER,F,T,diseases_of_the_eye,1
2008,NUMBER,F,T,pregnancy_childbirth_and_the,3
2008,NUMBER,F,T,diseases_of_the_skin,5
2008,NUMBER,F,T,infectious_and_parasitic,58
2008,NUMBER,F,T,neoplasms,1546
2008,NUMBER,F,T,diseases_of_the_blood,15
2008,NUMBER,F,T,endocrine_metabolic_and_nutritional,476
2008,NUMBER,F,T,mental_and_behavioural_disorders,23
2008,NUMBER,F,T,diseases_of_the_nervous,65
2008,NUMBER,F,T,diseases_of_the_circulatory,5560
2008,NUMBER,F,T,diseases_of_the_respiratory,222
2008,NUMBER,F,T,diseases_of_the_digestive,198
2008,NUMBER,F,T,diseases_of_the_musculoskeletal,12
2008,NUMBER,F,T,diseases_of_the_genitourinary,142
2008,NUMBER,F,T,certain_conditions_originating,53
2008,NUMBER,F,T,congenital_malformations_deformations,19
2008,NUMBER,F,T,symptoms_signs_and_abnormal,520
