Year,UNIT_MEASURE,Admin_Area,Value
1996,NUMBER,federation_of_bih,352
1996,NUMBER,una-sana_canton,29
1996,NUMBER,posavina_canton,4
1996,NUMBER,tuzla_canton,139
1996,NUMBER,zenica-doboj_canton,61
1996,NUMBER,bosnian-podrinje_canton,11
1996,NUMBER,central_bosnia_canton,14
1996,NUMBER,herzegovina-neretva_canton,23
1996,NUMBER,west_herzegovina_canton,0
1996,NUMBER,sarajevo_canton,71
1996,NUMBER,canton_10,0
1997,NUMBER,federation_of_bih,984
1997,NUMBER,una-sana_canton,240
1997,NUMBER,posavina_canton,15
1997,NUMBER,tuzla_canton,274
1997,NUMBER,zenica-doboj_canton,191
1997,NUMBER,bosnian-podrinje_canton,44
1997,NUMBER,central_bosnia_canton,92
1997,NUMBER,herzegovina-neretva_canton,50
1997,NUMBER,west_herzegovina_canton,0
1997,NUMBER,sarajevo_canton,77
1997,NUMBER,canton_10,1
1998,NUMBER,federation_of_bih,1046
1998,NUMBER,una-sana_canton,257
1998,NUMBER,posavina_canton,29
1998,NUMBER,tuzla_canton,263
1998,NUMBER,zenica-doboj_canton,263
1998,NUMBER,bosnian-podrinje_canton,35
1998,NUMBER,central_bosnia_canton,91
1998,NUMBER,herzegovina-neretva_canton,35
1998,NUMBER,west_herzegovina_canton,0
1998,NUMBER,sarajevo_canton,73
1998,NUMBER,canton_10,0
1999,NUMBER,federation_of_bih,1111
1999,NUMBER,una-sana_canton,210
1999,NUMBER,posavina_canton,47
1999,NUMBER,tuzla_canton,249
1999,NUMBER,zenica-doboj_canton,307
1999,NUMBER,bosnian-podrinje_canton,27
1999,NUMBER,central_bosnia_canton,93
1999,NUMBER,herzegovina-neretva_canton,29
1999,NUMBER,west_herzegovina_canton,0
1999,NUMBER,sarajevo_canton,146
1999,NUMBER,canton_10,3
2000,NUMBER,federation_of_bih,1161
2000,NUMBER,una-sana_canton,183
2000,NUMBER,posavina_canton,46
2000,NUMBER,tuzla_canton,277
2000,NUMBER,zenica-doboj_canton,197
2000,NUMBER,bosnian-podrinje_canton,24
2000,NUMBER,central_bosnia_canton,115
2000,NUMBER,herzegovina-neretva_canton,22
2000,NUMBER,west_herzegovina_canton,0
2000,NUMBER,sarajevo_canton,294
2000,NUMBER,canton_10,3
2001,NUMBER,federation_of_bih,1264
2001,NUMBER,una-sana_canton,254
2001,NUMBER,posavina_canton,54
2001,NUMBER,tuzla_canton,294
2001,NUMBER,zenica-doboj_canton,215
2001,NUMBER,bosnian-podrinje_canton,9
2001,NUMBER,central_bosnia_canton,130
2001,NUMBER,herzegovina-neretva_canton,23
2001,NUMBER,west_herzegovina_canton,0
2001,NUMBER,sarajevo_canton,275
2001,NUMBER,canton_10,10
