Year,UNIT_MEASURE,AGE,Sex,ADMIN_AREA,VALUE
2013,NUMBER,T,_T,federation_of_bih,2219220
2013,NUMBER,0-4,_T,federation_of_bih,114843
2013,NUMBER, 5-9,_T,federation_of_bih,116052
2013,NUMBER, 10-14,_T,federation_of_bih,126053
2013,NUMBER, 15-19,_T,federation_of_bih,161881
2013,NUMBER, 20-24,_T,federation_of_bih,150902
2013,NUMBER, 25-29,_T,federation_of_bih,164203
2013,NUMBER, 30-34,_T,federation_of_bih,160988
2013,NUMBER, 35-39,_T,federation_of_bih,157715
2013,NUMBER,40-44,_T,federation_of_bih,154830
2013,NUMBER, 45-49,_T,federation_of_bih,167109
2013,NUMBER, 50-54,_T,federation_of_bih,173996
2013,NUMBER, 55-59,_T,federation_of_bih,156089
2013,NUMBER, 60-64,_T,federation_of_bih,128613
2013,NUMBER, 65-69,_T,federation_of_bih,88391
2013,NUMBER, 70-74,_T,federation_of_bih,81023
2013,NUMBER, 75-79,_T,federation_of_bih,65613
2013,NUMBER, 80-84,_T,federation_of_bih,35227
2013,NUMBER,85+,_T,federation_of_bih,15692
2013,NUMBER,T,_T,una-sana_canton,273261
2013,NUMBER,0-4,_T,una-sana_canton,14805
2013,NUMBER, 5-9,_T,una-sana_canton,15777
2013,NUMBER, 10-14,_T,una-sana_canton,17450
2013,NUMBER, 15-19,_T,una-sana_canton,21328
2013,NUMBER, 20-24,_T,una-sana_canton,19541
2013,NUMBER, 25-29,_T,una-sana_canton,20912
2013,NUMBER, 30-34,_T,una-sana_canton,20676
2013,NUMBER, 35-39,_T,una-sana_canton,21564
2013,NUMBER,40-44,_T,una-sana_canton,20687
2013,NUMBER, 45-49,_T,una-sana_canton,20701
2013,NUMBER, 50-54,_T,una-sana_canton,20224
2013,NUMBER, 55-59,_T,una-sana_canton,16989
2013,NUMBER, 60-64,_T,una-sana_canton,13344
2013,NUMBER, 65-69,_T,una-sana_canton,9626
2013,NUMBER, 70-74,_T,una-sana_canton,8824
2013,NUMBER, 75-79,_T,una-sana_canton,6527
2013,NUMBER, 80-84,_T,una-sana_canton,3067
2013,NUMBER,85+,_T,una-sana_canton,1219
2013,NUMBER,T,_T,posavina_canton,43453
2013,NUMBER,0-4,_T,posavina_canton,1582
