Year,UNIT_MEASURE,Admin_Area,No_of_births,Value
2013,NUMBER,federation_of_bih,Total,957422
2013,NUMBER,federation_of_bih,did_not_give_birth,273774
2013,NUMBER,federation_of_bih,1,132895
2013,NUMBER,federation_of_bih,2,308038
2013,NUMBER,federation_of_bih,3,138640
2013,NUMBER,federation_of_bih,4,54056
2013,NUMBER,federation_of_bih,5+,50019
2013,NUMBER,una-sana_canton,Total,114518
2013,NUMBER,una-sana_canton,did_not_give_birth,31239
2013,NUMBER,una-sana_canton,1,16018
2013,NUMBER,una-sana_canton,2,32843
2013,NUMBER,una-sana_canton,3,17011
2013,NUMBER,una-sana_canton,4,7586
2013,NUMBER,una-sana_canton,5+,9821
2013,NUMBER,posavina_canton,Total,18762
2013,NUMBER,posavina_canton,did_not_give_birth,5836
2013,NUMBER,posavina_canton,1,2279
2013,NUMBER,posavina_canton,2,5567
2013,NUMBER,posavina_canton,3,2917
2013,NUMBER,posavina_canton,4,1136
2013,NUMBER,posavina_canton,5+,1027
2013,NUMBER,tuzla_canton,Total,193689
2013,NUMBER,tuzla_canton,did_not_give_birth,47272
2013,NUMBER,tuzla_canton,1,29699
2013,NUMBER,tuzla_canton,2,73940
2013,NUMBER,tuzla_canton,3,25457
2013,NUMBER,tuzla_canton,4,8862
2013,NUMBER,tuzla_canton,5+,8459
2013,NUMBER,zenica-doboj_canton,Total,154153
2013,NUMBER,zenica-doboj_canton,did_not_give_birth,39964
2013,NUMBER,zenica-doboj_canton,1,21913
2013,NUMBER,zenica-doboj_canton,2,51832
2013,NUMBER,zenica-doboj_canton,3,23202
2013,NUMBER,zenica-doboj_canton,4,8680
2013,NUMBER,zenica-doboj_canton,5+,8562
2013,NUMBER,bosnian-podrinje_canton,Total,10567
2013,NUMBER,bosnian-podrinje_canton,did_not_give_birth,2755
2013,NUMBER,bosnian-podrinje_canton,1,1302
2013,NUMBER,bosnian-podrinje_canton,2,3788
2013,NUMBER,bosnian-podrinje_canton,3,1663
2013,NUMBER,bosnian-podrinje_canton,4,594
2013,NUMBER,bosnian-podrinje_canton,5+,465
2013,NUMBER,central_bosnia_canton,Total,106469
2013,NUMBER,central_bosnia_canton,did_not_give_birth,31429
2013,NUMBER,central_bosnia_canton,1,12068
2013,NUMBER,central_bosnia_canton,2,28784
2013,NUMBER,central_bosnia_canton,3,18339
2013,NUMBER,central_bosnia_canton,4,8020
2013,NUMBER,central_bosnia_canton,5+,7829
2013,NUMBER,herzegovina-neretva_canton,Total,96219
2013,NUMBER,herzegovina-neretva_canton,did_not_give_birth,31170
2013,NUMBER,herzegovina-neretva_canton,1,10670
2013,NUMBER,herzegovina-neretva_canton,2,27643
2013,NUMBER,herzegovina-neretva_canton,3,15955
2013,NUMBER,herzegovina-neretva_canton,4,6284
2013,NUMBER,herzegovina-neretva_canton,5+,4497
2013,NUMBER,west_herzegovina_canton,Total,39369
2013,NUMBER,west_herzegovina_canton,did_not_give_birth,14469
2013,NUMBER,west_herzegovina_canton,1,3221
2013,NUMBER,west_herzegovina_canton,2,7574
2013,NUMBER,west_herzegovina_canton,3,7371
2013,NUMBER,west_herzegovina_canton,4,3926
2013,NUMBER,west_herzegovina_canton,5+,2808
2013,NUMBER,sarajevo_canton,Total,187635
2013,NUMBER,sarajevo_canton,did_not_give_birth,57188
2013,NUMBER,sarajevo_canton,1,32682
2013,NUMBER,sarajevo_canton,2,67572
2013,NUMBER,sarajevo_canton,3,19921
2013,NUMBER,sarajevo_canton,4,5881
2013,NUMBER,sarajevo_canton,5+,4391
2013,NUMBER,canton_10,Total,36041
2013,NUMBER,canton_10,did_not_give_birth,12452
2013,NUMBER,canton_10,1,3043
2013,NUMBER,canton_10,2,8495
2013,NUMBER,canton_10,3,6804
2013,NUMBER,canton_10,4,3087
2013,NUMBER,canton_10,5+,2160
