Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2013,NUMBER,federation_of_bih,T,715665
2013,NUMBER,federation_of_bih,1,125942
2013,NUMBER,federation_of_bih,2,167372
2013,NUMBER,federation_of_bih,3,148905
2013,NUMBER,federation_of_bih,4,154944
2013,NUMBER,federation_of_bih,5,67486
2013,NUMBER,federation_of_bih,6,30205
2013,NUMBER,federation_of_bih,7,11533
2013,NUMBER,federation_of_bih,8+,9278
2013,NUMBER,una-sana_canton,T,78255
2013,NUMBER,una-sana_canton,1,11192
2013,NUMBER,una-sana_canton,2,15317
2013,NUMBER,una-sana_canton,3,14714
2013,NUMBER,una-sana_canton,4,17510
2013,NUMBER,una-sana_canton,5,9711
2013,NUMBER,una-sana_canton,6,5226
2013,NUMBER,una-sana_canton,7,2332
2013,NUMBER,una-sana_canton,8+,2253
2013,NUMBER,posavina_canton,T,13312
2013,NUMBER,posavina_canton,1,2537
2013,NUMBER,posavina_canton,2,2808
2013,NUMBER,posavina_canton,3,2366
2013,NUMBER,posavina_canton,4,2606
2013,NUMBER,posavina_canton,5,1588
2013,NUMBER,posavina_canton,6,803
2013,NUMBER,posavina_canton,7,321
2013,NUMBER,posavina_canton,8+,283
2013,NUMBER,tuzla_canton,T,150598
2013,NUMBER,tuzla_canton,1,25880
2013,NUMBER,tuzla_canton,2,37907
2013,NUMBER,tuzla_canton,3,34556
2013,NUMBER,tuzla_canton,4,33863
2013,NUMBER,tuzla_canton,5,11199
2013,NUMBER,tuzla_canton,6,4894
2013,NUMBER,tuzla_canton,7,1427
2013,NUMBER,tuzla_canton,8+,872
2013,NUMBER,zenica-doboj_canton,T,121139
2013,NUMBER,zenica-doboj_canton,1,20383
2013,NUMBER,zenica-doboj_canton,2,29234
2013,NUMBER,zenica-doboj_canton,3,27207
2013,NUMBER,zenica-doboj_canton,4,28049
2013,NUMBER,zenica-doboj_canton,5,10450
2013,NUMBER,zenica-doboj_canton,6,3802
2013,NUMBER,zenica-doboj_canton,7,1245
2013,NUMBER,zenica-doboj_canton,8+,769
2013,NUMBER,bosnian-podrinje_canton,T,8670
2013,NUMBER,bosnian-podrinje_canton,1,1937
2013,NUMBER,bosnian-podrinje_canton,2,2413
2013,NUMBER,bosnian-podrinje_canton,3,1732
2013,NUMBER,bosnian-podrinje_canton,4,1719
2013,NUMBER,bosnian-podrinje_canton,5,565
