Year,UNIT_MEASURE,Admin_Area,HH_agri,Value
2013,NUMBER,federation_of_bih,T,715739
2013,NUMBER,federation_of_bih,agri_activity,217061
2013,NUMBER,federation_of_bih,agri_activity_sale,30089
2013,NUMBER,una-sana_canton,T,78267
2013,NUMBER,una-sana_canton,agri_activity,23945
2013,NUMBER,una-sana_canton,agri_activity_sale,4547
2013,NUMBER,posavina_canton,T,13313
2013,NUMBER,posavina_canton,agri_activity,3960
2013,NUMBER,posavina_canton,agri_activity_sale,834
2013,NUMBER,tuzla_canton,T,150607
2013,NUMBER,tuzla_canton,agri_activity,56033
2013,NUMBER,tuzla_canton,agri_activity_sale,6242
2013,NUMBER,zenica-doboj_canton,T,121156
2013,NUMBER,zenica-doboj_canton,agri_activity,47622
2013,NUMBER,zenica-doboj_canton,agri_activity_sale,5385
2013,NUMBER,bosnian-podrinje_canton,T,8670
2013,NUMBER,bosnian-podrinje_canton,agri_activity,3373
2013,NUMBER,bosnian-podrinje_canton,agri_activity_sale,462
2013,NUMBER,central_bosnia_canton,T,77889
2013,NUMBER,central_bosnia_canton,agri_activity,31489
2013,NUMBER,central_bosnia_canton,agri_activity_sale,4989
2013,NUMBER,herzegovina-neretva_canton,T,68121
2013,NUMBER,herzegovina-neretva_canton,agri_activity,17696
2013,NUMBER,herzegovina-neretva_canton,agri_activity_sale,3808
2013,NUMBER,west_herzegovina_canton,T,25081
2013,NUMBER,west_herzegovina_canton,agri_activity,9592
2013,NUMBER,west_herzegovina_canton,agri_activity_sale,1161
2013,NUMBER,sarajevo_canton,T,148871
2013,NUMBER,sarajevo_canton,agri_activity,16112
2013,NUMBER,sarajevo_canton,agri_activity_sale,1241
2013,NUMBER,canton_10,T,23764
2013,NUMBER,canton_10,agri_activity,7239
2013,NUMBER,canton_10,agri_activity_sale,1420
