Year,UNIT_MEASURE,Admin_Area,Sex,LITERACY,Value
2013,NUMBER,federation_of_bih,M,literate,955131
2013,NUMBER,federation_of_bih,M,iliterate,6823
2013,NUMBER,federation_of_bih,M,unknown,7389
2013,NUMBER,una-sana_canton,M,literate,117388
2013,NUMBER,una-sana_canton,M,iliterate,1201
2013,NUMBER,una-sana_canton,M,unknown,1024
2013,NUMBER,posavina_canton,M,literate,19569
2013,NUMBER,posavina_canton,M,iliterate,168
2013,NUMBER,posavina_canton,M,unknown,242
2013,NUMBER,tuzla_canton,M,literate,190794
2013,NUMBER,tuzla_canton,M,iliterate,1722
2013,NUMBER,tuzla_canton,M,unknown,1309
2013,NUMBER,zenica-doboj_canton,M,literate,158533
2013,NUMBER,zenica-doboj_canton,M,iliterate,1077
2013,NUMBER,zenica-doboj_canton,M,unknown,895
2013,NUMBER,bosnian-podrinje_canton,M,literate,10379
2013,NUMBER,bosnian-podrinje_canton,M,iliterate,89
2013,NUMBER,bosnian-podrinje_canton,M,unknown,48
2013,NUMBER,central_bosnia_canton,M,literate,110778
2013,NUMBER,central_bosnia_canton,M,iliterate,916
2013,NUMBER,central_bosnia_canton,M,unknown,1490
2013,NUMBER,herzegovina-neretva_canton,M,literate,96601
2013,NUMBER,herzegovina-neretva_canton,M,iliterate,466
2013,NUMBER,herzegovina-neretva_canton,M,unknown,932
2013,NUMBER,west_herzegovina_canton,M,literate,41183
2013,NUMBER,west_herzegovina_canton,M,iliterate,196
2013,NUMBER,west_herzegovina_canton,M,unknown,474
2013,NUMBER,sarajevo_canton,M,literate,171986
2013,NUMBER,sarajevo_canton,M,iliterate,748
2013,NUMBER,sarajevo_canton,M,unknown,571
2013,NUMBER,canton_10,M,literate,37920
2013,NUMBER,canton_10,M,iliterate,240
2013,NUMBER,canton_10,M,unknown,404
2013,NUMBER,federation_of_bih,F,literate,960183
2013,NUMBER,federation_of_bih,F,iliterate,45404
2013,NUMBER,federation_of_bih,F,unknown,13395
2013,NUMBER,una-sana_canton,F,literate,114220
2013,NUMBER,una-sana_canton,F,iliterate,7083
2013,NUMBER,una-sana_canton,F,unknown,1763
2013,NUMBER,posavina_canton,F,literate,18788
2013,NUMBER,posavina_canton,F,iliterate,761
2013,NUMBER,posavina_canton,F,unknown,356
2013,NUMBER,tuzla_canton,F,literate,190980
2013,NUMBER,tuzla_canton,F,iliterate,11989
2013,NUMBER,tuzla_canton,F,unknown,2457
2013,NUMBER,zenica-doboj_canton,F,literate,155085
2013,NUMBER,zenica-doboj_canton,F,iliterate,7458
2013,NUMBER,zenica-doboj_canton,F,unknown,1869
2013,NUMBER,bosnian-podrinje_canton,F,literate,10328
2013,NUMBER,bosnian-podrinje_canton,F,iliterate,721
2013,NUMBER,bosnian-podrinje_canton,F,unknown,113
2013,NUMBER,central_bosnia_canton,F,literate,105913
2013,NUMBER,central_bosnia_canton,F,iliterate,5831
2013,NUMBER,central_bosnia_canton,F,unknown,2488
2013,NUMBER,herzegovina-neretva_canton,F,literate,97557
2013,NUMBER,herzegovina-neretva_canton,F,iliterate,3238
2013,NUMBER,herzegovina-neretva_canton,F,unknown,1630
2013,NUMBER,west_herzegovina_canton,F,literate,40544
2013,NUMBER,west_herzegovina_canton,F,iliterate,1230
2013,NUMBER,west_herzegovina_canton,F,unknown,735
2013,NUMBER,sarajevo_canton,F,literate,190584
2013,NUMBER,sarajevo_canton,F,iliterate,5558
2013,NUMBER,sarajevo_canton,F,unknown,1432
2013,NUMBER,canton_10,F,literate,36184
2013,NUMBER,canton_10,F,iliterate,1535
2013,NUMBER,canton_10,F,unknown,552
