Year,UNIT-MEASURE,Admin_Area,Sex,highest_attainment,Value
2013,NUMBER,federation_of_bih,T,T,1862272
2013,NUMBER,federation_of_bih,T,no_education,82724
2013,NUMBER,federation_of_bih,T,incomplete_elementary,167956
2013,NUMBER,federation_of_bih,T,elementary_education,401188
2013,NUMBER,federation_of_bih,T,secondary_education,952320
2013,NUMBER,federation_of_bih,T,secondary_specialization,13254
2013,NUMBER,federation_of_bih,T,first_degree,56720
2013,NUMBER,federation_of_bih,T,university_degree,188110
2013,NUMBER,una-sana_canton,T,T,225229
2013,NUMBER,una-sana_canton,T,no_education,13280
2013,NUMBER,una-sana_canton,T,incomplete_elementary,23698
2013,NUMBER,una-sana_canton,T,elementary_education,65447
2013,NUMBER,una-sana_canton,T,secondary_education,101836
2013,NUMBER,una-sana_canton,T,secondary_specialization,827
2013,NUMBER,una-sana_canton,T,first_degree,6495
2013,NUMBER,una-sana_canton,T,university_degree,13646
2013,NUMBER,posavina_canton,T,T,37418
2013,NUMBER,posavina_canton,T,no_education,1877
2013,NUMBER,posavina_canton,T,incomplete_elementary,5411
2013,NUMBER,posavina_canton,T,elementary_education,8965
2013,NUMBER,posavina_canton,T,secondary_education,17468
2013,NUMBER,posavina_canton,T,secondary_specialization,200
2013,NUMBER,posavina_canton,T,first_degree,1001
2013,NUMBER,posavina_canton,T,university_degree,2496
2013,NUMBER,tuzla_canton,T,T,375224
2013,NUMBER,tuzla_canton,T,no_education,19235
2013,NUMBER,tuzla_canton,T,incomplete_elementary,40851
2013,NUMBER,tuzla_canton,T,elementary_education,86031
2013,NUMBER,tuzla_canton,T,secondary_education,191001
2013,NUMBER,tuzla_canton,T,secondary_specialization,2692
2013,NUMBER,tuzla_canton,T,first_degree,7370
2013,NUMBER,tuzla_canton,T,university_degree,28044
2013,NUMBER,zenica-doboj_canton,T,T,303990
2013,NUMBER,zenica-doboj_canton,T,no_education,13040
2013,NUMBER,zenica-doboj_canton,T,incomplete_elementary,31325
2013,NUMBER,zenica-doboj_canton,T,elementary_education,71548
2013,NUMBER,zenica-doboj_canton,T,secondary_education,156591
2013,NUMBER,zenica-doboj_canton,T,secondary_specialization,3593
2013,NUMBER,zenica-doboj_canton,T,first_degree,7050
2013,NUMBER,zenica-doboj_canton,T,university_degree,20843
2013,NUMBER,bosnian-podrinje_canton,T,T,20448
2013,NUMBER,bosnian-podrinje_canton,T,no_education,1133
2013,NUMBER,bosnian-podrinje_canton,T,incomplete_elementary,1705
2013,NUMBER,bosnian-podrinje_canton,T,elementary_education,4886
2013,NUMBER,bosnian-podrinje_canton,T,secondary_education,10173
2013,NUMBER,bosnian-podrinje_canton,T,secondary_specialization,205
2013,NUMBER,bosnian-podrinje_canton,T,first_degree,518
2013,NUMBER,bosnian-podrinje_canton,T,university_degree,1828
2013,NUMBER,central_bosnia_canton,T,T,211486
2013,NUMBER,central_bosnia_canton,T,no_education,10958
2013,NUMBER,central_bosnia_canton,T,incomplete_elementary,23045
2013,NUMBER,central_bosnia_canton,T,elementary_education,49690
2013,NUMBER,central_bosnia_canton,T,secondary_education,107657
2013,NUMBER,central_bosnia_canton,T,secondary_specialization,1321
2013,NUMBER,central_bosnia_canton,T,first_degree,5219
2013,NUMBER,central_bosnia_canton,T,university_degree,13596
2013,NUMBER,herzegovina-neretva_canton,T,T,187848
2013,NUMBER,herzegovina-neretva_canton,T,no_education,6789
2013,NUMBER,herzegovina-neretva_canton,T,incomplete_elementary,13648
2013,NUMBER,herzegovina-neretva_canton,T,elementary_education,33296
2013,NUMBER,herzegovina-neretva_canton,T,secondary_education,101352
2013,NUMBER,herzegovina-neretva_canton,T,secondary_specialization,1347
2013,NUMBER,herzegovina-neretva_canton,T,first_degree,7772
2013,NUMBER,herzegovina-neretva_canton,T,university_degree,23644
2013,NUMBER,west_herzegovina_canton,T,T,78046
2013,NUMBER,west_herzegovina_canton,T,no_education,2960
2013,NUMBER,west_herzegovina_canton,T,incomplete_elementary,6267
2013,NUMBER,west_herzegovina_canton,T,elementary_education,12575
2013,NUMBER,west_herzegovina_canton,T,secondary_education,42986
2013,NUMBER,west_herzegovina_canton,T,secondary_specialization,387
2013,NUMBER,west_herzegovina_canton,T,first_degree,3427
2013,NUMBER,west_herzegovina_canton,T,university_degree,9444
2013,NUMBER,sarajevo_canton,T,T,350333
2013,NUMBER,sarajevo_canton,T,no_education,9766
2013,NUMBER,sarajevo_canton,T,incomplete_elementary,14669
2013,NUMBER,sarajevo_canton,T,elementary_education,54955
2013,NUMBER,sarajevo_canton,T,secondary_education,186928
2013,NUMBER,sarajevo_canton,T,secondary_specialization,2385
2013,NUMBER,sarajevo_canton,T,first_degree,14716
2013,NUMBER,sarajevo_canton,T,university_degree,66914
2013,NUMBER,canton_10,T,T,72250
2013,NUMBER,canton_10,T,no_education,3686
2013,NUMBER,canton_10,T,incomplete_elementary,7337
2013,NUMBER,canton_10,T,elementary_education,13795
2013,NUMBER,canton_10,T,secondary_education,36328
2013,NUMBER,canton_10,T,secondary_specialization,297
