Year,UNIT_MEASURE,type_of_institution,Value
2016,NUMBER,total,175
2016,NUMBER,public,90
2016,NUMBER,private,85
2017,NUMBER,total,175
2017,NUMBER,public,90
2017,NUMBER,private,85
2018,NUMBER,total,172
2018,NUMBER,public,90
2018,NUMBER,private,82
2019,NUMBER,total,184
2019,NUMBER,public,90
2019,NUMBER,private,94
2020,NUMBER,total,188
2020,NUMBER,public,90
2020,NUMBER,private,98
2021,NUMBER,total,200
2021,NUMBER,public,92
2021,NUMBER,private,108
2022,NUMBER,total,225
2022,NUMBER,public,93
2022,NUMBER,private,132
