Year,UNIT_MEASURE,Admin_Area,Sex,Value
2010,NUMBER,federation_of_bih,_T,99228
2011,NUMBER,federation_of_bih,_T,108957
2012,NUMBER,federation_of_bih,_T,113214
2013,NUMBER,federation_of_bih,_T,106056
2014,NUMBER,federation_of_bih,_T,96331
2015,NUMBER,federation_of_bih,_T,87813
2016,NUMBER,federation_of_bih,_T,82675
2017,NUMBER,federation_of_bih,_T,81454
2018,NUMBER,federation_of_bih,_T,76164
2019,NUMBER,federation_of_bih,_T,72892
2020,NUMBER,federation_of_bih,_T,71328
2021,NUMBER,federation_of_bih,_T,70024
2022,NUMBER,federation_of_bih,_T,70325
2010,NUMBER,federation_of_bih,M,50211
2011,NUMBER,federation_of_bih,M,55366
2012,NUMBER,federation_of_bih,M,57539
2013,NUMBER,federation_of_bih,M,53616
2014,NUMBER,federation_of_bih,M,48240
2015,NUMBER,federation_of_bih,M,43953
2016,NUMBER,federation_of_bih,M,41231
2017,NUMBER,federation_of_bih,M,40710
2018,NUMBER,federation_of_bih,M,38140
2019,NUMBER,federation_of_bih,M,36506
2020,NUMBER,federation_of_bih,M,35711
2021,NUMBER,federation_of_bih,M,35018
2022,NUMBER,federation_of_bih,M,35016
2010,NUMBER,federation_of_bih,F,49017
2011,NUMBER,federation_of_bih,F,53591
2012,NUMBER,federation_of_bih,F,55675
2013,NUMBER,federation_of_bih,F,52440
2014,NUMBER,federation_of_bih,F,48091
2015,NUMBER,federation_of_bih,F,43860
2016,NUMBER,federation_of_bih,F,41444
2017,NUMBER,federation_of_bih,F,40744
2018,NUMBER,federation_of_bih,F,38024
2019,NUMBER,federation_of_bih,F,36386
2020,NUMBER,federation_of_bih,F,35617
2021,NUMBER,federation_of_bih,F,35006
2022,NUMBER,federation_of_bih,F,35309
2010,NUMBER,una-sana_canton,_T,10302
2011,NUMBER,una-sana_canton,_T,11913
2012,NUMBER,una-sana_canton,_T,12734
2013,NUMBER,una-sana_canton,_T,11904
2014,NUMBER,una-sana_canton,_T,11058
2015,NUMBER,una-sana_canton,_T,10239
2016,NUMBER,una-sana_canton,_T,9619
2017,NUMBER,una-sana_canton,_T,9496
2018,NUMBER,una-sana_canton,_T,8698
2019,NUMBER,una-sana_canton,_T,8046
2020,NUMBER,una-sana_canton,_T,7501
2021,NUMBER,una-sana_canton,_T,7107
2022,NUMBER,una-sana_canton,_T,6792
2010,NUMBER,una-sana_canton,M,5247
2011,NUMBER,una-sana_canton,M,6049
2012,NUMBER,una-sana_canton,M,6505
2013,NUMBER,una-sana_canton,M,6051
2014,NUMBER,una-sana_canton,M,5573
2015,NUMBER,una-sana_canton,M,5060
2016,NUMBER,una-sana_canton,M,4755
2017,NUMBER,una-sana_canton,M,4705
2018,NUMBER,una-sana_canton,M,4268
2019,NUMBER,una-sana_canton,M,3997
2020,NUMBER,una-sana_canton,M,3676
2021,NUMBER,una-sana_canton,M,3470
2022,NUMBER,una-sana_canton,M,3341
2010,NUMBER,una-sana_canton,F,5055
2011,NUMBER,una-sana_canton,F,5864
2012,NUMBER,una-sana_canton,F,6229
2013,NUMBER,una-sana_canton,F,5853
2014,NUMBER,una-sana_canton,F,5485
2015,NUMBER,una-sana_canton,F,5179
2016,NUMBER,una-sana_canton,F,4864
2017,NUMBER,una-sana_canton,F,4791
2018,NUMBER,una-sana_canton,F,4430
2019,NUMBER,una-sana_canton,F,4049
2020,NUMBER,una-sana_canton,F,3825
2021,NUMBER,una-sana_canton,F,3637
2022,NUMBER,una-sana_canton,F,3451
2010,NUMBER,posavina_canton,_T,1516
2011,NUMBER,posavina_canton,_T,1591
2012,NUMBER,posavina_canton,_T,1673
2013,NUMBER,posavina_canton,_T,1670
2014,NUMBER,posavina_canton,_T,1600
2015,NUMBER,posavina_canton,_T,1413
2016,NUMBER,posavina_canton,_T,1300
2017,NUMBER,posavina_canton,_T,1160
2018,NUMBER,posavina_canton,_T,1037
2019,NUMBER,posavina_canton,_T,986
2020,NUMBER,posavina_canton,_T,896
2021,NUMBER,posavina_canton,_T,865
2022,NUMBER,posavina_canton,_T,805
2010,NUMBER,posavina_canton,M,738
2011,NUMBER,posavina_canton,M,779
2012,NUMBER,posavina_canton,M,807
2013,NUMBER,posavina_canton,M,809
2014,NUMBER,posavina_canton,M,793
2015,NUMBER,posavina_canton,M,694
2016,NUMBER,posavina_canton,M,649
2017,NUMBER,posavina_canton,M,577
2018,NUMBER,posavina_canton,M,530
2019,NUMBER,posavina_canton,M,488
2020,NUMBER,posavina_canton,M,437
2021,NUMBER,posavina_canton,M,430
2022,NUMBER,posavina_canton,M,403
2010,NUMBER,posavina_canton,F,778
2011,NUMBER,posavina_canton,F,812
2012,NUMBER,posavina_canton,F,866
2013,NUMBER,posavina_canton,F,861
2014,NUMBER,posavina_canton,F,807
2015,NUMBER,posavina_canton,F,719
2016,NUMBER,posavina_canton,F,651
2017,NUMBER,posavina_canton,F,583
2018,NUMBER,posavina_canton,F,507
2019,NUMBER,posavina_canton,F,498
2020,NUMBER,posavina_canton,F,459
2021,NUMBER,posavina_canton,F,435
2022,NUMBER,posavina_canton,F,402
2010,NUMBER,tuzla_canton,_T,22329
2011,NUMBER,tuzla_canton,_T,24166
2012,NUMBER,tuzla_canton,_T,24680
2013,NUMBER,tuzla_canton,_T,22484
2014,NUMBER,tuzla_canton,_T,19226
2015,NUMBER,tuzla_canton,_T,16850
2016,NUMBER,tuzla_canton,_T,15751
2017,NUMBER,tuzla_canton,_T,15966
2018,NUMBER,tuzla_canton,_T,15582
2019,NUMBER,tuzla_canton,_T,15078
2020,NUMBER,tuzla_canton,_T,14923
2021,NUMBER,tuzla_canton,_T,14384
2022,NUMBER,tuzla_canton,_T,14128
2010,NUMBER,tuzla_canton,M,11405
2011,NUMBER,tuzla_canton,M,12336
2012,NUMBER,tuzla_canton,M,12559
2013,NUMBER,tuzla_canton,M,11367
2014,NUMBER,tuzla_canton,M,9641
2015,NUMBER,tuzla_canton,M,8378
2016,NUMBER,tuzla_canton,M,7893
2017,NUMBER,tuzla_canton,M,7965
2018,NUMBER,tuzla_canton,M,7742
2019,NUMBER,tuzla_canton,M,7506
2020,NUMBER,tuzla_canton,M,7496
2021,NUMBER,tuzla_canton,M,7197
2022,NUMBER,tuzla_canton,M,7048
2010,NUMBER,tuzla_canton,F,10924
2011,NUMBER,tuzla_canton,F,11830
2012,NUMBER,tuzla_canton,F,12121
2013,NUMBER,tuzla_canton,F,11117
2014,NUMBER,tuzla_canton,F,9585
2015,NUMBER,tuzla_canton,F,8472
2016,NUMBER,tuzla_canton,F,7858
2017,NUMBER,tuzla_canton,F,8001
2018,NUMBER,tuzla_canton,F,7840
2019,NUMBER,tuzla_canton,F,7572
2020,NUMBER,tuzla_canton,F,7427
2021,NUMBER,tuzla_canton,F,7187
2022,NUMBER,tuzla_canton,F,7080
2010,NUMBER,zenica-doboj_canton,_T,17124
2011,NUMBER,zenica-doboj_canton,_T,19199
2012,NUMBER,zenica-doboj_canton,_T,19271
2013,NUMBER,zenica-doboj_canton,_T,17900
2014,NUMBER,zenica-doboj_canton,_T,16228
2015,NUMBER,zenica-doboj_canton,_T,14778
2016,NUMBER,zenica-doboj_canton,_T,14478
2017,NUMBER,zenica-doboj_canton,_T,14006
2018,NUMBER,zenica-doboj_canton,_T,13558
2019,NUMBER,zenica-doboj_canton,_T,12688
2020,NUMBER,zenica-doboj_canton,_T,12365
2021,NUMBER,zenica-doboj_canton,_T,11908
2022,NUMBER,zenica-doboj_canton,_T,11875
2010,NUMBER,zenica-doboj_canton,M,8791
2011,NUMBER,zenica-doboj_canton,M,9949
2012,NUMBER,zenica-doboj_canton,M,9976
2013,NUMBER,zenica-doboj_canton,M,9177
2014,NUMBER,zenica-doboj_canton,M,8257
2015,NUMBER,zenica-doboj_canton,M,7575
2016,NUMBER,zenica-doboj_canton,M,7382
2017,NUMBER,zenica-doboj_canton,M,7162
2018,NUMBER,zenica-doboj_canton,M,6944
2019,NUMBER,zenica-doboj_canton,M,6446
2020,NUMBER,zenica-doboj_canton,M,6217
2021,NUMBER,zenica-doboj_canton,M,5904
2022,NUMBER,zenica-doboj_canton,M,5943
2010,NUMBER,zenica-doboj_canton,F,8333
2011,NUMBER,zenica-doboj_canton,F,9250
2012,NUMBER,zenica-doboj_canton,F,9295
2013,NUMBER,zenica-doboj_canton,F,8723
2014,NUMBER,zenica-doboj_canton,F,7971
2015,NUMBER,zenica-doboj_canton,F,7203
2016,NUMBER,zenica-doboj_canton,F,7096
2017,NUMBER,zenica-doboj_canton,F,6844
2018,NUMBER,zenica-doboj_canton,F,6614
2019,NUMBER,zenica-doboj_canton,F,6242
2020,NUMBER,zenica-doboj_canton,F,6148
2021,NUMBER,zenica-doboj_canton,F,6004
2022,NUMBER,zenica-doboj_canton,F,5932
2010,NUMBER,bosnian-podrinje_canton,_T,1136
2011,NUMBER,bosnian-podrinje_canton,_T,1247
2012,NUMBER,bosnian-podrinje_canton,_T,1389
2013,NUMBER,bosnian-podrinje_canton,_T,1242
2014,NUMBER,bosnian-podrinje_canton,_T,1202
2015,NUMBER,bosnian-podrinje_canton,_T,1031
2016,NUMBER,bosnian-podrinje_canton,_T,948
2017,NUMBER,bosnian-podrinje_canton,_T,964
2018,NUMBER,bosnian-podrinje_canton,_T,886
2019,NUMBER,bosnian-podrinje_canton,_T,832
2020,NUMBER,bosnian-podrinje_canton,_T,788
2021,NUMBER,bosnian-podrinje_canton,_T,748
2022,NUMBER,bosnian-podrinje_canton,_T,706
2010,NUMBER,bosnian-podrinje_canton,M,591
2011,NUMBER,bosnian-podrinje_canton,M,659
2012,NUMBER,bosnian-podrinje_canton,M,717
2013,NUMBER,bosnian-podrinje_canton,M,655
2014,NUMBER,bosnian-podrinje_canton,M,644
2015,NUMBER,bosnian-podrinje_canton,M,552
2016,NUMBER,bosnian-podrinje_canton,M,479
2017,NUMBER,bosnian-podrinje_canton,M,485
2018,NUMBER,bosnian-podrinje_canton,M,452
2019,NUMBER,bosnian-podrinje_canton,M,441
2020,NUMBER,bosnian-podrinje_canton,M,423
2021,NUMBER,bosnian-podrinje_canton,M,388
2022,NUMBER,bosnian-podrinje_canton,M,368
2010,NUMBER,bosnian-podrinje_canton,F,545
2011,NUMBER,bosnian-podrinje_canton,F,588
2012,NUMBER,bosnian-podrinje_canton,F,672
2013,NUMBER,bosnian-podrinje_canton,F,587
2014,NUMBER,bosnian-podrinje_canton,F,558
2015,NUMBER,bosnian-podrinje_canton,F,479
2016,NUMBER,bosnian-podrinje_canton,F,469
2017,NUMBER,bosnian-podrinje_canton,F,479
2018,NUMBER,bosnian-podrinje_canton,F,434
2019,NUMBER,bosnian-podrinje_canton,F,391
2020,NUMBER,bosnian-podrinje_canton,F,365
2021,NUMBER,bosnian-podrinje_canton,F,360
2022,NUMBER,bosnian-podrinje_canton,F,338
2010,NUMBER,central_bosnia_canton,_T,11531
2011,NUMBER,central_bosnia_canton,_T,12712
2012,NUMBER,central_bosnia_canton,_T,13583
2013,NUMBER,central_bosnia_canton,_T,13402
2014,NUMBER,central_bosnia_canton,_T,12333
2015,NUMBER,central_bosnia_canton,_T,11420
2016,NUMBER,central_bosnia_canton,_T,10610
2017,NUMBER,central_bosnia_canton,_T,10087
2018,NUMBER,central_bosnia_canton,_T,8320
2019,NUMBER,central_bosnia_canton,_T,7878
2020,NUMBER,central_bosnia_canton,_T,7869
2021,NUMBER,central_bosnia_canton,_T,8097
2022,NUMBER,central_bosnia_canton,_T,8867
2010,NUMBER,central_bosnia_canton,M,5829
2011,NUMBER,central_bosnia_canton,M,6467
