Year,UNIT_MEASURE,Admin_Area,SEX,Value
2010,NUMBER,federation_of_bih,_T,10096
2011,NUMBER,federation_of_bih,_T,11350
2012,NUMBER,federation_of_bih,_T,11209
2013,NUMBER,federation_of_bih,_T,12231
2014,NUMBER,federation_of_bih,_T,13491
2015,NUMBER,federation_of_bih,_T,12183
2016,NUMBER,federation_of_bih,_T,11846
2017,NUMBER,federation_of_bih,_T,12149
2018,NUMBER,federation_of_bih,_T,12060
2019,NUMBER,federation_of_bih,_T,11747
2010,NUMBER,federation_of_bih,M,
2011,NUMBER,federation_of_bih,M,
2012,NUMBER,federation_of_bih,M,
2013,NUMBER,federation_of_bih,M,
2014,NUMBER,federation_of_bih,M,
2015,NUMBER,federation_of_bih,M,
2016,NUMBER,federation_of_bih,M,
2017,NUMBER,federation_of_bih,M,
2018,NUMBER,federation_of_bih,M,
2019,NUMBER,federation_of_bih,M,
2010,NUMBER,federation_of_bih,F,
2011,NUMBER,federation_of_bih,F,
2012,NUMBER,federation_of_bih,F,
2013,NUMBER,federation_of_bih,F,
2014,NUMBER,federation_of_bih,F,
2015,NUMBER,federation_of_bih,F,
2016,NUMBER,federation_of_bih,F,
2017,NUMBER,federation_of_bih,F,
2018,NUMBER,federation_of_bih,F,
2019,NUMBER,federation_of_bih,F,
2010,NUMBER,una-sana_canton,_T,553
2011,NUMBER,una-sana_canton,_T,787
2012,NUMBER,una-sana_canton,_T,574
2013,NUMBER,una-sana_canton,_T,868
2014,NUMBER,una-sana_canton,_T,728
2015,NUMBER,una-sana_canton,_T,610
2016,NUMBER,una-sana_canton,_T,608
2017,NUMBER,una-sana_canton,_T,456
2018,NUMBER,una-sana_canton,_T,499
2019,NUMBER,una-sana_canton,_T,423
2010,NUMBER,una-sana_canton,M,
2011,NUMBER,una-sana_canton,M,
2012,NUMBER,una-sana_canton,M,
2013,NUMBER,una-sana_canton,M,
2014,NUMBER,una-sana_canton,M,
2015,NUMBER,una-sana_canton,M,
2016,NUMBER,una-sana_canton,M,
2017,NUMBER,una-sana_canton,M,
2018,NUMBER,una-sana_canton,M,
2019,NUMBER,una-sana_canton,M,
2010,NUMBER,una-sana_canton,F,
2011,NUMBER,una-sana_canton,F,
2012,NUMBER,una-sana_canton,F,
2013,NUMBER,una-sana_canton,F,
2014,NUMBER,una-sana_canton,F,
2015,NUMBER,una-sana_canton,F,
2016,NUMBER,una-sana_canton,F,
2017,NUMBER,una-sana_canton,F,
2018,NUMBER,una-sana_canton,F,
2019,NUMBER,una-sana_canton,F,
2010,NUMBER,tuzla_canton,_T,1187
2011,NUMBER,tuzla_canton,_T,1957
2012,NUMBER,tuzla_canton,_T,1970
2013,NUMBER,tuzla_canton,_T,2049
2014,NUMBER,tuzla_canton,_T,2001
2015,NUMBER,tuzla_canton,_T,1902
2016,NUMBER,tuzla_canton,_T,1681
2017,NUMBER,tuzla_canton,_T,1533
2018,NUMBER,tuzla_canton,_T,1428
2019,NUMBER,tuzla_canton,_T,1520
2010,NUMBER,tuzla_canton,M,
2011,NUMBER,tuzla_canton,M,
2012,NUMBER,tuzla_canton,M,
2013,NUMBER,tuzla_canton,M,
2014,NUMBER,tuzla_canton,M,
2015,NUMBER,tuzla_canton,M,
2016,NUMBER,tuzla_canton,M,
2017,NUMBER,tuzla_canton,M,
2018,NUMBER,tuzla_canton,M,
2019,NUMBER,tuzla_canton,M,
2010,NUMBER,tuzla_canton,F,
2011,NUMBER,tuzla_canton,F,
2012,NUMBER,tuzla_canton,F,
2013,NUMBER,tuzla_canton,F,
2014,NUMBER,tuzla_canton,F,
2015,NUMBER,tuzla_canton,F,
2016,NUMBER,tuzla_canton,F,
2017,NUMBER,tuzla_canton,F,
2018,NUMBER,tuzla_canton,F,
2019,NUMBER,tuzla_canton,F,
2010,NUMBER,zenica-doboj_canton,_T,462
2011,NUMBER,zenica-doboj_canton,_T,490
2012,NUMBER,zenica-doboj_canton,_T,567
2013,NUMBER,zenica-doboj_canton,_T,643
2014,NUMBER,zenica-doboj_canton,_T,654
2015,NUMBER,zenica-doboj_canton,_T,343
2016,NUMBER,zenica-doboj_canton,_T,457
2017,NUMBER,zenica-doboj_canton,_T,445
2018,NUMBER,zenica-doboj_canton,_T,508
2019,NUMBER,zenica-doboj_canton,_T,519
2010,NUMBER,zenica-doboj_canton,M,
2011,NUMBER,zenica-doboj_canton,M,
2012,NUMBER,zenica-doboj_canton,M,
2013,NUMBER,zenica-doboj_canton,M,
2014,NUMBER,zenica-doboj_canton,M,
2015,NUMBER,zenica-doboj_canton,M,
2016,NUMBER,zenica-doboj_canton,M,
2017,NUMBER,zenica-doboj_canton,M,
2018,NUMBER,zenica-doboj_canton,M,
2019,NUMBER,zenica-doboj_canton,M,
2010,NUMBER,zenica-doboj_canton,F,
2011,NUMBER,zenica-doboj_canton,F,
2012,NUMBER,zenica-doboj_canton,F,
2013,NUMBER,zenica-doboj_canton,F,
2014,NUMBER,zenica-doboj_canton,F,
2015,NUMBER,zenica-doboj_canton,F,
2016,NUMBER,zenica-doboj_canton,F,
2017,NUMBER,zenica-doboj_canton,F,
2018,NUMBER,zenica-doboj_canton,F,
2019,NUMBER,zenica-doboj_canton,F,
2010,NUMBER,bosnian-podrinje_canton,_T,0
2011,NUMBER,bosnian-podrinje_canton,_T,0
2012,NUMBER,bosnian-podrinje_canton,_T,0
2013,NUMBER,bosnian-podrinje_canton,_T,0
2014,NUMBER,bosnian-podrinje_canton,_T,0
2015,NUMBER,bosnian-podrinje_canton,_T,0
2016,NUMBER,bosnian-podrinje_canton,_T,0
2017,NUMBER,bosnian-podrinje_canton,_T,0
2018,NUMBER,bosnian-podrinje_canton,_T,18
2019,NUMBER,bosnian-podrinje_canton,_T,44
2010,NUMBER,bosnian-podrinje_canton,M,
2011,NUMBER,bosnian-podrinje_canton,M,
2012,NUMBER,bosnian-podrinje_canton,M,
2013,NUMBER,bosnian-podrinje_canton,M,
2014,NUMBER,bosnian-podrinje_canton,M,
2015,NUMBER,bosnian-podrinje_canton,M,
2016,NUMBER,bosnian-podrinje_canton,M,
2017,NUMBER,bosnian-podrinje_canton,M,
2018,NUMBER,bosnian-podrinje_canton,M,
2019,NUMBER,bosnian-podrinje_canton,M,
2010,NUMBER,bosnian-podrinje_canton,F,
2011,NUMBER,bosnian-podrinje_canton,F,
2012,NUMBER,bosnian-podrinje_canton,F,
2013,NUMBER,bosnian-podrinje_canton,F,
2014,NUMBER,bosnian-podrinje_canton,F,
2015,NUMBER,bosnian-podrinje_canton,F,
2016,NUMBER,bosnian-podrinje_canton,F,
2017,NUMBER,bosnian-podrinje_canton,F,
2018,NUMBER,bosnian-podrinje_canton,F,
2019,NUMBER,bosnian-podrinje_canton,F,
2010,NUMBER,central_bosnia_canton,_T,168
2011,NUMBER,central_bosnia_canton,_T,260
2012,NUMBER,central_bosnia_canton,_T,148
2013,NUMBER,central_bosnia_canton,_T,546
2014,NUMBER,central_bosnia_canton,_T,1030
2015,NUMBER,central_bosnia_canton,_T,898
2016,NUMBER,central_bosnia_canton,_T,1110
2017,NUMBER,central_bosnia_canton,_T,1277
2018,NUMBER,central_bosnia_canton,_T,1548
2019,NUMBER,central_bosnia_canton,_T,1318
2010,NUMBER,central_bosnia_canton,M,
2011,NUMBER,central_bosnia_canton,M,
2012,NUMBER,central_bosnia_canton,M,
2013,NUMBER,central_bosnia_canton,M,
2014,NUMBER,central_bosnia_canton,M,
2015,NUMBER,central_bosnia_canton,M,
2016,NUMBER,central_bosnia_canton,M,
2017,NUMBER,central_bosnia_canton,M,
2018,NUMBER,central_bosnia_canton,M,
2019,NUMBER,central_bosnia_canton,M,
2010,NUMBER,central_bosnia_canton,F,
2011,NUMBER,central_bosnia_canton,F,
2012,NUMBER,central_bosnia_canton,F,
2013,NUMBER,central_bosnia_canton,F,
2014,NUMBER,central_bosnia_canton,F,
2015,NUMBER,central_bosnia_canton,F,
2016,NUMBER,central_bosnia_canton,F,
2017,NUMBER,central_bosnia_canton,F,
2018,NUMBER,central_bosnia_canton,F,
2019,NUMBER,central_bosnia_canton,F,
2010,NUMBER,herzegovina-neretva_canton,_T,2059
2011,NUMBER,herzegovina-neretva_canton,_T,2273
2012,NUMBER,herzegovina-neretva_canton,_T,2435
2013,NUMBER,herzegovina-neretva_canton,_T,2441
2014,NUMBER,herzegovina-neretva_canton,_T,2969
2015,NUMBER,herzegovina-neretva_canton,_T,3097
2016,NUMBER,herzegovina-neretva_canton,_T,2783
2017,NUMBER,herzegovina-neretva_canton,_T,2789
2018,NUMBER,herzegovina-neretva_canton,_T,2943
2019,NUMBER,herzegovina-neretva_canton,_T,2638
2010,NUMBER,herzegovina-neretva_canton,M,
2011,NUMBER,herzegovina-neretva_canton,M,
2012,NUMBER,herzegovina-neretva_canton,M,
2013,NUMBER,herzegovina-neretva_canton,M,
2014,NUMBER,herzegovina-neretva_canton,M,
2015,NUMBER,herzegovina-neretva_canton,M,
2016,NUMBER,herzegovina-neretva_canton,M,
2017,NUMBER,herzegovina-neretva_canton,M,
2018,NUMBER,herzegovina-neretva_canton,M,
2019,NUMBER,herzegovina-neretva_canton,M,
2010,NUMBER,herzegovina-neretva_canton,F,
2011,NUMBER,herzegovina-neretva_canton,F,
2012,NUMBER,herzegovina-neretva_canton,F,
2013,NUMBER,herzegovina-neretva_canton,F,
2014,NUMBER,herzegovina-neretva_canton,F,
2015,NUMBER,herzegovina-neretva_canton,F,
2016,NUMBER,herzegovina-neretva_canton,F,
2017,NUMBER,herzegovina-neretva_canton,F,
2018,NUMBER,herzegovina-neretva_canton,F,
2019,NUMBER,herzegovina-neretva_canton,F,
2010,NUMBER,sarajevo_canton,_T,5667
2011,NUMBER,sarajevo_canton,_T,5583
2012,NUMBER,sarajevo_canton,_T,5515
2013,NUMBER,sarajevo_canton,_T,5684
2014,NUMBER,sarajevo_canton,_T,6109
2015,NUMBER,sarajevo_canton,_T,5333
2016,NUMBER,sarajevo_canton,_T,5207
2017,NUMBER,sarajevo_canton,_T,5649
2018,NUMBER,sarajevo_canton,_T,5116
2019,NUMBER,sarajevo_canton,_T,5285
2010,NUMBER,sarajevo_canton,M,
2011,NUMBER,sarajevo_canton,M,
2012,NUMBER,sarajevo_canton,M,
2013,NUMBER,sarajevo_canton,M,
2014,NUMBER,sarajevo_canton,M,
2015,NUMBER,sarajevo_canton,M,
2016,NUMBER,sarajevo_canton,M,
2017,NUMBER,sarajevo_canton,M,
2018,NUMBER,sarajevo_canton,M,
2019,NUMBER,sarajevo_canton,M,
2010,NUMBER,sarajevo_canton,F,
2011,NUMBER,sarajevo_canton,F,
2012,NUMBER,sarajevo_canton,F,
2013,NUMBER,sarajevo_canton,F,
2014,NUMBER,sarajevo_canton,F,
2015,NUMBER,sarajevo_canton,F,
2016,NUMBER,sarajevo_canton,F,
2017,NUMBER,sarajevo_canton,F,
2018,NUMBER,sarajevo_canton,F,
2019,NUMBER,sarajevo_canton,F,
