Year,UNIT_MEASURE,ADMIN_AREA,scientific_field,Value
2010,NUMBER,federation_of_bih,education,
2010,NUMBER,federation_of_bih,arts_and_humanities,
2010,NUMBER,federation_of_bih,"social_sciences,_journalism_and_information",
2010,NUMBER,federation_of_bih,"business,_administration_and_law",
2010,NUMBER,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2010,NUMBER,federation_of_bih,information_and_communication_technologies,
2010,NUMBER,federation_of_bih,"engineering,_production_and_construction",
2010,NUMBER,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,NUMBER,federation_of_bih,health_and_social_protection,
2010,NUMBER,federation_of_bih,services,
2010,NUMBER,una-sana_canton,education,
2010,NUMBER,una-sana_canton,arts_and_humanities,
2010,NUMBER,una-sana_canton,"social_sciences,_journalism_and_information",
2010,NUMBER,una-sana_canton,"business,_administration_and_law",
2010,NUMBER,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2010,NUMBER,una-sana_canton,information_and_communication_technologies,
2010,NUMBER,una-sana_canton,"engineering,_production_and_construction",
2010,NUMBER,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,NUMBER,una-sana_canton,health_and_social_protection,
2010,NUMBER,una-sana_canton,services,
2010,NUMBER,tuzla_canton,education,
2010,NUMBER,tuzla_canton,arts_and_humanities,
2010,NUMBER,tuzla_canton,"social_sciences,_journalism_and_information",
2010,NUMBER,tuzla_canton,"business,_administration_and_law",
2010,NUMBER,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2010,NUMBER,tuzla_canton,information_and_communication_technologies,
2010,NUMBER,tuzla_canton,"engineering,_production_and_construction",
2010,NUMBER,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,NUMBER,tuzla_canton,health_and_social_protection,
2010,NUMBER,tuzla_canton,services,
2010,NUMBER,zenica-doboj_canton,education,
2010,NUMBER,zenica-doboj_canton,arts_and_humanities,
2010,NUMBER,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2010,NUMBER,zenica-doboj_canton,"business,_administration_and_law",
