Year,UNIT_MEASURE,Value
2005,BAM,5152
2006,BAM,5840
2007,BAM,6556
2008,BAM,7367
2009,BAM,7172
2010,BAM,7388
2011,BAM,7604
2012,BAM,7655
2013,BAM,7831
2014,BAM,8045
2015,BAM,8452
2016,BAM,8857
2017,BAM,9331
2018,BAM,10010
2019,BAM,10584
2020,BAM,10187
2021,BAM,11634
2022,BAM,13660
2005,EUR,2634
2006,EUR,2986
2007,EUR,3352
2008,EUR,3767
2009,EUR,3667
2010,EUR,3777
2011,EUR,3888
2012,EUR,3914
2013,EUR,4004
2014,EUR,4113
2015,EUR,4322
2016,EUR,4528
2017,EUR,4771
2018,EUR,5118
2019,EUR,5411
2020,EUR,5209
2021,EUR,5949
2022,EUR,6959
2005,USD,3276
2006,USD,3745
2007,USD,4586
2008,USD,5512
2009,USD,5098
2010,USD,5002
2011,USD,5408
2012,USD,5027
2013,USD,5314
2014,USD,5458
2015,USD,4795
2016,USD,5009
2017,USD,5377
2018,USD,6039
2019,USD,6057
2020,USD,5934
2021,USD,7034
2022,USD,7316
