Year,UNIT_MEASURE,Quarter,Sex,AGE,Value
2021,%,Q1,_T,15 - 89,46.2
2021,%,Q1,_T,15 - 24,33.1
2021,%,Q1,_T,25 - 49,73.4
2021,%,Q1,_T,50 - 64,41.4
2021,%,Q1,_T,15 - 64,56.2
2021,%,Q1,_T,20 - 64,60.4
2021,%,Q1,_T,25 - 34,74.5
2021,%,Q1,_T,15 - 74,49.4
2021,%,Q1,M,15 - 89,59.8
2021,%,Q1,M,15 - 24,40.7
2021,%,Q1,M,25 - 49,88.9
2021,%,Q1,M,50 - 64,57.9
2021,%,Q1,M,15 - 64,70.7
2021,%,Q1,M,20 - 64,76
2021,%,Q1,M,25 - 34,89.2
2021,%,Q1,M,15 - 74,63.1
2021,%,Q1,F,15 - 89,33.3
2021,%,Q1,F,15 - 24,25.1
2021,%,Q1,F,25 - 49,57.4
2021,%,Q1,F,50 - 64,26
2021,%,Q1,F,15 - 64,41.7
2021,%,Q1,F,20 - 64,44.8
2021,%,Q1,F,25 - 34,59
2021,%,Q1,F,15 - 74,36.1
2021,%,Q2,_T,15 - 89,46.7
2021,%,Q2,_T,15 - 24,32.2
2021,%,Q2,_T,25 - 49,74.8
2021,%,Q2,_T,50 - 64,41.5
2021,%,Q2,_T,15 - 64,56.8
2021,%,Q2,_T,20 - 64,61
2021,%,Q2,_T,25 - 34,74.5
2021,%,Q2,_T,15 - 74,49.9
2021,%,Q2,M,15 - 89,59.8
2021,%,Q2,M,15 - 24,39.5
2021,%,Q2,M,25 - 49,89.4
2021,%,Q2,M,50 - 64,57.6
2021,%,Q2,M,15 - 64,70.7
2021,%,Q2,M,20 - 64,76
2021,%,Q2,M,25 - 34,88.3
2021,%,Q2,M,15 - 74,63.1
2021,%,Q2,F,15 - 89,34.2
2021,%,Q2,F,15 - 24,24.5
2021,%,Q2,F,25 - 49,59.8
2021,%,Q2,F,50 - 64,26.3
2021,%,Q2,F,15 - 64,42.9
2021,%,Q2,F,20 - 64,46.1
2021,%,Q2,F,25 - 34,60
2021,%,Q2,F,15 - 74,37.1
2021,%,Q3,_T,15 - 89,46.5
2021,%,Q3,_T,15 - 24,30.8
2021,%,Q3,_T,25 - 49,74.2
2021,%,Q3,_T,50 - 64,42.7
2021,%,Q3,_T,15 - 64,56.6
2021,%,Q3,_T,20 - 64,60.8
2021,%,Q3,_T,25 - 34,73.9
2021,%,Q3,_T,15 - 74,49.8
