Disaggregation,en,bs,sr,hr,Number of indicators,Number of values
Admin_Area,Administrative Area,Administrativna jedinica,Admin_Area,Administrativna jedinica,28,11
AGE,Age,Starosna dob,AGE,Starosna dob,12,166
BIRTH,Birth,Vitalna statistika,BIRTH,Rađanje,1,2
BIRTHS,Vital statistics,Vitalna statistika,BIRTHS,Vitalna statistika,2,10
CAUSE_OF_DEATH,Cause of death (as per ICD-10 codes),Uzrok smrti (prema šiframa bolesti po MKB-10),CAUSE_OF_DEATH,Uzrok smrti (prema šiframa bolesti po MKB-10),3,41
Disabilities,Type of disability,Vrsta poteškoće,Disabilities,Vrsta poteškoće,1,8
Education,Highest educational attainment,Najviša završena škola,Education,Najviša završena škola,1,7
HH_agri,Household agricultural activity,Poljoprivredna aktivnost,HH_agri,Poljoprivredna aktivnost,1,3
HH_size,Household size,Brojnost domaćinstva,HH_size,Brojnost domaćinstva,1,9
Literacy,Literacy,Pismenost,Literacy,Pismenost,1,3
MICS_NUMBER,Method,Metoda,MICS_NUMBER,Metoda,1,3
Municipality,Municipality,Općina,Municipality,Općina,7,80
PYRAMID_AGE,PYRAMID_AGE,PYRAMID_AGE,PYRAMID_AGE,PYRAMID_AGE,2,26
PYRAMID_SEX,PYRAMID_SEX,PYRAMID_SEX,PYRAMID_SEX,PYRAMID_SEX,2,2
scientific_field,scientific_field,Naučna oblast,scientific_field,scientific_field,5,10
SEX,Sex,Spol,Пол,Spol,54,3
Sex,Sex,Spol,Sex,Spol,1,2
status_in_employment,Status in employment,Radni status,status_in_employment,Radni status,2,3
TYPE_OF_DEPENDENCY_RATIO,Type of dependency ratio,Tip odnosa zavisnosti,TYPE_OF_DEPENDENCY_RATIO,Tip odnosa zavisnosti,2,3
type_of_education,Type of education,Vrsta obrazovanja,type_of_education,Vrsta obrazovanja,1,3
type_of_institution,Type of institution,Vrsta ustanove,type_of_institution,Vrsta ustanove,4,8
type_of_school,type_of_school,Vrsta škole,type_of_school,type_of_school,2,6
UNIT_MEASURE,Unit measure,Mjerna jedinica,Мјерна јединица,Mjerna jedinica,115,27
