Indicator,Disaggregation combinations using this value
#1-1-1,33
#1-3-2,1
#1-3-3,1
#1-3-4,22
#1-3-5,1
#1-5-1,1
#1-7-1,122
#1-7-2,26
#1-7-3,3
#1-7-4,2
#1-8-1,92
#1-8-2,20
#1-8-3,20
#2-1-1,87
#2-1-2,18
#2-1-3,1520
#2-1-6,3
#2-3-2,553
#2-4-1,632
#3-1-1,22
#3-1-3,1
#3-1-4,1
#3-1-5,1
#3-7-1,14
#4-1-1,11
#4-1-2,5
#5-1-2,11
#5-1-3,1
#5-1-4,11
#5-2-1,11
#5-2-2,11
#5-2-3,11
#5-3-1,11
#5-3-3,11
#5-3-4,66
#5-3-5,11
#5-4-1,8
#5-4-2,8
#5-5-1,8
#5-5-2,8
#5-5-3,24
#5-5-4,8
#5-5-6,8
#5-6-1,8
#5-6-3,8
#5-7-1,1
#7-1-1,5
#7-1-2,5
#7-1-3,5
#7-1-4,3
#7-1-5,1
#7-2-2,1
