Indicator,Disaggregation combinations using this value
#1-1-1,77
#1-2-5,2
#1-3-2,3
#1-3-4,1380
#1-3-5,3
#1-4-4,2
#1-4-5,2
#1-5-1,2
#1-6-1,11
#1-6-3,11
#1-7-1,366
#1-7-2,78
#1-7-4,6
#1-7-7,1
#1-8-1,261
#1-8-2,57
#1-8-3,5130
#2-1-1,2871
#2-1-2,54
#2-1-3,627
#2-1-5,77
#2-2-1,810
#2-2-2,33
#2-3-1,66
#2-4-1,264
#3-1-1,65
#3-1-2,21
#3-1-3,3
#3-2-1,1
#3-2-2,1
#3-2-3,1
#3-2-4,1
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,1
#3-4-2,1
#3-5-1,1
#3-5-2,1
#3-5-3,1
#3-5-5,1
#3-7-1,21
#4-1-1,33
#4-1-2,15
#5-1-1,3
#5-1-2,33
#5-1-3,3
#5-1-4,33
#5-2-1,33
#5-2-2,33
#5-2-3,33
#5-3-1,33
#5-3-2,55
#5-3-3,33
#5-3-4,165
#5-3-5,33
#5-4-1,24
#5-4-2,27
#5-5-1,24
#5-5-2,24
#5-5-4,27
#5-5-6,24
#5-6-1,27
