Year,UNIT_MEASURE,Sex,Admin Area,Vital statistics,Value
2011,Number,Both sexes,federation_of_bih,Live births,2116100.0
2011,Number,Both sexes,una-sana_canton,Live births,2496.0
2011,Number,Both sexes,posavina_canton,Live births,228.0
2011,Number,Both sexes,tuzla_canton,Live births,4417.0
2011,Number,Both sexes,zenica-doboj_canton,Live births,3760.0
2011,Number,Both sexes,bosnian-podrinje_canton,Live births,200.0
2011,Number,Both sexes,central_bosnia_canton,Live births,2300.0
2011,Number,Both sexes,herzegovina-neretva_canton,Live births,1817.0
2011,Number,Both sexes,west_herzegovina_canton,Live births,772.0
2011,Number,Both sexes,sarajevo_canton,Live births,4722.0
2011,Number,Both sexes,canton_10,Live births,458.0
2011,Number,M,federation_of_bih,Live births,10981.0
2011,Number,M,una-sana_canton,Live births,1312.0
2011,Number,M,posavina_canton,Live births,112.0
2011,Number,M,tuzla_canton,Live births,2305.0
2011,Number,M,zenica-doboj_canton,Live births,1945.0
2011,Number,M,bosnian-podrinje_canton,Live births,99.0
2011,Number,M,central_bosnia_canton,Live births,1219.0
2011,Number,M,herzegovina-neretva_canton,Live births,946.0
2011,Number,M,west_herzegovina_canton,Live births,401.0
2011,Number,M,sarajevo_canton,Live births,2411.0
2011,Number,M,canton_10,Live births,231.0
2011,Number,F,federation_of_bih,Live births,10180.0
2011,Number,F,una-sana_canton,Live births,1184.0
2011,Number,F,posavina_canton,Live births,116.0
2011,Number,F,tuzla_canton,Live births,2112.0
2011,Number,F,zenica-doboj_canton,Live births,1815.0
2011,Number,F,bosnian-podrinje_canton,Live births,92.0
2011,Number,F,central_bosnia_canton,Live births,1081.0
2011,Number,F,herzegovina-neretva_canton,Live births,871.0
2011,Number,F,west_herzegovina_canton,Live births,371.0
2011,Number,F,sarajevo_canton,Live births,2311.0
2011,Number,F,canton_10,Live births,227.0
2012,Number,Both sexes,federation_of_bih,Live births,21389.0
2012,Number,Both sexes,una-sana_canton,Live births,2351.0
2012,Number,Both sexes,posavina_canton,Live births,220.0
2012,Number,Both sexes,tuzla_canton,Live births,4587.0
2012,Number,Both sexes,zenica-doboj_canton,Live births,3807.0
2012,Number,Both sexes,bosnian-podrinje_canton,Live births,216.0
2012,Number,Both sexes,central_bosnia_canton,Live births,2361.0
2012,Number,Both sexes,herzegovina-neretva_canton,Live births,1901.0
2012,Number,Both sexes,west_herzegovina_canton,Live births,798.0
2012,Number,Both sexes,sarajevo_canton,Live births,4682.0
2012,Number,Both sexes,canton_10,Live births,466.0
2012,Number,M,federation_of_bih,Live births,11110.0
2012,Number,M,una-sana_canton,Live births,1227.0
2012,Number,M,posavina_canton,Live births,125.0
2012,Number,M,tuzla_canton,Live births,2351.0
2012,Number,M,zenica-doboj_canton,Live births,1995.0
2012,Number,M,bosnian-podrinje_canton,Live births,121.0
2012,Number,M,central_bosnia_canton,Live births,1207.0
2012,Number,M,herzegovina-neretva_canton,Live births,985.0
2012,Number,M,west_herzegovina_canton,Live births,397.0
2012,Number,M,sarajevo_canton,Live births,2465.0
2012,Number,M,canton_10,Live births,237.0
2012,Number,F,federation_of_bih,Live births,10279.0
2012,Number,F,una-sana_canton,Live births,1124.0
2012,Number,F,posavina_canton,Live births,95.0
2012,Number,F,tuzla_canton,Live births,2236.0
2012,Number,F,zenica-doboj_canton,Live births,1812.0
2012,Number,F,bosnian-podrinje_canton,Live births,95.0
2012,Number,F,central_bosnia_canton,Live births,1154.0
2012,Number,F,herzegovina-neretva_canton,Live births,916.0
2012,Number,F,west_herzegovina_canton,Live births,401.0
2012,Number,F,sarajevo_canton,Live births,2217.0
2012,Number,F,canton_10,Live births,229.0
2013,Number,Both sexes,federation_of_bih,Live births,20083.0
2013,Number,Both sexes,una-sana_canton,Live births,2174.0
2013,Number,Both sexes,posavina_canton,Live births,167.0
2013,Number,Both sexes,tuzla_canton,Live births,4323.0
2013,Number,Both sexes,zenica-doboj_canton,Live births,3416.0
2013,Number,Both sexes,bosnian-podrinje_canton,Live births,236.0
2013,Number,Both sexes,central_bosnia_canton,Live births,2184.0
2013,Number,Both sexes,herzegovina-neretva_canton,Live births,1831.0
2013,Number,Both sexes,west_herzegovina_canton,Live births,773.0
2013,Number,Both sexes,sarajevo_canton,Live births,4550.0
2013,Number,Both sexes,canton_10,Live births,429.0
2013,Number,M,federation_of_bih,Live births,10358.0
2013,Number,M,una-sana_canton,Live births,1108.0
2013,Number,M,posavina_canton,Live births,85.0
2013,Number,M,tuzla_canton,Live births,2243.0
2013,Number,M,zenica-doboj_canton,Live births,1799.0
2013,Number,M,bosnian-podrinje_canton,Live births,132.0
2013,Number,M,central_bosnia_canton,Live births,1126.0
2013,Number,M,herzegovina-neretva_canton,Live births,939.0
2013,Number,M,west_herzegovina_canton,Live births,399.0
2013,Number,M,sarajevo_canton,Live births,2305.0
