Year,UNIT_MEASURE,Value
1996,Birth Rate,15.2
1997,Birth Rate,14.6
1998,Birth Rate,14.1
1999,Birth Rate,12.3
2000,Birth Rate,11.0
2001,Birth Rate,10.4
2002,Birth Rate,10.0
2003,Birth Rate,10.0
2004,Birth Rate,9.6
2005,Birth Rate,9.4
2006,Birth Rate,9.3
2007,Birth Rate,9.3
2008,Birth Rate,9.8
2009,Birth Rate,9.8
2010,Birth Rate,9.6
2011,Birth Rate,9.1
2012,Birth Rate,9.2
2013,Birth Rate,8.6
2014,Birth Rate,9.0
2015,Birth Rate,8.8
2016,Birth Rate,8.9
2017,Birth Rate,9.0
2018,Birth Rate,8.6
2019,Birth Rate,8.2
