Year,UNIT_MEASURE,Age,Value
1996,Number,13-14,8
1996,Number,15-19,2941
1997,Number,13-14,11
1997,Number,15-19,3128
1998,Number,13-14,2
1998,Number,15-19,2395
1999,Number,13-14,0
1999,Number,15-19,2073
2000,Number,13-14,3
2000,Number,15-19,1806
2001,Number,13-14,12
2001,Number,15-19,1679
2002,Number,13-14,9
2002,Number,15-19,1561
2003,Number,13-14,9
2003,Number,15-19,1457
2004,Number,13-14,7
2004,Number,15-19,1396
2005,Number,13-14,2
2005,Number,15-19,1296
2006,Number,13-14,4
2006,Number,15-19,1399
2007,Number,13-14,2
2007,Number,15-19,1357
2008,Number,13-14,2
2008,Number,15-19,1507
2009,Number,13-14,4
2009,Number,15-19,1411
2010,Number,13-14,5
2010,Number,15-19,1285
2011,Number,13-14,5
2011,Number,15-19,1136
2012,Number,13-14,2
2012,Number,15-19,1040
2013,Number,13-14,4
2013,Number,15-19,950
2014,Number,13-14,3
2014,Number,15-19,932
2015,Number,13-14,3
2015,Number,15-19,948
2016,Number,13-14,3
2016,Number,15-19,898
2017,Number,13-14,6
2017,Number,15-19,734
2018,Number,13-14,4
2018,Number,15-19,643
2019,Number,13-14,1
2019,Number,15-19,580
2020,Number,13-14,4
2020,Number,15-19,528
2021,Number,13-14,2
2021,Number,15-19,516
2022,Number,13-14,4
2022,Number,15-19,460
