Year,UNIT_MEASURE,Sex,Value
1996,Number,M,28.1
1997,Number,M,27.1
1998,Number,M,27.9
1999,Number,M,27.7
2000,Number,M,27.4
2001,Number,M,27.4
2002,Number,M,27.5
2003,Number,M,27.6
2004,Number,M,27.6
2005,Number,M,27.7
2006,Number,M,27.7
2007,Number,M,27.8
2008,Number,M,27.8
2009,Number,M,27.9
2010,Number,M,27.9
2011,Number,M,28.1
2012,Number,M,28.1
2013,Number,M,28.6
2014,Number,M,28.1
2015,Number,M,28.4
2016,Number,M,28.3
2017,Number,M,28.3
2018,Number,M,28.5
2019,Number,M,28.3
2020,Number,M,28.4
2021,Number,M,28.5
2022,Number,M,28.6
2023,Number,M,28.7
1996,Number,F,24.4
1997,Number,F,23.8
1998,Number,F,24.4
1999,Number,F,24.2
2000,Number,F,23.9
2001,Number,F,24.0
2002,Number,F,24.1
2003,Number,F,24.2
2004,Number,F,24.2
2005,Number,F,24.3
2006,Number,F,24.3
2007,Number,F,24.5
2008,Number,F,24.6
2009,Number,F,24.8
2010,Number,F,24.9
2011,Number,F,25.0
2012,Number,F,25.2
2013,Number,F,25.5
2014,Number,F,25.2
2015,Number,F,25.5
2016,Number,F,25.4
2017,Number,F,25.5
2018,Number,F,25.8
2019,Number,F,25.7
2020,Number,F,25.7
2021,Number,F,26.0
2022,Number,F,26.0
2023,Number,F,26.1
