Year,UNIT_MEASURE,Admin_Area,Value
2011,Number,Federation of Bosnia and Herzegovina,12511
2011,Number,Una-Sana Canton,1661
2011,Number,Posavina Canton,144
2011,Number,Tuzla Canton,2611
2011,Number,Zenica-Doboj Canton,2279
2011,Number,Bosnian-Podrinje Canton,164
2011,Number,Central Bosnia Canton,1272
2011,Number,Herzegovina-Neretva Canton,1103
2011,Number,West Herzegovina Canton,368
2011,Number,Sarajevo Canton,2655
2011,Number,Canton 10,254
2012,Number,Federation of Bosnia and Herzegovina,11936
2012,Number,Una-Sana Canton,1504
2012,Number,Posavina Canton,154
2012,Number,Tuzla Canton,2576
2012,Number,Zenica-Doboj Canton,2248
2012,Number,Bosnian-Podrinje Canton,135
2012,Number,Central Bosnia Canton,1201
2012,Number,Herzegovina-Neretva Canton,1014
2012,Number,West Herzegovina Canton,374
2012,Number,Sarajevo Canton,2497
2012,Number,Canton 10,233
2013,Number,Federation of Bosnia and Herzegovina,11313
2013,Number,Una-Sana Canton,1441
2013,Number,Posavina Canton,152
2013,Number,Tuzla Canton,2458
2013,Number,Zenica-Doboj Canton,1997
2013,Number,Bosnian-Podrinje Canton,137
2013,Number,Central Bosnia Canton,1078
2013,Number,Herzegovina-Neretva Canton,1027
2013,Number,West Herzegovina Canton,344
2013,Number,Sarajevo Canton,2453
2013,Number,Canton 10,226
2014,Number,Federation of Bosnia and Herzegovina,11891
2014,Number,Una-Sana Canton,1468
2014,Number,Posavina Canton,140
2014,Number,Tuzla Canton,2461
2014,Number,Zenica-Doboj Canton,2250
2014,Number,Bosnian-Podrinje Canton,155
2014,Number,Central Bosnia Canton,1216
2014,Number,Herzegovina-Neretva Canton,1048
2014,Number,West Herzegovina Canton,333
2014,Number,Sarajevo Canton,2600
2014,Number,Canton 10,220
2015,Number,Federation of Bosnia and Herzegovina,12888
2015,Number,Una-Sana Canton,1629
2015,Number,Posavina Canton,151
2015,Number,Tuzla Canton,2859
2015,Number,Zenica-Doboj Canton,2458
2015,Number,Bosnian-Podrinje Canton,155
2015,Number,Central Bosnia Canton,1318
2015,Number,Herzegovina-Neretva Canton,1023
2015,Number,West Herzegovina Canton,362
2015,Number,Sarajevo Canton,2664
2015,Number,Canton 10,269
2016,Number,Federation of Bosnia and Herzegovina,12790
2016,Number,Una-Sana Canton,1746
2016,Number,Posavina Canton,122
2016,Number,Tuzla Canton,2821
2016,Number,Zenica-Doboj Canton,2301
2016,Number,Bosnian-Podrinje Canton,169
2016,Number,Central Bosnia Canton,1298
2016,Number,Herzegovina-Neretva Canton,1067
2016,Number,West Herzegovina Canton,392
2016,Number,Sarajevo Canton,2615
2016,Number,Canton 10,259
2017,Number,Federation of Bosnia and Herzegovina,12994
2017,Number,Una-Sana Canton,1750
2017,Number,Posavina Canton,143
2017,Number,Tuzla Canton,2886
2017,Number,Zenica-Doboj Canton,2397
2017,Number,Bosnian-Podrinje Canton,137
2017,Number,Central Bosnia Canton,1428
2017,Number,Herzegovina-Neretva Canton,1028
2017,Number,West Herzegovina Canton,402
2017,Number,Sarajevo Canton,2561
2017,Number,Canton 10,262
2018,Number,Federation of Bosnia and Herzegovina,13061
2018,Number,Una-Sana Canton,1842
2018,Number,Posavina Canton,117
2018,Number,Tuzla Canton,2879
2018,Number,Zenica-Doboj Canton,2456
2018,Number,Bosnian-Podrinje Canton,120
2018,Number,Central Bosnia Canton,1406
2018,Number,Herzegovina-Neretva Canton,1071
2018,Number,West Herzegovina Canton,405
2018,Number,Sarajevo Canton,2523
2018,Number,Canton 10,242
2019,Number,Federation of Bosnia and Herzegovina,12266
2019,Number,Una-Sana Canton,1865
2019,Number,Posavina Canton,112
2019,Number,Tuzla Canton,2642
2019,Number,Zenica-Doboj Canton,2207
2019,Number,Bosnian-Podrinje Canton,125
2019,Number,Central Bosnia Canton,1325
2019,Number,Herzegovina-Neretva Canton,1001
2019,Number,West Herzegovina Canton,376
2019,Number,Sarajevo Canton,2382
2019,Number,Canton 10,231
2020,Number,Federation of Bosnia and Herzegovina,10224
2020,Number,Una-Sana Canton,1391
2020,Number,Posavina Canton,78
2020,Number,Tuzla Canton,2120
2020,Number,Zenica-Doboj Canton,1979
2020,Number,Bosnian-Podrinje Canton,125
2020,Number,Central Bosnia Canton,1077
2020,Number,Herzegovina-Neretva Canton,864
2020,Number,West Herzegovina Canton,354
2020,Number,Sarajevo Canton,2029
2020,Number,Canton 10,207
