Year,UNIT_MEASURE,Administrative Area,Value
2011,Number,Federation of Bosnia and Herzegovina,1208
2011,Number,Una-Sana Canton,237
2011,Number,Posavina Canton,19
2011,Number,Tuzla Canton,256
2011,Number,Zenica-Doboj Canton,225
2011,Number,Bosnian-Podrinje Canton,21
2011,Number,Central Bosnia Canton,63
2011,Number,Herzegovina-Neretva Canton,110
2011,Number,West Herzegovina Canton,15
2011,Number,Sarajevo Canton,250
2011,Number,Canton 10,12
2012,Number,Federation of Bosnia and Herzegovina,1173
2012,Number,Una-Sana Canton,252
2012,Number,Posavina Canton,25
2012,Number,Tuzla Canton,251
2012,Number,Zenica-Doboj Canton,308
2012,Number,Bosnian-Podrinje Canton,7
2012,Number,Central Bosnia Canton,106
2012,Number,Herzegovina-Neretva Canton,109
2012,Number,West Herzegovina Canton,18
2012,Number,Sarajevo Canton,88
2012,Number,Canton 10,9
2013,Number,Federation of Bosnia and Herzegovina,1359
2013,Number,Una-Sana Canton,257
2013,Number,Posavina Canton,23
2013,Number,Tuzla Canton,300
2013,Number,Zenica-Doboj Canton,293
2013,Number,Bosnian-Podrinje Canton,9
2013,Number,Central Bosnia Canton,95
2013,Number,Herzegovina-Neretva Canton,128
2013,Number,West Herzegovina Canton,17
2013,Number,Sarajevo Canton,231
2013,Number,Canton 10,6
2014,Number,Federation of Bosnia and Herzegovina,1318
2014,Number,Una-Sana Canton,255
2014,Number,Posavina Canton,13
2014,Number,Tuzla Canton,377
2014,Number,Zenica-Doboj Canton,289
2014,Number,Bosnian-Podrinje Canton,17
2014,Number,Central Bosnia Canton,79
2014,Number,Herzegovina-Neretva Canton,115
2014,Number,West Herzegovina Canton,23
2014,Number,Sarajevo Canton,139
2014,Number,Canton 10,11
2015,Number,Federation of Bosnia and Herzegovina,1490
2015,Number,Una-Sana Canton,241
2015,Number,Posavina Canton,36
2015,Number,Tuzla Canton,401
2015,Number,Zenica-Doboj Canton,225
2015,Number,Bosnian-Podrinje Canton,25
2015,Number,Central Bosnia Canton,117
2015,Number,Herzegovina-Neretva Canton,124
2015,Number,West Herzegovina Canton,19
2015,Number,Sarajevo Canton,295
2015,Number,Canton 10,7
2016,Number,Federation of Bosnia and Herzegovina,1445
2016,Number,Una-Sana Canton,250
2016,Number,Posavina Canton,25
2016,Number,Tuzla Canton,420
2016,Number,Zenica-Doboj Canton,214
2016,Number,Bosnian-Podrinje Canton,18
2016,Number,Central Bosnia Canton,89
2016,Number,Herzegovina-Neretva Canton,160
2016,Number,West Herzegovina Canton,20
2016,Number,Sarajevo Canton,242
2016,Number,Canton 10,7
2017,Number,Federation of Bosnia and Herzegovina,1725
2017,Number,Una-Sana Canton,253
2017,Number,Posavina Canton,31
2017,Number,Tuzla Canton,409
2017,Number,Zenica-Doboj Canton,361
2017,Number,Bosnian-Podrinje Canton,21
2017,Number,Central Bosnia Canton,78
2017,Number,Herzegovina-Neretva Canton,118
2017,Number,West Herzegovina Canton,27
2017,Number,Sarajevo Canton,413
2017,Number,Canton 10,14
2018,Number,Federation of Bosnia and Herzegovina,1823
2018,Number,Una-Sana Canton,273
2018,Number,Posavina Canton,40
2018,Number,Tuzla Canton,522
2018,Number,Zenica-Doboj Canton,348
2018,Number,Bosnian-Podrinje Canton,32
2018,Number,Central Bosnia Canton,125
2018,Number,Herzegovina-Neretva Canton,120
2018,Number,West Herzegovina Canton,20
2018,Number,Sarajevo Canton,320
2018,Number,Canton 10,23
2019,Number,Federation of Bosnia and Herzegovina,1673
2019,Number,Una-Sana Canton,303
2019,Number,Posavina Canton,45
2019,Number,Tuzla Canton,428
2019,Number,Zenica-Doboj Canton,341
2019,Number,Bosnian-Podrinje Canton,25
2019,Number,Central Bosnia Canton,142
2019,Number,Herzegovina-Neretva Canton,124
2019,Number,West Herzegovina Canton,26
2019,Number,Sarajevo Canton,223
2019,Number,Canton 10,16
2020,Number,Federation of Bosnia and Herzegovina,1460
2020,Number,Una-Sana Canton,255
2020,Number,Posavina Canton,24
2020,Number,Tuzla Canton,448
2020,Number,Zenica-Doboj Canton,281
2020,Number,Bosnian-Podrinje Canton,25
2020,Number,Central Bosnia Canton,107
2020,Number,Herzegovina-Neretva Canton,90
2020,Number,West Herzegovina Canton,21
2020,Number,Sarajevo Canton,195
2020,Number,Canton 10,14
