Year,UNIT_MEASURE,Administrative Area,Age,Sex,Value
2013,Number,Federation of Bosnia and Herzegovina,Total,Both sexes,2219220
2013,Number,Federation of Bosnia and Herzegovina,0,Both sexes,21718
2013,Number,Federation of Bosnia and Herzegovina,1,Both sexes,22690
2013,Number,Federation of Bosnia and Herzegovina,2,Both sexes,22691
2013,Number,Federation of Bosnia and Herzegovina,3,Both sexes,23664
2013,Number,Federation of Bosnia and Herzegovina,4,Both sexes,24080
2013,Number,Federation of Bosnia and Herzegovina,5,Both sexes,23892
2013,Number,Federation of Bosnia and Herzegovina,6,Both sexes,22901
2013,Number,Federation of Bosnia and Herzegovina,7,Both sexes,22965
2013,Number,Federation of Bosnia and Herzegovina,8,Both sexes,23147
2013,Number,Federation of Bosnia and Herzegovina,9,Both sexes,23147
2013,Number,Federation of Bosnia and Herzegovina,10,Both sexes,23884
2013,Number,Federation of Bosnia and Herzegovina,11,Both sexes,24043
2013,Number,Federation of Bosnia and Herzegovina,12,Both sexes,24989
2013,Number,Federation of Bosnia and Herzegovina,13,Both sexes,25785
2013,Number,Federation of Bosnia and Herzegovina,14,Both sexes,27352
2013,Number,Federation of Bosnia and Herzegovina,15,Both sexes,30464
2013,Number,Federation of Bosnia and Herzegovina,16,Both sexes,35091
2013,Number,Federation of Bosnia and Herzegovina,17,Both sexes,35286
2013,Number,Federation of Bosnia and Herzegovina,18,Both sexes,33903
2013,Number,Federation of Bosnia and Herzegovina,19,Both sexes,27137
2013,Number,Federation of Bosnia and Herzegovina,20,Both sexes,25325
2013,Number,Federation of Bosnia and Herzegovina,21,Both sexes,29600
2013,Number,Federation of Bosnia and Herzegovina,22,Both sexes,32119
2013,Number,Federation of Bosnia and Herzegovina,23,Both sexes,31990
2013,Number,Federation of Bosnia and Herzegovina,24,Both sexes,31868
2013,Number,Federation of Bosnia and Herzegovina,25,Both sexes,32919
2013,Number,Federation of Bosnia and Herzegovina,26,Both sexes,32539
2013,Number,Federation of Bosnia and Herzegovina,27,Both sexes,32484
2013,Number,Federation of Bosnia and Herzegovina,28,Both sexes,32610
2013,Number,Federation of Bosnia and Herzegovina,29,Both sexes,33651
2013,Number,Federation of Bosnia and Herzegovina,30,Both sexes,32390
2013,Number,Federation of Bosnia and Herzegovina,31,Both sexes,32319
2013,Number,Federation of Bosnia and Herzegovina,32,Both sexes,32749
2013,Number,Federation of Bosnia and Herzegovina,33,Both sexes,31974
2013,Number,Federation of Bosnia and Herzegovina,34,Both sexes,31556
2013,Number,Federation of Bosnia and Herzegovina,35,Both sexes,31528
2013,Number,Federation of Bosnia and Herzegovina,36,Both sexes,31538
2013,Number,Federation of Bosnia and Herzegovina,37,Both sexes,32341
2013,Number,Federation of Bosnia and Herzegovina,38,Both sexes,31321
2013,Number,Federation of Bosnia and Herzegovina,39,Both sexes,30987
2013,Number,Federation of Bosnia and Herzegovina,40,Both sexes,30584
2013,Number,Federation of Bosnia and Herzegovina,41,Both sexes,31771
2013,Number,Federation of Bosnia and Herzegovina,42,Both sexes,31017
2013,Number,Federation of Bosnia and Herzegovina,43,Both sexes,29652
2013,Number,Federation of Bosnia and Herzegovina,44,Both sexes,31806
2013,Number,Federation of Bosnia and Herzegovina,45,Both sexes,32017
2013,Number,Federation of Bosnia and Herzegovina,46,Both sexes,33018
2013,Number,Federation of Bosnia and Herzegovina,47,Both sexes,33813
2013,Number,Federation of Bosnia and Herzegovina,48,Both sexes,34178
2013,Number,Federation of Bosnia and Herzegovina,49,Both sexes,34083
2013,Number,Federation of Bosnia and Herzegovina,50,Both sexes,34340
2013,Number,Federation of Bosnia and Herzegovina,51,Both sexes,35525
2013,Number,Federation of Bosnia and Herzegovina,52,Both sexes,35006
2013,Number,Federation of Bosnia and Herzegovina,53,Both sexes,34518
2013,Number,Federation of Bosnia and Herzegovina,54,Both sexes,34607
2013,Number,Federation of Bosnia and Herzegovina,55,Both sexes,32581
2013,Number,Federation of Bosnia and Herzegovina,56,Both sexes,30906
2013,Number,Federation of Bosnia and Herzegovina,57,Both sexes,31264
2013,Number,Federation of Bosnia and Herzegovina,58,Both sexes,31461
2013,Number,Federation of Bosnia and Herzegovina,59,Both sexes,29877
2013,Number,Federation of Bosnia and Herzegovina,60,Both sexes,29631
2013,Number,Federation of Bosnia and Herzegovina,61,Both sexes,26762
2013,Number,Federation of Bosnia and Herzegovina,62,Both sexes,24438
2013,Number,Federation of Bosnia and Herzegovina,63,Both sexes,24535
2013,Number,Federation of Bosnia and Herzegovina,64,Both sexes,23247
2013,Number,Federation of Bosnia and Herzegovina,65,Both sexes,20490
2013,Number,Federation of Bosnia and Herzegovina,66,Both sexes,21656
2013,Number,Federation of Bosnia and Herzegovina,67,Both sexes,16531
2013,Number,Federation of Bosnia and Herzegovina,68,Both sexes,15234
2013,Number,Federation of Bosnia and Herzegovina,69,Both sexes,14480
2013,Number,Federation of Bosnia and Herzegovina,70,Both sexes,14562
2013,Number,Federation of Bosnia and Herzegovina,71,Both sexes,16128
2013,Number,Federation of Bosnia and Herzegovina,72,Both sexes,16725
2013,Number,Federation of Bosnia and Herzegovina,73,Both sexes,17668
2013,Number,Federation of Bosnia and Herzegovina,74,Both sexes,15940
2013,Number,Federation of Bosnia and Herzegovina,75,Both sexes,15320
2013,Number,Federation of Bosnia and Herzegovina,76,Both sexes,14194
2013,Number,Federation of Bosnia and Herzegovina,77,Both sexes,13342
2013,Number,Federation of Bosnia and Herzegovina,78,Both sexes,11991
2013,Number,Federation of Bosnia and Herzegovina,79,Both sexes,10766
2013,Number,Federation of Bosnia and Herzegovina,80,Both sexes,9117
2013,Number,Federation of Bosnia and Herzegovina,81,Both sexes,8359
2013,Number,Federation of Bosnia and Herzegovina,82,Both sexes,6844
2013,Number,Federation of Bosnia and Herzegovina,83,Both sexes,6095
2013,Number,Federation of Bosnia and Herzegovina,84,Both sexes,4812
2013,Number,Federation of Bosnia and Herzegovina,85+,Both sexes,15692
2013,Number,Una-Sana Canton,Total,Both sexes,273261
2013,Number,Una-Sana Canton,0,Both sexes,2742
2013,Number,Una-Sana Canton,1,Both sexes,2879
2013,Number,Una-Sana Canton,2,Both sexes,2927
2013,Number,Una-Sana Canton,3,Both sexes,3078
2013,Number,Una-Sana Canton,4,Both sexes,3179
2013,Number,Una-Sana Canton,5,Both sexes,3277
2013,Number,Una-Sana Canton,6,Both sexes,3117
2013,Number,Una-Sana Canton,7,Both sexes,3091
2013,Number,Una-Sana Canton,8,Both sexes,3125
2013,Number,Una-Sana Canton,9,Both sexes,3167
2013,Number,Una-Sana Canton,10,Both sexes,3270
2013,Number,Una-Sana Canton,11,Both sexes,3327
2013,Number,Una-Sana Canton,12,Both sexes,3466
2013,Number,Una-Sana Canton,13,Both sexes,3522
2013,Number,Una-Sana Canton,14,Both sexes,3865
2013,Number,Una-Sana Canton,15,Both sexes,4480
2013,Number,Una-Sana Canton,16,Both sexes,5326
2013,Number,Una-Sana Canton,17,Both sexes,4257
2013,Number,Una-Sana Canton,18,Both sexes,3768
2013,Number,Una-Sana Canton,19,Both sexes,3497
2013,Number,Una-Sana Canton,20,Both sexes,3282
2013,Number,Una-Sana Canton,21,Both sexes,3826
2013,Number,Una-Sana Canton,22,Both sexes,4146
2013,Number,Una-Sana Canton,23,Both sexes,4100
2013,Number,Una-Sana Canton,24,Both sexes,4187
2013,Number,Una-Sana Canton,25,Both sexes,4155
2013,Number,Una-Sana Canton,26,Both sexes,4294
2013,Number,Una-Sana Canton,27,Both sexes,4087
2013,Number,Una-Sana Canton,28,Both sexes,4133
2013,Number,Una-Sana Canton,29,Both sexes,4243
2013,Number,Una-Sana Canton,30,Both sexes,4048
2013,Number,Una-Sana Canton,31,Both sexes,4051
2013,Number,Una-Sana Canton,32,Both sexes,4334
2013,Number,Una-Sana Canton,33,Both sexes,4111
2013,Number,Una-Sana Canton,34,Both sexes,4132
2013,Number,Una-Sana Canton,35,Both sexes,4294
2013,Number,Una-Sana Canton,36,Both sexes,4234
2013,Number,Una-Sana Canton,37,Both sexes,4381
2013,Number,Una-Sana Canton,38,Both sexes,4346
2013,Number,Una-Sana Canton,39,Both sexes,4309
2013,Number,Una-Sana Canton,40,Both sexes,4129
2013,Number,Una-Sana Canton,41,Both sexes,4264
2013,Number,Una-Sana Canton,42,Both sexes,4139
2013,Number,Una-Sana Canton,43,Both sexes,3895
2013,Number,Una-Sana Canton,44,Both sexes,4260
2013,Number,Una-Sana Canton,45,Both sexes,4248
2013,Number,Una-Sana Canton,46,Both sexes,4211
2013,Number,Una-Sana Canton,47,Both sexes,4150
2013,Number,Una-Sana Canton,48,Both sexes,4004
2013,Number,Una-Sana Canton,49,Both sexes,4088
2013,Number,Una-Sana Canton,50,Both sexes,4131
2013,Number,Una-Sana Canton,51,Both sexes,4113
2013,Number,Una-Sana Canton,52,Both sexes,4172
2013,Number,Una-Sana Canton,53,Both sexes,3939
2013,Number,Una-Sana Canton,54,Both sexes,3869
2013,Number,Una-Sana Canton,55,Both sexes,3409
2013,Number,Una-Sana Canton,56,Both sexes,3443
2013,Number,Una-Sana Canton,57,Both sexes,3517
2013,Number,Una-Sana Canton,58,Both sexes,3447
2013,Number,Una-Sana Canton,59,Both sexes,3173
2013,Number,Una-Sana Canton,60,Both sexes,3204
2013,Number,Una-Sana Canton,61,Both sexes,2615
2013,Number,Una-Sana Canton,62,Both sexes,2435
2013,Number,Una-Sana Canton,63,Both sexes,2673
2013,Number,Una-Sana Canton,64,Both sexes,2417
2013,Number,Una-Sana Canton,65,Both sexes,2296
2013,Number,Una-Sana Canton,66,Both sexes,2569
2013,Number,Una-Sana Canton,67,Both sexes,1852
2013,Number,Una-Sana Canton,68,Both sexes,1472
2013,Number,Una-Sana Canton,69,Both sexes,1437
2013,Number,Una-Sana Canton,70,Both sexes,1886
2013,Number,Una-Sana Canton,71,Both sexes,1603
2013,Number,Una-Sana Canton,72,Both sexes,1878
2013,Number,Una-Sana Canton,73,Both sexes,1822
2013,Number,Una-Sana Canton,74,Both sexes,1635
2013,Number,Una-Sana Canton,75,Both sexes,1583
2013,Number,Una-Sana Canton,76,Both sexes,1459
2013,Number,Una-Sana Canton,77,Both sexes,1346
2013,Number,Una-Sana Canton,78,Both sexes,1112
2013,Number,Una-Sana Canton,79,Both sexes,1027
2013,Number,Una-Sana Canton,80,Both sexes,869
2013,Number,Una-Sana Canton,81,Both sexes,672
2013,Number,Una-Sana Canton,82,Both sexes,594
2013,Number,Una-Sana Canton,83,Both sexes,547
2013,Number,Una-Sana Canton,84,Both sexes,385
2013,Number,Una-Sana Canton,85+,Both sexes,1219
2013,Number,Posavina Canton,Total,Both sexes,43453
2013,Number,Posavina Canton,0,Both sexes,246
2013,Number,Posavina Canton,1,Both sexes,308
2013,Number,Posavina Canton,2,Both sexes,343
2013,Number,Posavina Canton,3,Both sexes,344
2013,Number,Posavina Canton,4,Both sexes,341
2013,Number,Posavina Canton,5,Both sexes,381
2013,Number,Posavina Canton,6,Both sexes,376
2013,Number,Posavina Canton,7,Both sexes,412
2013,Number,Posavina Canton,8,Both sexes,414
2013,Number,Posavina Canton,9,Both sexes,404
2013,Number,Posavina Canton,10,Both sexes,440
2013,Number,Posavina Canton,11,Both sexes,474
2013,Number,Posavina Canton,12,Both sexes,482
