Year,UNIT_MEASURE,Administrative Area,Number of children,Value
2013,Number,Federation of Bosnia and Herzegovina,Total,957422
2013,Number,Federation of Bosnia and Herzegovina,Did not give birth,273774
2013,Number,Federation of Bosnia and Herzegovina,1,132895
2013,Number,Federation of Bosnia and Herzegovina,2,308038
2013,Number,Federation of Bosnia and Herzegovina,3,138640
2013,Number,Federation of Bosnia and Herzegovina,4,54056
2013,Number,Federation of Bosnia and Herzegovina,5+,50019
2013,Number,Una-Sana Canton,Total,114518
2013,Number,Una-Sana Canton,Did not give birth,31239
2013,Number,Una-Sana Canton,1,16018
2013,Number,Una-Sana Canton,2,32843
2013,Number,Una-Sana Canton,3,17011
2013,Number,Una-Sana Canton,4,7586
2013,Number,Una-Sana Canton,5+,9821
2013,Number,Posavina Canton,Total,18762
2013,Number,Posavina Canton,Did not give birth,5836
2013,Number,Posavina Canton,1,2279
2013,Number,Posavina Canton,2,5567
2013,Number,Posavina Canton,3,2917
2013,Number,Posavina Canton,4,1136
2013,Number,Posavina Canton,5+,1027
2013,Number,Tuzla Canton,Total,193689
2013,Number,Tuzla Canton,Did not give birth,47272
2013,Number,Tuzla Canton,1,29699
2013,Number,Tuzla Canton,2,73940
2013,Number,Tuzla Canton,3,25457
2013,Number,Tuzla Canton,4,8862
2013,Number,Tuzla Canton,5+,8459
2013,Number,Zenica-Doboj Canton,Total,154153
2013,Number,Zenica-Doboj Canton,Did not give birth,39964
2013,Number,Zenica-Doboj Canton,1,21913
2013,Number,Zenica-Doboj Canton,2,51832
2013,Number,Zenica-Doboj Canton,3,23202
2013,Number,Zenica-Doboj Canton,4,8680
2013,Number,Zenica-Doboj Canton,5+,8562
2013,Number,Bosnian-Podrinje Canton,Total,10567
2013,Number,Bosnian-Podrinje Canton,Did not give birth,2755
2013,Number,Bosnian-Podrinje Canton,1,1302
2013,Number,Bosnian-Podrinje Canton,2,3788
2013,Number,Bosnian-Podrinje Canton,3,1663
2013,Number,Bosnian-Podrinje Canton,4,594
2013,Number,Bosnian-Podrinje Canton,5+,465
2013,Number,Central Bosnia Canton,Total,106469
2013,Number,Central Bosnia Canton,Did not give birth,31429
2013,Number,Central Bosnia Canton,1,12068
2013,Number,Central Bosnia Canton,2,28784
2013,Number,Central Bosnia Canton,3,18339
2013,Number,Central Bosnia Canton,4,8020
2013,Number,Central Bosnia Canton,5+,7829
2013,Number,Herzegovina-Neretva Canton,Total,96219
2013,Number,Herzegovina-Neretva Canton,Did not give birth,31170
2013,Number,Herzegovina-Neretva Canton,1,10670
2013,Number,Herzegovina-Neretva Canton,2,27643
2013,Number,Herzegovina-Neretva Canton,3,15955
2013,Number,Herzegovina-Neretva Canton,4,6284
2013,Number,Herzegovina-Neretva Canton,5+,4497
2013,Number,West Herzegovina Canton,Total,39369
2013,Number,West Herzegovina Canton,Did not give birth,14469
2013,Number,West Herzegovina Canton,1,3221
2013,Number,West Herzegovina Canton,2,7574
2013,Number,West Herzegovina Canton,3,7371
2013,Number,West Herzegovina Canton,4,3926
2013,Number,West Herzegovina Canton,5+,2808
2013,Number,Sarajevo Canton,Total,187635
2013,Number,Sarajevo Canton,Did not give birth,57188
2013,Number,Sarajevo Canton,1,32682
2013,Number,Sarajevo Canton,2,67572
2013,Number,Sarajevo Canton,3,19921
2013,Number,Sarajevo Canton,4,5881
2013,Number,Sarajevo Canton,5+,4391
2013,Number,Canton 10,Total,36041
2013,Number,Canton 10,Did not give birth,12452
2013,Number,Canton 10,1,3043
2013,Number,Canton 10,2,8495
2013,Number,Canton 10,3,6804
2013,Number,Canton 10,4,3087
2013,Number,Canton 10,5+,2160
