Year,Sex,UNIT_MEASURE,Mother tongue,Value
2013,Both sexes,Number,Bosnian ,
2013,Both sexes,Number,Serbian,
2013,Both sexes,Number,Croatian,
2013,Both sexes,Number,Serbo_Croatian,
2013,Both sexes,Number,Romani,
2013,Both sexes,Number,Albanian,
2013,Both sexes,Number,Bosnian_Croatian_Serbian,
2013,Both sexes,Number,Turkish,
2013,Both sexes,Number,Croato_Serbian,
2013,Both sexes,Number,Bosniak,
2013,Both sexes,Number,Ukranian,
2013,Both sexes,Number,Bosnian_Serbian_Croatian,
2013,Both sexes,Number,Bosnian_Croatian,
2013,Both sexes,Number,Bosnian_Herzegovinian,
2013,Both sexes,Number,German,
2013,Both sexes,Number,Other,
2013,Both sexes,Number,Unknown,
2013,M,Number,Bosnian ,
2013,M,Number,Serbian,
2013,M,Number,Croatian,
2013,M,Number,Serbo_Croatian ,
2013,M,Number,Romani,
2013,M,Number,Albanian,
2013,M,Number,Bosnian_Croatian_Serbian,
2013,M,Number,Turkish,
2013,M,Number,Croato_Serbian,
2013,M,Number,Bosniak,
2013,M,Number,Ukranian,
2013,M,Number,Bosnian_Serbian_Croatian,
2013,M,Number,Bosnian_Croatian,
2013,M,Number,Bosnian_Herzegovinian,
2013,M,Number,German,
2013,M,Number,Other,
2013,M,Number,Unknown,
2013,F,Number,Bosnian ,
2013,F,Number,Serbian,
2013,F,Number,Croatian,
2013,F,Number,Serbo_Croatian ,
2013,F,Number,Romani,
2013,F,Number,Albanian,
2013,F,Number,Bosnian_Croatian_Serbian,
2013,F,Number,Turkish,
2013,F,Number,Croato_Serbian,
2013,F,Number,Bosniak,
2013,F,Number,Ukranian,
2013,F,Number,Bosnian_Serbian_Croatian,
2013,F,Number,Bosnian_Croatian,
2013,F,Number,Bosnian_Herzegovinian,
2013,F,Number,German,
2013,F,Number,Other,
2013,F,Number,Unknown,
