Year,UNIT_MEASURE,Administrative area,Sex,Disabilities,Value
2013,Number,Banovici,Both sexes,Both sexes,1839
2013,Number,Bihac,Both sexes,Both sexes,4952
2013,Number,Bosanska Krupa,Both sexes,Both sexes,2373
2013,Number,Bosanski Petrovac,Both sexes,Both sexes,654
2013,Number,Bosansko Grahovo,Both sexes,Both sexes,319
2013,Number,Breza,Both sexes,Both sexes,1289
2013,Number,Bugojno,Both sexes,Both sexes,2436
2013,Number,Busovaca,Both sexes,Both sexes,1274
2013,Number,Buzim,Both sexes,Both sexes,1064
2013,Number,Cazin,Both sexes,Both sexes,4563
2013,Number,centar_sarajevo,Both sexes,Both sexes,4800
2013,Number,Capljina,Both sexes,Both sexes,1736
2013,Number,Celic,Both sexes,Both sexes,1132
2013,Number,Citluk,Both sexes,Both sexes,1078
2013,Number,doboj-istok,Both sexes,Both sexes,1056
2013,Number,doboj-jug,Both sexes,Both sexes,321
2013,Number,Dobretici,Both sexes,Both sexes,201
2013,Number,domaljevac-samac,Both sexes,Both sexes,452
2013,Number,Donji Vakuf,Both sexes,Both sexes,1218
2013,Number,Drvar,Both sexes,Both sexes,1017
2013,Number,foca-fbih,Both sexes,Both sexes,211
2013,Number,Fojnica,Both sexes,Both sexes,1742
2013,Number,Glamoc,Both sexes,Both sexes,479
2013,Number,Gorazde,Both sexes,Both sexes,2279
2013,Number,gornji_vakuf-uskoplje,Both sexes,Both sexes,1439
2013,Number,Gracanica,Both sexes,Both sexes,3618
2013,Number,Gradacac,Both sexes,Both sexes,3077
2013,Number,Grude,Both sexes,Both sexes,867
2013,Number,hadzici,Both sexes,Both sexes,2264
2013,Number,ilidza,Both sexes,Both sexes,5142
2013,Number,ilijas,Both sexes,Both sexes,1733
2013,Number,Jablanica,Both sexes,Both sexes,735
2013,Number,Jajce,Both sexes,Both sexes,2171
2013,Number,Kakanj,Both sexes,Both sexes,2591
2013,Number,Kalesija,Both sexes,Both sexes,3029
2013,Number,Kiseljak,Both sexes,Both sexes,1602
2013,Number,Kladanj,Both sexes,Both sexes,1007
2013,Number,Ključ,Both sexes,Both sexes,1079
2013,Number,Konjic,Both sexes,Both sexes,2071
2013,Number,Kresevo,Both sexes,Both sexes,463
2013,Number,kupres-fbih,Both sexes,Both sexes,305
2013,Number,Livno,Both sexes,Both sexes,1776
2013,Number,Lukavac,Both sexes,Both sexes,5056
2013,Number,Ljubuski,Both sexes,Both sexes,1740
2013,Number,Maglaj,Both sexes,Both sexes,2138
2013,Number,Mostar,Both sexes,Both sexes,7239
2013,Number,Neum,Both sexes,Both sexes,272
2013,Number,novi_grad_sarajevo,Both sexes,Both sexes,10183
2013,Number,Novi Travnik,Both sexes,Both sexes,1819
2013,Number,novo_sarajevo,Both sexes,Both sexes,5230
2013,Number,Odzak,Both sexes,Both sexes,1164
2013,Number,Olovo,Both sexes,Both sexes,1119
2013,Number,Orasje,Both sexes,Both sexes,1771
2013,Number,pale-fbih,Both sexes,Both sexes,129
2013,Number,Posusje,Both sexes,Both sexes,1131
2013,Number,Prozor,Both sexes,Both sexes,666
2013,Number,Ravno,Both sexes,Both sexes,135
2013,Number,Sanski Most,Both sexes,Both sexes,2236
2013,Number,Sapna,Both sexes,Both sexes,642
2013,Number,Srebrenik,Both sexes,Both sexes,3768
2013,Number,stari_grad_sarajevo,Both sexes,Both sexes,3785
2013,Number,Stolac,Both sexes,Both sexes,1016
2013,Number,Siroki Brijeg,Both sexes,Both sexes,1356
2013,Number,Teocak,Both sexes,Both sexes,531
2013,Number,Tesanj,Both sexes,Both sexes,3254
2013,Number,Tomislavgrad,Both sexes,Both sexes,1129
2013,Number,Travnik,Both sexes,Both sexes,4081
2013,Number,trnovo-fbih,Both sexes,Both sexes,195
2013,Number,Tuzla,Both sexes,Both sexes,12780
2013,Number,Usora,Both sexes,Both sexes,468
2013,Number,Vares,Both sexes,Both sexes,1180
2013,Number,Velika Kladusa,Both sexes,Both sexes,3785
2013,Number,Visoko,Both sexes,Both sexes,3073
2013,Number,Vitez,Both sexes,Both sexes,2188
2013,Number,vogosca,Both sexes,Both sexes,2397
2013,Number,Zavidovici,Both sexes,Both sexes,3643
2013,Number,Zenica,Both sexes,Both sexes,8924
2013,Number,Zepce,Both sexes,Both sexes,2367
2013,Number,Zivinice,Both sexes,Both sexes,5883
2013,Number,Banovici,M,Both sexes,762
2013,Number,Bihac,M,Both sexes,2313
2013,Number,Bosanska Krupa,M,Both sexes,1176
2013,Number,Bosanski Petrovac,M,Both sexes,298
2013,Number,Bosansko Grahovo,M,Both sexes,136
2013,Number,Breza,M,Both sexes,586
2013,Number,Bugojno,M,Both sexes,1130
2013,Number,Busovaca,M,Both sexes,622
2013,Number,Buzim,M,Both sexes,596
2013,Number,Cazin,M,Both sexes,2340
2013,Number,centar_sarajevo,M,Both sexes,1914
2013,Number,Capljina,M,Both sexes,863
2013,Number,Celic,M,Both sexes,499
2013,Number,Citluk,M,Both sexes,493
2013,Number,doboj-istok,M,Both sexes,477
2013,Number,doboj-jug,M,Both sexes,157
2013,Number,Dobretici,M,Both sexes,122
2013,Number,domaljevac-samac,M,Both sexes,213
2013,Number,Donji Vakuf,M,Both sexes,598
2013,Number,Drvar,M,Both sexes,434
2013,Number,foca-fbih,M,Both sexes,97
2013,Number,Fojnica,M,Both sexes,879
2013,Number,Glamoc,M,Both sexes,198
2013,Number,Gorazde,M,Both sexes,993
2013,Number,gornji_vakuf-uskoplje,M,Both sexes,706
2013,Number,Gracanica,M,Both sexes,1600
2013,Number,Gradacac,M,Both sexes,1362
2013,Number,Grude,M,Both sexes,368
2013,Number,hadzici,M,Both sexes,1055
2013,Number,ilidza,M,Both sexes,2257
2013,Number,ilijas,M,Both sexes,756
2013,Number,Jablanica,M,Both sexes,327
2013,Number,Jajce,M,Both sexes,1028
2013,Number,Kakanj,M,Both sexes,1161
2013,Number,Kalesija,M,Both sexes,1375
2013,Number,Kiseljak,M,Both sexes,748
2013,Number,Kladanj,M,Both sexes,456
2013,Number,Ključ,M,Both sexes,477
2013,Number,Konjic,M,Both sexes,927
2013,Number,Kresevo,M,Both sexes,189
2013,Number,kupres-fbih,M,Both sexes,138
2013,Number,Livno,M,Both sexes,821
2013,Number,Lukavac,M,Both sexes,2125
2013,Number,Ljubuski,M,Both sexes,782
2013,Number,Maglaj,M,Both sexes,938
2013,Number,Mostar,M,Both sexes,3314
2013,Number,Neum,M,Both sexes,120
2013,Number,novi_grad_sarajevo,M,Both sexes,4283
2013,Number,Novi Travnik,M,Both sexes,858
2013,Number,novo_sarajevo,M,Both sexes,2076
2013,Number,Odzak,M,Both sexes,528
2013,Number,Olovo,M,Both sexes,475
2013,Number,Orasje,M,Both sexes,844
2013,Number,pale-fbih,M,Both sexes,60
2013,Number,Posusje,M,Both sexes,619
2013,Number,Prozor,M,Both sexes,308
2013,Number,Ravno,M,Both sexes,57
2013,Number,Sanski Most,M,Both sexes,1053
2013,Number,Sapna,M,Both sexes,326
2013,Number,Srebrenik,M,Both sexes,1605
2013,Number,stari_grad_sarajevo,M,Both sexes,1582
2013,Number,Stolac,M,Both sexes,468
2013,Number,Siroki Brijeg,M,Both sexes,604
2013,Number,Teocak,M,Both sexes,255
2013,Number,Tesanj,M,Both sexes,1526
2013,Number,Tomislavgrad,M,Both sexes,553
2013,Number,Travnik,M,Both sexes,1859
2013,Number,trnovo-fbih,M,Both sexes,82
2013,Number,Tuzla,M,Both sexes,5302
2013,Number,Usora,M,Both sexes,217
2013,Number,Vares,M,Both sexes,516
2013,Number,Velika Kladusa,M,Both sexes,1802
2013,Number,Visoko,M,Both sexes,1400
2013,Number,Vitez,M,Both sexes,1047
2013,Number,vogosca,M,Both sexes,1036
2013,Number,Zavidovici,M,Both sexes,1706
2013,Number,Zenica,M,Both sexes,4045
2013,Number,Zepce,M,Both sexes,1127
2013,Number,Zivinice,M,Both sexes,2550
2013,Number,Banovici,F,Both sexes,1077
2013,Number,Bihac,F,Both sexes,2639
2013,Number,Bosanska Krupa,F,Both sexes,1197
2013,Number,Bosanski Petrovac,F,Both sexes,356
2013,Number,Bosansko Grahovo,F,Both sexes,183
2013,Number,Breza,F,Both sexes,703
2013,Number,Bugojno,F,Both sexes,1306
2013,Number,Busovaca,F,Both sexes,652
2013,Number,Buzim,F,Both sexes,468
2013,Number,Cazin,F,Both sexes,2223
2013,Number,centar_sarajevo,F,Both sexes,2886
2013,Number,Capljina,F,Both sexes,873
2013,Number,Celic,F,Both sexes,633
2013,Number,Citluk,F,Both sexes,585
2013,Number,doboj-istok,F,Both sexes,579
2013,Number,doboj-jug,F,Both sexes,164
2013,Number,Dobretici,F,Both sexes,79
2013,Number,domaljevac-samac,F,Both sexes,239
2013,Number,Donji Vakuf,F,Both sexes,620
2013,Number,Drvar,F,Both sexes,583
2013,Number,foca-fbih,F,Both sexes,114
2013,Number,Fojnica,F,Both sexes,863
2013,Number,Glamoc,F,Both sexes,281
2013,Number,Gorazde,F,Both sexes,1286
2013,Number,gornji_vakuf-uskoplje,F,Both sexes,733
2013,Number,Gracanica,F,Both sexes,2018
2013,Number,Gradacac,F,Both sexes,1715
2013,Number,Grude,F,Both sexes,499
2013,Number,hadzici,F,Both sexes,1209
2013,Number,ilidza,F,Both sexes,2885
2013,Number,ilijas,F,Both sexes,977
2013,Number,Jablanica,F,Both sexes,408
2013,Number,Jajce,F,Both sexes,1143
2013,Number,Kakanj,F,Both sexes,1430
2013,Number,Kalesija,F,Both sexes,1654
2013,Number,Kiseljak,F,Both sexes,854
2013,Number,Kladanj,F,Both sexes,551
2013,Number,Ključ,F,Both sexes,602
2013,Number,Konjic,F,Both sexes,1144
2013,Number,Kresevo,F,Both sexes,274
2013,Number,kupres-fbih,F,Both sexes,167
2013,Number,Livno,F,Both sexes,955
2013,Number,Lukavac,F,Both sexes,2931
2013,Number,Ljubuski,F,Both sexes,958
2013,Number,Maglaj,F,Both sexes,1200
2013,Number,Mostar,F,Both sexes,3925
2013,Number,Neum,F,Both sexes,152
2013,Number,novi_grad_sarajevo,F,Both sexes,5900
2013,Number,Novi Travnik,F,Both sexes,961
2013,Number,novo_sarajevo,F,Both sexes,3154
2013,Number,Odzak,F,Both sexes,636
2013,Number,Olovo,F,Both sexes,644
2013,Number,Orasje,F,Both sexes,927
2013,Number,pale-fbih,F,Both sexes,69
2013,Number,Posusje,F,Both sexes,512
2013,Number,Prozor,F,Both sexes,358
2013,Number,Ravno,F,Both sexes,78
2013,Number,Sanski Most,F,Both sexes,1183
2013,Number,Sapna,F,Both sexes,316
2013,Number,Srebrenik,F,Both sexes,2163
