Year,Type_of_disability,Sex,Age,UNIT_MEASURE,Value
2013,Seeing,Both sexes,0-14,Number,1084
2013,Hearing,Both sexes,0-14,Number,262
2013,walking_or_climbing_up_the_stairs,Both sexes,0-14,Number,671
2013,remembering_or_concentration,Both sexes,0-14,Number,200
2013,self_care,Both sexes,0-14,Number,164
2013,Communication,Both sexes,0-14,Number,318
2013,multiple_disabilities,Both sexes,0-14,Number,1826
2013,Seeing,Both sexes,15-19,Number,862
2013,Hearing,Both sexes,15-19,Number,191
2013,walking_or_climbing_up_the_stairs,Both sexes,15-19,Number,478
2013,remembering_or_concentration,Both sexes,15-19,Number,129
2013,self_care,Both sexes,15-19,Number,32
2013,Communication,Both sexes,15-19,Number,112
2013,multiple_disabilities,Both sexes,15-19,Number,1082
2013,Seeing,Both sexes,20-29,Number,1819
2013,Hearing,Both sexes,20-29,Number,370
2013,walking_or_climbing_up_the_stairs,Both sexes,20-29,Number,1350
2013,remembering_or_concentration,Both sexes,20-29,Number,380
2013,self_care,Both sexes,20-29,Number,72
2013,Communication,Both sexes,20-29,Number,208
2013,multiple_disabilities,Both sexes,20-29,Number,2199
2013,Seeing,Both sexes,30-49,Number,7841
2013,Hearing,Both sexes,30-49,Number,2460
2013,walking_or_climbing_up_the_stairs,Both sexes,30-49,Number,15862
2013,remembering_or_concentration,Both sexes,30-49,Number,2337
2013,self_care,Both sexes,30-49,Number,319
2013,Communication,Both sexes,30-49,Number,683
2013,multiple_disabilities,Both sexes,30-49,Number,10694
2013,Seeing,Both sexes,50-59,Number,12870
2013,Hearing,Both sexes,50-59,Number,3498
2013,walking_or_climbing_up_the_stairs,Both sexes,50-59,Number,21484
2013,remembering_or_concentration,Both sexes,50-59,Number,2035
2013,self_care,Both sexes,50-59,Number,259
2013,Communication,Both sexes,50-59,Number,488
2013,multiple_disabilities,Both sexes,50-59,Number,16861
2013,Seeing,Both sexes,60-64,Number,7189
2013,Hearing,Both sexes,60-64,Number,2289
2013,walking_or_climbing_up_the_stairs,Both sexes,60-64,Number,12727
2013,remembering_or_concentration,Both sexes,60-64,Number,870
2013,self_care,Both sexes,60-64,Number,100
2013,Communication,Both sexes,60-64,Number,259
2013,multiple_disabilities,Both sexes,60-64,Number,11125
2013,Seeing,Both sexes,60-64,Number,20636
2013,Hearing,Both sexes,60-64,Number,12505
2013,walking_or_climbing_up_the_stairs,Both sexes,60-64,Number,44406
2013,remembering_or_concentration,Both sexes,60-64,Number,2836
2013,self_care,Both sexes,60-64,Number,587
2013,Communication,Both sexes,60-64,Number,586
2013,multiple_disabilities,Both sexes,60-64,Number,66443
2013,Seeing,Both sexes,65+,Number,20636
2013,Hearing,Both sexes,65+,Number,12505
2013,walking_or_climbing_up_the_stairs,Both sexes,65+,Number,44406
2013,remembering_or_concentration,Both sexes,65+,Number,2836
2013,self_care,Both sexes,65+,Number,587
2013,Communication,Both sexes,65+,Number,586
2013,multiple_disabilities,Both sexes,65+,Number,66443
2013,Seeing,_M,0-14,Number,571
2013,Hearing,_M,0-14,Number,146
2013,walking_or_climbing_up_the_stairs,_M,0-14,Number,370
2013,remembering_or_concentration,_M,0-14,Number,123
2013,self_care,_M,0-14,Number,104
2013,Communication,_M,0-14,Number,215
2013,multiple_disabilities,_M,0-14,Number,1077
2013,Seeing,_M,15-19,Number,430
2013,Hearing,_M,15-19,Number,101
2013,walking_or_climbing_up_the_stairs,_M,15-19,Number,268
2013,remembering_or_concentration,_M,15-19,Number,95
2013,self_care,_M,15-19,Number,19
2013,Communication,_M,15-19,Number,75
2013,multiple_disabilities,_M,15-19,Number,653
2013,Seeing,_M,20-29,Number,976
2013,Hearing,_M,20-29,Number,223
2013,walking_or_climbing_up_the_stairs,_M,20-29,Number,883
2013,remembering_or_concentration,_M,20-29,Number,256
2013,self_care,_M,20-29,Number,44
2013,Communication,_M,20-29,Number,133
2013,multiple_disabilities,_M,20-29,Number,1306
2013,Seeing,_M,30-49,Number,4313
2013,Hearing,_M,30-49,Number,1722
2013,walking_or_climbing_up_the_stairs,_M,30-49,Number,10912
2013,remembering_or_concentration,_M,30-49,Number,1488
2013,self_care,_M,30-49,Number,216
2013,Communication,_M,30-49,Number,442
2013,multiple_disabilities,_M,30-49,Number,6669
2013,Seeing,_M,50-59,Number,6088
2013,Hearing,_M,50-59,Number,2282
2013,walking_or_climbing_up_the_stairs,_M,50-59,Number,11557
2013,remembering_or_concentration,_M,50-59,Number,1170
2013,self_care,_M,50-59,Number,179
2013,Communication,_M,50-59,Number,338
2013,multiple_disabilities,_M,50-59,Number,9039
2013,Seeing,_M,60-64,Number,3155
2013,Hearing,_M,60-64,Number,1432
2013,walking_or_climbing_up_the_stairs,_M,60-64,Number,5672
2013,remembering_or_concentration,_M,60-64,Number,440
2013,self_care,_M,60-64,Number,57
2013,Communication,_M,60-64,Number,198
2013,multiple_disabilities,_M,60-64,Number,5203
2013,Seeing,_M,65+,Number,8036
2013,Hearing,_M,65+,Number,6620
2013,walking_or_climbing_up_the_stairs,_M,65+,Number,13529
2013,remembering_or_concentration,_M,65+,Number,1092
2013,self_care,_M,65+,Number,266
2013,Communication,_M,65+,Number,360
2013,multiple_disabilities,_M,65+,Number,22432
2013,Seeing,_F,0-14,Number,513
2013,Hearing,_F,0-14,Number,116
2013,walking_or_climbing_up_the_stairs,_F,0-14,Number,301
2013,remembering_or_concentration,_F,0-14,Number,77
2013,self_care,_F,0-14,Number,60
2013,Communication,_F,0-14,Number,103
2013,multiple_disabilities,_F,0-14,Number,749
2013,Seeing,_F,15-19,Number,432
2013,Hearing,_F,15-19,Number,90
2013,walking_or_climbing_up_the_stairs,_F,15-19,Number,210
2013,remembering_or_concentration,_F,15-19,Number,34
2013,self_care,_F,15-19,Number,13
2013,Communication,_F,15-19,Number,37
2013,multiple_disabilities,_F,15-19,Number,429
2013,Seeing,_F,20-29,Number,843
2013,Hearing,_F,20-29,Number,147
2013,walking_or_climbing_up_the_stairs,_F,20-29,Number,467
2013,remembering_or_concentration,_F,20-29,Number,124
2013,self_care,_F,20-29,Number,28
2013,Communication,_F,20-29,Number,75
2013,multiple_disabilities,_F,20-29,Number,893
2013,Seeing,_F,30-49,Number,3528
2013,Hearing,_F,30-49,Number,738
2013,walking_or_climbing_up_the_stairs,_F,30-49,Number,4950
2013,remembering_or_concentration,_F,30-49,Number,849
2013,self_care,_F,30-49,Number,103
2013,Communication,_F,30-49,Number,241
2013,multiple_disabilities,_F,30-49,Number,4025
