Year,UNIT_MEASURE,Administrative Area,Sex,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
1998,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,483426.0
1998,Number,Una-Sana Canton,Both sexes,,,,19062.0
1998,Number,Posavina Canton,Both sexes,,,,400.0
1998,Number,Tuzla Canton,Both sexes,,,,52338.0
1998,Number,Zenica-Doboj Canton,Both sexes,,,,166900.0
1998,Number,Bosnian-Podrinje Canton,Both sexes,,,,
1998,Number,Central Bosnia Canton,Both sexes,,,,19686.0
1998,Number,Herzegovina-Neretva Canton,Both sexes,,,,18032.0
1998,Number,West Herzegovina Canton,Both sexes,,,,
1998,Number,Sarajevo Canton,Both sexes,,,,205599.0
1998,Number,Canton 10,Both sexes,,,,1409.0
1998,Number,Federation of Bosnia and Herzegovina,M,,,,256508.0
1998,Number,Una-Sana Canton,M,,,,8518.0
1998,Number,Posavina Canton,M,,,,167.0
1998,Number,Tuzla Canton,M,,,,25383.0
1998,Number,Zenica-Doboj Canton,M,,,,93367.0
1998,Number,Bosnian-Podrinje Canton,M,,,,
1998,Number,Central Bosnia Canton,M,,,,8634.0
1998,Number,Herzegovina-Neretva Canton,M,,,,7469.0
1998,Number,West Herzegovina Canton,M,,,,
1998,Number,Sarajevo Canton,M,,,,112504.0
1998,Number,Canton 10,M,,,,466.0
1998,Number,Federation of Bosnia and Herzegovina,F,,,,226918.0
1998,Number,Una-Sana Canton,F,,,,10544.0
1998,Number,Posavina Canton,F,,,,233.0
1998,Number,Tuzla Canton,F,,,,26955.0
1998,Number,Zenica-Doboj Canton,F,,,,73533.0
1998,Number,Bosnian-Podrinje Canton,F,,,,
1998,Number,Central Bosnia Canton,F,,,,11052.0
1998,Number,Herzegovina-Neretva Canton,F,,,,10563.0
1998,Number,West Herzegovina Canton,F,,,,
1998,Number,Sarajevo Canton,F,,,,93095.0
1998,Number,Canton 10,F,,,,943.0
1999,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,316644.0
1999,Number,Una-Sana Canton,Both sexes,,,,8787.0
1999,Number,Posavina Canton,Both sexes,,,,911.0
1999,Number,Tuzla Canton,Both sexes,,,,49938.0
1999,Number,Zenica-Doboj Canton,Both sexes,,,,122126.0
1999,Number,Bosnian-Podrinje Canton,Both sexes,,,,
1999,Number,Central Bosnia Canton,Both sexes,,,,25288.0
1999,Number,Herzegovina-Neretva Canton,Both sexes,,,,33768.0
1999,Number,West Herzegovina Canton,Both sexes,,,,1198.0
1999,Number,Sarajevo Canton,Both sexes,,,,71624.0
1999,Number,Canton 10,Both sexes,,,,3004.0
1999,Number,Federation of Bosnia and Herzegovina,M,,,,158297.0
1999,Number,Una-Sana Canton,M,,,,4056.0
1999,Number,Posavina Canton,M,,,,459.0
1999,Number,Tuzla Canton,M,,,,24031.0
1999,Number,Zenica-Doboj Canton,M,,,,52694.0
1999,Number,Bosnian-Podrinje Canton,M,,,,
1999,Number,Central Bosnia Canton,M,,,,11153.0
1999,Number,Herzegovina-Neretva Canton,M,,,,18834.0
1999,Number,West Herzegovina Canton,M,,,,830.0
1999,Number,Sarajevo Canton,M,,,,45340.0
1999,Number,Canton 10,M,,,,901.0
1999,Number,Federation of Bosnia and Herzegovina,F,,,,158347.0
1999,Number,Una-Sana Canton,F,,,,4731.0
1999,Number,Posavina Canton,F,,,,452.0
1999,Number,Tuzla Canton,F,,,,25907.0
1999,Number,Zenica-Doboj Canton,F,,,,69432.0
1999,Number,Bosnian-Podrinje Canton,F,,,,
1999,Number,Central Bosnia Canton,F,,,,14135.0
1999,Number,Herzegovina-Neretva Canton,F,,,,14934.0
1999,Number,West Herzegovina Canton,F,,,,368.0
1999,Number,Sarajevo Canton,F,,,,26284.0
1999,Number,Canton 10,F,,,,2103.0
2000,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,283785.0
2000,Number,Una-Sana Canton,Both sexes,,,,11514.0
2000,Number,Posavina Canton,Both sexes,,,,1759.0
2000,Number,Tuzla Canton,Both sexes,,,,51918.0
2000,Number,Zenica-Doboj Canton,Both sexes,,,,84090.0
2000,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2000,Number,Central Bosnia Canton,Both sexes,,,,28632.0
2000,Number,Herzegovina-Neretva Canton,Both sexes,,,,25754.0
2000,Number,West Herzegovina Canton,Both sexes,,,,1198.0
2000,Number,Sarajevo Canton,Both sexes,,,,76363.0
2000,Number,Canton 10,Both sexes,,,,2557.0
2000,Number,Federation of Bosnia and Herzegovina,M,,,,150741.0
2000,Number,Una-Sana Canton,M,,,,3628.0
2000,Number,Posavina Canton,M,,,,900.0
2000,Number,Tuzla Canton,M,,,,25809.0
2000,Number,Zenica-Doboj Canton,M,,,,45290.0
2000,Number,Bosnian-Podrinje Canton,M,,,,
2000,Number,Central Bosnia Canton,M,,,,11909.0
2000,Number,Herzegovina-Neretva Canton,M,,,,10760.0
2000,Number,West Herzegovina Canton,M,,,,830.0
2000,Number,Sarajevo Canton,M,,,,50388.0
2000,Number,Canton 10,M,,,,1227.0
2000,Number,Federation of Bosnia and Herzegovina,F,,,,133044.0
2000,Number,Una-Sana Canton,F,,,,7886.0
2000,Number,Posavina Canton,F,,,,859.0
2000,Number,Tuzla Canton,F,,,,26109.0
2000,Number,Zenica-Doboj Canton,F,,,,38800.0
2000,Number,Bosnian-Podrinje Canton,F,,,,
2000,Number,Central Bosnia Canton,F,,,,16723.0
2000,Number,Herzegovina-Neretva Canton,F,,,,14994.0
2000,Number,West Herzegovina Canton,F,,,,368.0
2000,Number,Sarajevo Canton,F,,,,25975.0
2000,Number,Canton 10,F,,,,1330.0
2001,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,290612.0
2001,Number,Una-Sana Canton,Both sexes,,,,11912.0
2001,Number,Posavina Canton,Both sexes,,,,1156.0
2001,Number,Tuzla Canton,Both sexes,,,,28365.0
2001,Number,Zenica-Doboj Canton,Both sexes,,,,94505.0
2001,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2001,Number,Central Bosnia Canton,Both sexes,,,,21221.0
2001,Number,Herzegovina-Neretva Canton,Both sexes,,,,27091.0
2001,Number,West Herzegovina Canton,Both sexes,,,,627.0
2001,Number,Sarajevo Canton,Both sexes,,,,103226.0
2001,Number,Canton 10,Both sexes,,,,2509.0
2001,Number,Federation of Bosnia and Herzegovina,M,,,,174528.0
2001,Number,Una-Sana Canton,M,,,,6205.0
2001,Number,Posavina Canton,M,,,,481.0
2001,Number,Tuzla Canton,M,,,,11941.0
2001,Number,Zenica-Doboj Canton,M,,,,51720.0
2001,Number,Bosnian-Podrinje Canton,M,,,,
2001,Number,Central Bosnia Canton,M,,,,9183.0
2001,Number,Herzegovina-Neretva Canton,M,,,,12154.0
2001,Number,West Herzegovina Canton,M,,,,304.0
2001,Number,Sarajevo Canton,M,,,,81369.0
2001,Number,Canton 10,M,,,,1171.0
2001,Number,Federation of Bosnia and Herzegovina,F,,,,116084.0
2001,Number,Una-Sana Canton,F,,,,5707.0
2001,Number,Posavina Canton,F,,,,675.0
2001,Number,Tuzla Canton,F,,,,16424.0
2001,Number,Zenica-Doboj Canton,F,,,,42785.0
2001,Number,Bosnian-Podrinje Canton,F,,,,
2001,Number,Central Bosnia Canton,F,,,,12038.0
2001,Number,Herzegovina-Neretva Canton,F,,,,14937.0
2001,Number,West Herzegovina Canton,F,,,,323.0
2001,Number,Sarajevo Canton,F,,,,21857.0
2001,Number,Canton 10,F,,,,1338.0
