Year,UNIT_MEASURE,Type of institution,Value
2016,Number,Total,175
2016,Number,Public,90
2016,Number,Private,85
2017,Number,Total,175
2017,Number,Public,90
2017,Number,Private,85
2018,Number,Total,172
2018,Number,Public,90
2018,Number,Private,82
2019,Number,Total,184
2019,Number,Public,90
2019,Number,Private,94
2020,Number,Total,188
2020,Number,Public,90
2020,Number,Private,98
2021,Number,Total,200
2021,Number,Public,92
2021,Number,Private,108
2022,Number,Total,225
2022,Number,Public,93
2022,Number,Private,132
