Year,UNIT_MEASURE,Administrative area,Sex,Value
2010,Number,federation_of_bih,Both sexes,10179
2010,Number,una-sana_canton,Both sexes,996
2010,Number,posavina_canton,Both sexes,117
2010,Number,tuzla_canton,Both sexes,1865
2010,Number,zenica-doboj_canton,Both sexes,1032
2010,Number,bosnian-podrinje_canton,Both sexes,158
2010,Number,central_bosnia_canton,Both sexes,703
2010,Number,herzegovina-neretva_canton,Both sexes,1445
2010,Number,west_herzegovina_canton,Both sexes,679
2010,Number,sarajevo_canton,Both sexes,2811
2010,Number,canton_10,Both sexes,373
2010,Number,federation_of_bih,M,5359
2010,Number,una-sana_canton,M,534
2010,Number,posavina_canton,M,55
2010,Number,tuzla_canton,M,953
2010,Number,zenica-doboj_canton,M,563
2010,Number,bosnian-podrinje_canton,M,82
2010,Number,central_bosnia_canton,M,400
2010,Number,herzegovina-neretva_canton,M,746
2010,Number,west_herzegovina_canton,M,372
2010,Number,sarajevo_canton,M,1456
2010,Number,canton_10,M,198
2010,Number,federation_of_bih,F,4820
2010,Number,una-sana_canton,F,462
2010,Number,posavina_canton,F,62
2010,Number,tuzla_canton,F,912
2010,Number,zenica-doboj_canton,F,469
2010,Number,bosnian-podrinje_canton,F,76
2010,Number,central_bosnia_canton,F,303
2010,Number,herzegovina-neretva_canton,F,699
2010,Number,west_herzegovina_canton,F,307
2010,Number,sarajevo_canton,F,1355
2010,Number,canton_10,F,175
2011,Number,federation_of_bih,Both sexes,10179
2011,Number,una-sana_canton,Both sexes,996
2011,Number,posavina_canton,Both sexes,117
2011,Number,tuzla_canton,Both sexes,1865
2011,Number,zenica-doboj_canton,Both sexes,1032
2011,Number,bosnian-podrinje_canton,Both sexes,158
2011,Number,central_bosnia_canton,Both sexes,703
2011,Number,herzegovina-neretva_canton,Both sexes,1445
2011,Number,west_herzegovina_canton,Both sexes,679
2011,Number,sarajevo_canton,Both sexes,2811
2011,Number,canton_10,Both sexes,373
2011,Number,federation_of_bih,M,5359
2011,Number,una-sana_canton,M,534
2011,Number,posavina_canton,M,55
2011,Number,tuzla_canton,M,953
2011,Number,zenica-doboj_canton,M,563
2011,Number,bosnian-podrinje_canton,M,82
2011,Number,central_bosnia_canton,M,400
2011,Number,herzegovina-neretva_canton,M,746
2011,Number,west_herzegovina_canton,M,372
2011,Number,sarajevo_canton,M,1456
2011,Number,canton_10,M,198
2011,Number,federation_of_bih,F,4820
2011,Number,una-sana_canton,F,462
2011,Number,posavina_canton,F,62
2011,Number,tuzla_canton,F,912
2011,Number,zenica-doboj_canton,F,469
2011,Number,bosnian-podrinje_canton,F,76
2011,Number,central_bosnia_canton,F,303
2011,Number,herzegovina-neretva_canton,F,699
2011,Number,west_herzegovina_canton,F,307
2011,Number,sarajevo_canton,F,1355
2011,Number,canton_10,F,175
2012,Number,federation_of_bih,Both sexes,10969
2012,Number,una-sana_canton,Both sexes,1065
2012,Number,posavina_canton,Both sexes,141
2012,Number,tuzla_canton,Both sexes,2011
2012,Number,zenica-doboj_canton,Both sexes,1251
2012,Number,bosnian-podrinje_canton,Both sexes,192
2012,Number,central_bosnia_canton,Both sexes,656
2012,Number,herzegovina-neretva_canton,Both sexes,1421
2012,Number,west_herzegovina_canton,Both sexes,756
2012,Number,sarajevo_canton,Both sexes,3101
2012,Number,canton_10,Both sexes,375
2012,Number,federation_of_bih,M,5700
2012,Number,una-sana_canton,M,564
2012,Number,posavina_canton,M,91
2012,Number,tuzla_canton,M,1096
2012,Number,zenica-doboj_canton,M,651
2012,Number,bosnian-podrinje_canton,M,92
2012,Number,central_bosnia_canton,M,332
2012,Number,herzegovina-neretva_canton,M,721
2012,Number,west_herzegovina_canton,M,411
2012,Number,sarajevo_canton,M,1550
2012,Number,canton_10,M,192
2012,Number,federation_of_bih,F,5269
2012,Number,una-sana_canton,F,501
2012,Number,posavina_canton,F,50
2012,Number,tuzla_canton,F,915
2012,Number,zenica-doboj_canton,F,600
2012,Number,bosnian-podrinje_canton,F,100
2012,Number,central_bosnia_canton,F,324
2012,Number,herzegovina-neretva_canton,F,700
2012,Number,west_herzegovina_canton,F,345
2012,Number,sarajevo_canton,F,1551
2012,Number,canton_10,F,183
2013,Number,federation_of_bih,Both sexes,156
2013,Number,una-sana_canton,Both sexes,14
2013,Number,posavina_canton,Both sexes,3
2013,Number,tuzla_canton,Both sexes,21
2013,Number,zenica-doboj_canton,Both sexes,24
2013,Number,bosnian-podrinje_canton,Both sexes,2
2013,Number,central_bosnia_canton,Both sexes,12
2013,Number,herzegovina-neretva_canton,Both sexes,22
2013,Number,west_herzegovina_canton,Both sexes,12
2013,Number,sarajevo_canton,Both sexes,40
2013,Number,canton_10,Both sexes,6
2013,Number,federation_of_bih,M,6229
2013,Number,una-sana_canton,M,587
2013,Number,posavina_canton,M,74
2013,Number,tuzla_canton,M,1054
2013,Number,zenica-doboj_canton,M,711
2013,Number,bosnian-podrinje_canton,M,91
2013,Number,central_bosnia_canton,M,290
2013,Number,herzegovina-neretva_canton,M,780
2013,Number,west_herzegovina_canton,M,424
2013,Number,sarajevo_canton,M,2028
2013,Number,canton_10,M,190
2013,Number,federation_of_bih,F,5579
2013,Number,una-sana_canton,F,533
2013,Number,posavina_canton,F,68
2013,Number,tuzla_canton,F,858
2013,Number,zenica-doboj_canton,F,687
2013,Number,bosnian-podrinje_canton,F,80
2013,Number,central_bosnia_canton,F,318
2013,Number,herzegovina-neretva_canton,F,739
2013,Number,west_herzegovina_canton,F,371
2013,Number,sarajevo_canton,F,1745
2013,Number,canton_10,F,180
2014,Number,federation_of_bih,Both sexes,12737
2014,Number,una-sana_canton,Both sexes,1244
2014,Number,posavina_canton,Both sexes,149
2014,Number,tuzla_canton,Both sexes,2033
2014,Number,zenica-doboj_canton,Both sexes,1406
2014,Number,bosnian-podrinje_canton,Both sexes,139
2014,Number,central_bosnia_canton,Both sexes,821
2014,Number,herzegovina-neretva_canton,Both sexes,1794
2014,Number,west_herzegovina_canton,Both sexes,789
2014,Number,sarajevo_canton,Both sexes,4003
2014,Number,canton_10,Both sexes,359
2014,Number,federation_of_bih,M,6632
2014,Number,una-sana_canton,M,651
2014,Number,posavina_canton,M,74
2014,Number,tuzla_canton,M,1108
2014,Number,zenica-doboj_canton,M,731
2014,Number,bosnian-podrinje_canton,M,64
2014,Number,central_bosnia_canton,M,420
2014,Number,herzegovina-neretva_canton,M,914
2014,Number,west_herzegovina_canton,M,421
2014,Number,sarajevo_canton,M,2070
2014,Number,canton_10,M,179
2014,Number,federation_of_bih,F,6105
2014,Number,una-sana_canton,F,593
2014,Number,posavina_canton,F,75
2014,Number,tuzla_canton,F,925
2014,Number,zenica-doboj_canton,F,675
2014,Number,bosnian-podrinje_canton,F,75
2014,Number,central_bosnia_canton,F,401
2014,Number,herzegovina-neretva_canton,F,880
2014,Number,west_herzegovina_canton,F,368
2014,Number,sarajevo_canton,F,1933
2014,Number,canton_10,F,180
2015,Number,federation_of_bih,Both sexes,13268
2015,Number,una-sana_canton,Both sexes,1311
2015,Number,posavina_canton,Both sexes,161
2015,Number,tuzla_canton,Both sexes,2213
2015,Number,zenica-doboj_canton,Both sexes,1594
2015,Number,bosnian-podrinje_canton,Both sexes,141
2015,Number,central_bosnia_canton,Both sexes,889
2015,Number,herzegovina-neretva_canton,Both sexes,1975
2015,Number,west_herzegovina_canton,Both sexes,738
2015,Number,sarajevo_canton,Both sexes,3856
2015,Number,canton_10,Both sexes,390
2015,Number,federation_of_bih,M,6906
2015,Number,una-sana_canton,M,695
2015,Number,posavina_canton,M,81
2015,Number,tuzla_canton,M,1187
2015,Number,zenica-doboj_canton,M,835
2015,Number,bosnian-podrinje_canton,M,67
2015,Number,central_bosnia_canton,M,447
