Year,UNIT_MEASURE,Administrative Area,Type of school,Value
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,20668
2016,Number,Federation of Bosnia and Herzegovina,Technical high schools,41964
2016,Number,Federation of Bosnia and Herzegovina,Vocational high schools,16751
2016,Number,Federation of Bosnia and Herzegovina,Art schools,896
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,2139
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,257
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,20253
2017,Number,Federation of Bosnia and Herzegovina,Technical high schools,41503
2017,Number,Federation of Bosnia and Herzegovina,Vocational high schools,16335
2017,Number,Federation of Bosnia and Herzegovina,Art schools,879
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,2229
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,255
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,17917
2018,Number,Federation of Bosnia and Herzegovina,Technical high schools,39424
2018,Number,Federation of Bosnia and Herzegovina,Vocational high schools,15523
2018,Number,Federation of Bosnia and Herzegovina,Art schools,879
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,2180
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,241
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,16637
2019,Number,Federation of Bosnia and Herzegovina,Technical high schools,38135
2019,Number,Federation of Bosnia and Herzegovina,Vocational high schools,14905
2019,Number,Federation of Bosnia and Herzegovina,Art schools,846
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,2139
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,230
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,16195
2020,Number,Federation of Bosnia and Herzegovina,Technical high schools,37357
2020,Number,Federation of Bosnia and Herzegovina,Vocational high schools,14547
2020,Number,Federation of Bosnia and Herzegovina,Art schools,840
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,2142
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,247
2021,Number,Federation of Bosnia and Herzegovina,Gymnasium,15617
2021,Number,Federation of Bosnia and Herzegovina,Technical high schools,37112
2021,Number,Federation of Bosnia and Herzegovina,Vocational high schools,14053
2021,Number,Federation of Bosnia and Herzegovina,Art schools,939
2021,Number,Federation of Bosnia and Herzegovina,Religious schools,2108
2021,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,195
2022,Number,Federation of Bosnia and Herzegovina,Gymnasium,15425
2022,Number,Federation of Bosnia and Herzegovina,Technical high schools,37855
2022,Number,Federation of Bosnia and Herzegovina,Vocational high schools,13829
2022,Number,Federation of Bosnia and Herzegovina,Art schools,924
2022,Number,Federation of Bosnia and Herzegovina,Religious schools,2126
2022,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,166
2023,Number,Federation of Bosnia and Herzegovina,Gymnasium,15250
2023,Number,Federation of Bosnia and Herzegovina,Technical high schools,38560
2023,Number,Federation of Bosnia and Herzegovina,Vocational high schools,13270
2023,Number,Federation of Bosnia and Herzegovina,Art schools,970
2023,Number,Federation of Bosnia and Herzegovina,Religious schools,2126
2023,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,180
2016,Number,Una-Sana Canton,Gymnasium,1905
2016,Number,Una-Sana Canton,Technical high schools,4610
2016,Number,Una-Sana Canton,Vocational high schools,2755
2016,Number,Una-Sana Canton,Art schools,85
2016,Number,Una-Sana Canton,Religious schools,264
2017,Number,Una-Sana Canton,Gymnasium,1820
2017,Number,Una-Sana Canton,Technical high schools,4719
2017,Number,Una-Sana Canton,Vocational high schools,2631
2017,Number,Una-Sana Canton,Art schools,63
2017,Number,Una-Sana Canton,Religious schools,263
2018,Number,Una-Sana Canton,Gymnasium,1585
2018,Number,Una-Sana Canton,Technical high schools,4262
2018,Number,Una-Sana Canton,Vocational high schools,2547
2018,Number,Una-Sana Canton,Art schools,57
2018,Number,Una-Sana Canton,Religious schools,247
2019,Number,Una-Sana Canton,Gymnasium,1398
2019,Number,Una-Sana Canton,Technical high schools,3943
2019,Number,Una-Sana Canton,Vocational high schools,2420
2019,Number,Una-Sana Canton,Art schools,58
2019,Number,Una-Sana Canton,Religious schools,227
2020,Number,Una-Sana Canton,Gymnasium,1543
2020,Number,Una-Sana Canton,Technical high schools,3463
2020,Number,Una-Sana Canton,Vocational high schools,2212
2020,Number,Una-Sana Canton,Art schools,64
2020,Number,Una-Sana Canton,Religious schools,219
2021,Number,Una-Sana Canton,Gymnasium,1458
2021,Number,Una-Sana Canton,Technical high schools,3283
2021,Number,Una-Sana Canton,Vocational high schools,2069
2021,Number,Una-Sana Canton,Art schools,76
2021,Number,Una-Sana Canton,Religious schools,221
2022,Number,Una-Sana Canton,Gymnasium,1085
2022,Number,Una-Sana Canton,Technical high schools,3421
2022,Number,Una-Sana Canton,Vocational high schools,2001
2022,Number,Una-Sana Canton,Art schools,65
2022,Number,Una-Sana Canton,Religious schools,220
2023,Number,Una-Sana Canton,Gymnasium,1101
2023,Number,Una-Sana Canton,Technical high schools,3327
2023,Number,Una-Sana Canton,Vocational high schools,2025
2023,Number,Una-Sana Canton,Art schools,54
2023,Number,Una-Sana Canton,Religious schools,226
2016,Number,Posavina Canton,Gymnasium,228
2016,Number,Posavina Canton,Technical high schools,803
2016,Number,Posavina Canton,Vocational high schools,269
2017,Number,Posavina Canton,Gymnasium,226
2017,Number,Posavina Canton,Technical high schools,711
2017,Number,Posavina Canton,Vocational high schools,223
2018,Number,Posavina Canton,Gymnasium,225
2018,Number,Posavina Canton,Technical high schools,611
2018,Number,Posavina Canton,Vocational high schools,201
2019,Number,Posavina Canton,Gymnasium,206
2019,Number,Posavina Canton,Technical high schools,592
2019,Number,Posavina Canton,Vocational high schools,188
2020,Number,Posavina Canton,Gymnasium,183
2020,Number,Posavina Canton,Technical high schools,549
2020,Number,Posavina Canton,Vocational high schools,164
2021,Number,Posavina Canton,Gymnasium,163
2021,Number,Posavina Canton,Technical high schools,570
2021,Number,Posavina Canton,Vocational high schools,132
2022,Number,Posavina Canton,Gymnasium,160
2022,Number,Posavina Canton,Technical high schools,542
2022,Number,Posavina Canton,Vocational high schools,103
2023,Number,Posavina Canton,Gymnasium,154
2023,Number,Posavina Canton,Technical high schools,525
2023,Number,Posavina Canton,Vocational high schools,80
2016,Number,Tuzla Canton,Gymnasium,2428
2016,Number,Tuzla Canton,Technical high schools,8711
2016,Number,Tuzla Canton,Vocational high schools,3898
2016,Number,Tuzla Canton,Art schools,163
2016,Number,Tuzla Canton,Religious schools,516
2016,Number,Tuzla Canton,High schools for students with disabilities,35
2017,Number,Tuzla Canton,Gymnasium,2792
2017,Number,Tuzla Canton,Technical high schools,8462
2017,Number,Tuzla Canton,Vocational high schools,3963
2017,Number,Tuzla Canton,Art schools,183
2017,Number,Tuzla Canton,Religious schools,536
2017,Number,Tuzla Canton,High schools for students with disabilities,30
2018,Number,Tuzla Canton,Gymnasium,2385
2018,Number,Tuzla Canton,Technical high schools,8472
2018,Number,Tuzla Canton,Vocational high schools,3980
2018,Number,Tuzla Canton,Art schools,184
2018,Number,Tuzla Canton,Religious schools,531
2018,Number,Tuzla Canton,High schools for students with disabilities,30
2019,Number,Tuzla Canton,Gymnasium,2274
2019,Number,Tuzla Canton,Technical high schools,8132
2019,Number,Tuzla Canton,Vocational high schools,3952
2019,Number,Tuzla Canton,Art schools,180
2019,Number,Tuzla Canton,Religious schools,508
2019,Number,Tuzla Canton,High schools for students with disabilities,32
2020,Number,Tuzla Canton,Gymnasium,2182
2020,Number,Tuzla Canton,Technical high schools,8126
2020,Number,Tuzla Canton,Vocational high schools,3876
2020,Number,Tuzla Canton,Art schools,191
2020,Number,Tuzla Canton,Religious schools,505
2020,Number,Tuzla Canton,High schools for students with disabilities,43
2021,Number,Tuzla Canton,Gymnasium,1941
2021,Number,Tuzla Canton,Technical high schools,7975
2021,Number,Tuzla Canton,Vocational high schools,3753
2021,Number,Tuzla Canton,Art schools,204
2021,Number,Tuzla Canton,Religious schools,511
2022,Number,Tuzla Canton,Gymnasium,1853
2022,Number,Tuzla Canton,Technical high schools,7843
2022,Number,Tuzla Canton,Vocational high schools,3691
2022,Number,Tuzla Canton,Art schools,218
2022,Number,Tuzla Canton,Religious schools,523
2023,Number,Tuzla Canton,Gymnasium,1809
2023,Number,Tuzla Canton,Technical high schools,7775
2023,Number,Tuzla Canton,Vocational high schools,3771
2023,Number,Tuzla Canton,Art schools,241
2023,Number,Tuzla Canton,Religious schools,521
2016,Number,Zenica-Doboj Canton,Gymnasium,3602
2016,Number,Zenica-Doboj Canton,Technical high schools,7104
2016,Number,Zenica-Doboj Canton,Vocational high schools,3417
2016,Number,Zenica-Doboj Canton,Art schools,87
2016,Number,Zenica-Doboj Canton,Religious schools,230
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,38
2017,Number,Zenica-Doboj Canton,Gymnasium,3422
2017,Number,Zenica-Doboj Canton,Technical high schools,7044
2017,Number,Zenica-Doboj Canton,Vocational high schools,3185
2017,Number,Zenica-Doboj Canton,Art schools,75
2017,Number,Zenica-Doboj Canton,Religious schools,236
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,44
2018,Number,Zenica-Doboj Canton,Gymnasium,3087
2018,Number,Zenica-Doboj Canton,Technical high schools,7121
2018,Number,Zenica-Doboj Canton,Vocational high schools,3022
2018,Number,Zenica-Doboj Canton,Art schools,68
2018,Number,Zenica-Doboj Canton,Religious schools,224
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,36
2019,Number,Zenica-Doboj Canton,Gymnasium,2832
2019,Number,Zenica-Doboj Canton,Technical high schools,6486
2019,Number,Zenica-Doboj Canton,Vocational high schools,3035
2019,Number,Zenica-Doboj Canton,Art schools,70
2019,Number,Zenica-Doboj Canton,Religious schools,230
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,35
2020,Number,Zenica-Doboj Canton,Gymnasium,2583
2020,Number,Zenica-Doboj Canton,Technical high schools,6509
2020,Number,Zenica-Doboj Canton,Vocational high schools,2924
2020,Number,Zenica-Doboj Canton,Art schools,66
2020,Number,Zenica-Doboj Canton,Religious schools,248
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,35
2021,Number,Zenica-Doboj Canton,Gymnasium,2474
2021,Number,Zenica-Doboj Canton,Technical high schools,6249
2021,Number,Zenica-Doboj Canton,Vocational high schools,2832
2021,Number,Zenica-Doboj Canton,Art schools,72
2021,Number,Zenica-Doboj Canton,Religious schools,254
2021,Number,Zenica-Doboj Canton,High schools for students with disabilities,27
2022,Number,Zenica-Doboj Canton,Gymnasium,2368
2022,Number,Zenica-Doboj Canton,Technical high schools,6239
2022,Number,Zenica-Doboj Canton,Vocational high schools,2930
2022,Number,Zenica-Doboj Canton,Art schools,63
2022,Number,Zenica-Doboj Canton,Religious schools,255
2022,Number,Zenica-Doboj Canton,High schools for students with disabilities,20
2023,Number,Zenica-Doboj Canton,Gymnasium,2352
2023,Number,Zenica-Doboj Canton,Technical high schools,6788
2023,Number,Zenica-Doboj Canton,Vocational high schools,2524
2023,Number,Zenica-Doboj Canton,Art schools,54
2023,Number,Zenica-Doboj Canton,Religious schools,261
2023,Number,Zenica-Doboj Canton,High schools for students with disabilities,19
2016,Number,Bosnian-Podrinje Canton,Gymnasium,172
2016,Number,Bosnian-Podrinje Canton,Technical high schools,534
2016,Number,Bosnian-Podrinje Canton,Vocational high schools,242
2017,Number,Bosnian-Podrinje Canton,Gymnasium,184
2017,Number,Bosnian-Podrinje Canton,Technical high schools,536
2017,Number,Bosnian-Podrinje Canton,Vocational high schools,244
2018,Number,Bosnian-Podrinje Canton,Gymnasium,160
2018,Number,Bosnian-Podrinje Canton,Technical high schools,503
2018,Number,Bosnian-Podrinje Canton,Vocational high schools,223
2019,Number,Bosnian-Podrinje Canton,Gymnasium,137
2019,Number,Bosnian-Podrinje Canton,Technical high schools,695
2020,Number,Bosnian-Podrinje Canton,Gymnasium,139
2020,Number,Bosnian-Podrinje Canton,Technical high schools,512
2020,Number,Bosnian-Podrinje Canton,Vocational high schools,137
2021,Number,Bosnian-Podrinje Canton,Gymnasium,130
2021,Number,Bosnian-Podrinje Canton,Technical high schools,513
2021,Number,Bosnian-Podrinje Canton,Vocational high schools,105
2022,Number,Bosnian-Podrinje Canton,Gymnasium,108
2022,Number,Bosnian-Podrinje Canton,Technical high schools,495
2022,Number,Bosnian-Podrinje Canton,Vocational high schools,103
2023,Number,Bosnian-Podrinje Canton,Gymnasium,106
2023,Number,Bosnian-Podrinje Canton,Technical high schools,486
2023,Number,Bosnian-Podrinje Canton,Vocational high schools,93
2016,Number,Central Bosnia Canton,Gymnasium,2287
2016,Number,Central Bosnia Canton,Technical high schools,5589
2016,Number,Central Bosnia Canton,Vocational high schools,2265
2016,Number,Central Bosnia Canton,Art schools,91
2016,Number,Central Bosnia Canton,Religious schools,378
2017,Number,Central Bosnia Canton,Gymnasium,2021
2017,Number,Central Bosnia Canton,Technical high schools,5389
2017,Number,Central Bosnia Canton,Vocational high schools,2156
2017,Number,Central Bosnia Canton,Art schools,91
2017,Number,Central Bosnia Canton,Religious schools,430
2018,Number,Central Bosnia Canton,Gymnasium,1614
