Year,UNIT_MEASURE,Administrative Area,Sex,Value
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,M,
2016,Number,Federation of Bosnia and Herzegovina,F,
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,M,
2017,Number,Federation of Bosnia and Herzegovina,F,
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,M,
2018,Number,Federation of Bosnia and Herzegovina,F,
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,M,
2019,Number,Federation of Bosnia and Herzegovina,F,
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,M,
2020,Number,Federation of Bosnia and Herzegovina,F,
2016,Number,Una-Sana Canton,Both sexes,
2016,Number,Una-Sana Canton,M,
2016,Number,Una-Sana Canton,F,
2017,Number,Una-Sana Canton,Both sexes,
2017,Number,Una-Sana Canton,M,
2017,Number,Una-Sana Canton,F,
2018,Number,Una-Sana Canton,Both sexes,
2018,Number,Una-Sana Canton,M,
2018,Number,Una-Sana Canton,F,
2019,Number,Una-Sana Canton,Both sexes,
2019,Number,Una-Sana Canton,M,
2019,Number,Una-Sana Canton,F,
2020,Number,Una-Sana Canton,Both sexes,
2020,Number,Una-Sana Canton,M,
2020,Number,Una-Sana Canton,F,
2016,Number,Posavina Canton,Both sexes,
2016,Number,Posavina Canton,M,
2016,Number,Posavina Canton,F,
2017,Number,Posavina Canton,Both sexes,
2017,Number,Posavina Canton,M,
2017,Number,Posavina Canton,F,
2018,Number,Posavina Canton,Both sexes,
2018,Number,Posavina Canton,M,
2018,Number,Posavina Canton,F,
2019,Number,Posavina Canton,Both sexes,
2019,Number,Posavina Canton,M,
2019,Number,Posavina Canton,F,
2020,Number,Posavina Canton,Both sexes,
2020,Number,Posavina Canton,M,
2020,Number,Posavina Canton,F,
2016,Number,Tuzla Canton,Both sexes,
2016,Number,Tuzla Canton,M,
2016,Number,Tuzla Canton,F,
2017,Number,Tuzla Canton,Both sexes,
2017,Number,Tuzla Canton,M,
2017,Number,Tuzla Canton,F,
2018,Number,Tuzla Canton,Both sexes,
2018,Number,Tuzla Canton,M,
2018,Number,Tuzla Canton,F,
2019,Number,Tuzla Canton,Both sexes,
2019,Number,Tuzla Canton,M,
