Year,UNIT_MEASURE,Administrative Area,Type of school,Sex,Value
2016,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,218
2017,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,136
2018,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,232
2019,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,217
2020,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,181
2021,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,169
2022,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,162
2016,Number,Una-Sana Canton,Art schools,Both sexes,28
2017,Number,Una-Sana Canton,Art schools,Both sexes,23
2018,Number,Una-Sana Canton,Art schools,Both sexes,18
2019,Number,Una-Sana Canton,Art schools,Both sexes,16
2020,Number,Una-Sana Canton,Art schools,Both sexes,8
2021,Number,Una-Sana Canton,Art schools,Both sexes,11
2022,Number,Una-Sana Canton,Art schools,Both sexes,14
2016,Number,Tuzla Canton,Art schools,Both sexes,26
2017,Number,Tuzla Canton,Art schools,Both sexes,15
2018,Number,Tuzla Canton,Art schools,Both sexes,38
2019,Number,Tuzla Canton,Art schools,Both sexes,43
2020,Number,Tuzla Canton,Art schools,Both sexes,47
2021,Number,Tuzla Canton,Art schools,Both sexes,33
2022,Number,Tuzla Canton,Art schools,Both sexes,38
2016,Number,Zenica-Doboj Canton,Art schools,Both sexes,24
2017,Number,Zenica-Doboj Canton,Art schools,Both sexes,16
2018,Number,Zenica-Doboj Canton,Art schools,Both sexes,29
2019,Number,Zenica-Doboj Canton,Art schools,Both sexes,6
2020,Number,Zenica-Doboj Canton,Art schools,Both sexes,18
2021,Number,Zenica-Doboj Canton,Art schools,Both sexes,8
2022,Number,Zenica-Doboj Canton,Art schools,Both sexes,8
2016,Number,Central Bosnia Canton,Art schools,Both sexes,27
2017,Number,Central Bosnia Canton,Art schools,Both sexes,19
2018,Number,Central Bosnia Canton,Art schools,Both sexes,29
2019,Number,Central Bosnia Canton,Art schools,Both sexes,23
2020,Number,Central Bosnia Canton,Art schools,Both sexes,17
2021,Number,Central Bosnia Canton,Art schools,Both sexes,8
2022,Number,Central Bosnia Canton,Art schools,Both sexes,18
